Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NYSE:DD	0.9147703051567078	52.38	2026-05-15	0.3575		68.28766827323925	50.37311485762341	-1.9006	55.87
NYSE:FHN	0.9147011041641235	25.61	2026-03-13	0.155		0	0	2.1576	26.84
NASDAQ:PAA	0.914656937122345	24.47	2026-05-01	0.3895	Withholding Tax: 10%	65.6766790665892	90.46591843338038	2.0353	22.67
NASDAQ:VISN	0.9146534204483032	13.29	2026-04-28	0	GTC: delete	46.60480102299322	68.51916336477245	0.0027	17.00
NASDAQ:FIBK	0.9145181775093079	37.54				-155.07909555179734	-145.05867543064159	3.1024	36.38
NASDAQ:EBC	0.9144713282585144	21.09				-80.88261154709163	-77.52682646528076	0.3967	23.50
NASDAQ:UBSI	0.9144390821456909	46.27	2026-03-13	0.3725		-79.00196988232551	-78.95403991265509	3.3264	45.80
NYSE:RNST	0.9144067764282227	42.95	2026-03-17	0.2225		0	0	1.5058	43.86
NASDAQ:WSFS	0.9143557548522949	75.89				-190.81188437296316	-177.0438044598469	5.5035	73.75
NASDAQ:IBOC	0.9143232107162476	76.74				29.901450022500665	36.961531251678046	6.6309	87.00
NASDAQ:CATY	0.9142932295799255	61.29				-223.2034673492122	-220.8689664024639	4.7053	54.60
NASDAQ:WSBC	0.9141927361488342	36.83				-156.16513082683045	-143.64707049659708	2.3213	40.25
NASDAQ:WAFD	0.914139986038208	37.57				0	0	3.4160	37.00
NYSE:VLO	0.9132840037345886	276.38				425.82915829078416	531.1901011672468	7.8541	246.67
NASDAQ:RRBI	0.9132088422775269	97.57				-257.7337430181184	-248.55893944525366	6.5019	101.00
NASDAQ:HFWA	0.9129433035850525	29.18				-97.15970755761333	-98.0898611772044	1.6419	30.80
NASDAQ:CWBC	0.9128033518791199	25.77	2026-05-08	0.12		0	0	1.5260	28.38
NASDAQ:CAC	0.9126299023628235	53.54	2026-04-15	0.42		-269.92174482314545	-287.787580235876	3.8383	51.75
NASDAQ:BFST	0.9126282334327698	30.02				-151.80221692195045	-148.88844233842235	2.6875	32.60
NASDAQ:HBCP	0.9122442603111267	68.98				0	0	5.9277	65.62
