Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$32.19,26.89%,26.89%,$40.85,$40.85,$33.20,3.14%,$49.78,54.63%,$97.89,204.11%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.37,-6.87%,,,,$13.71,2.54%,-$55.35,-513.99%,-$50.64,-478.77%,AAL
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.24,11.61%,11.61%,$2.50,$2.63,$2.31,3.13%,$3.14,40.20%,$3.96,76.74%,ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$49.17,13.44%,13.44%,$55.78,$58.40,$51.01,3.74%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.02,81.42%,,,,$4.11,2.24%,$10.56,162.60%,$18.95,371.29%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.95,-2.35%,,,,$9.43,5.36%,$9.78,9.28%,$9.82,9.71%,ACHR
NYSE:ACN,25 Aug 2025,$264.08,4,$337.22,9,4.25,$259.97,1.58%,1.58%,$264.08,$337.22,$273.67,5.27%,$607.28,133.60%,$642.67,147.21%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.38,35.00%,,,,,-100.00%,-$2.00,-626.32%,-$2.00,-626.32%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.54,-0.55%,,,,$13.34,-1.48%,-$55.78,-511.94%,-$51.48,-480.20%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.18,17.26%,,,,$15.54,2.37%,$53.12,249.95%,$78.83,419.31%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$9.14,-16.25%,-16.25%,$7.66,$7.66,$9.61,5.14%,$10.93,19.56%,$18.25,99.69%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$30.45,-40.90%,-40.90%,$18.00,$18.00,$31.49,3.42%,$39.25,28.89%,$48.58,59.53%,AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$209.57,9.91%,9.91%,$230.34,$230.34,$202.31,-3.46%,"-$1,724.80",-923.02%,"-$1,393.51",-764.94%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.76,15.29%,,,,$10.06,3.07%,-$69.55,-812.60%,-$69.19,-808.93%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$82.20,21.93%,,,,$84.63,2.96%,$52.50,-36.13%,$52.60,-36.01%,AGO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$81.32,4.23%,,,,$85.16,4.72%,-$48.68,-159.86%,$17.83,-78.07%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$63.51,5.18%,5.18%,$66.80,$77.61,$66.57,4.82%,$65.04,2.41%,$91.35,43.84%,AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,2.75,$6.45,-22.48%,-22.48%,$5.00,$6.69,$7.18,11.32%,$8.07,25.10%,$10.03,55.52%,AIRS
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$60.21,-17.17%,,,,$61.95,2.89%,-$210.61,-449.79%,-$137.35,-328.12%,AL
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$19.34,-4.91%,,,,$19.94,3.10%,$22.75,17.61%,$32.43,67.68%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.88,147.27%,,,,$4.12,6.19%,$3.10,-20.10%,$13.27,242.06%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$41.05,1.17%,,,,$42.70,4.02%,-$440.14,-1172.20%,-$461.10,-1223.27%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$22.27,-3.46%,,,,$23.30,4.63%,-$149.17,-769.84%,-$143.50,-744.35%,ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,2,$7.88,-32.36%,-32.36%,$5.33,$5.33,$9.10,15.48%,$0.00,-100.00%,$0.00,-100.00%,ALTS
NYSE:AMBP,29 Aug 2025,$5.14,4,$4.41,6,3.5,$3.69,19.51%,19.51%,$4.41,$5.14,$3.83,3.79%,$7.13,93.33%,$17.26,367.83%,AMBP
NYSE:AMCR,8 Aug 2025,$10.91,5,$11.50,10,5,$8.63,26.45%,26.45%,$10.91,$11.50,$8.98,4.06%,$10.50,21.65%,$15.46,79.10%,AMCR
NASDAQ:AMRK,30 Aug 2025,$28.71,3,$43.50,2,2,$23.41,22.63%,22.63%,$28.71,$43.50,$22.40,-4.31%,$0.00,-100.00%,$0.00,-100.00%,AMRK
NASDAQ:AMWD,30 Aug 2025,$86.63,3,$70.67,6,3,$64.57,9.45%,9.45%,$70.67,$86.63,$62.99,-2.45%,$120.43,86.51%,$181.32,180.82%,AMWD
NYSE:AMX,15 May 2025,$18.21,3,$16.53,3,,$19.99,-17.31%,,,,$20.53,2.70%,$886.01,4332.29%,"$2,757.58",13694.80%,AMX
NYSE:ANF,20 Aug 2025,$127.43,3,$118.44,7,3.25,$93.53,26.63%,26.63%,$118.44,$127.43,$99.94,6.85%,$0.00,-100.00%,$0.00,-100.00%,ANF
NASDAQ:APA,12 Aug 2025,$28.49,3,$22.45,7,3.25,$23.22,-3.32%,-3.32%,$22.45,$28.49,$23.92,3.01%,$43.61,87.81%,$103.33,344.99%,APA
NYSE:APD,30 Aug 2025,$296.29,3,$328.83,8,3.5,$294.11,0.74%,0.74%,$296.29,$328.83,$303.57,3.22%,$199.85,-32.05%,$220.63,-24.98%,APD
NYSE:APH,16 Sep 2023,$81.57,2,,,,$108.86,-25.07%,,,,$113.24,4.02%,$160.74,47.65%,$172.31,58.28%,APH
NASDAQ:APOG,5 May 2025,$66.39,5,$55.00,2,,$43.98,25.06%,,,,$42.88,-2.50%,$124.85,183.88%,$151.89,245.36%,APOG
NYSE:AQN,26 Aug 2025,$6.14,4,$6.23,8,4,$5.80,5.92%,5.92%,$6.14,$6.23,$6.02,3.79%,-$2.85,-149.18%,$4.75,-18.17%,AQN
NYSE:AR,20 Aug 2025,$31.31,3,,,3,$31.92,-1.92%,-1.92%,$31.31,$31.31,$32.85,2.91%,$70.21,119.96%,$95.80,200.13%,AR
NASDAQ:ARHS,7 Jul 2025,$13.03,3,$10.27,4,,$11.73,-12.45%,,,,$12.10,3.15%,$24.93,112.52%,$52.98,351.70%,ARHS
NASDAQ:ARKO,26 Aug 2025,$6.50,3,,,3,$5.00,30.09%,30.09%,$6.50,$6.50,$5.28,5.60%,-$16.66,-433.30%,-$4.73,-194.64%,ARKO
NYSE:ASB,10 Apr 2025,$23.54,5,$27.17,6,,$26.97,-12.72%,,,,$28.26,4.78%,-$157.74,-684.86%,-$151.57,-661.99%,ASB
NYSE:ASH,14 May 2025,$83.18,3,$66.86,4,,$56.15,19.07%,,,,$58.27,3.78%,$116.30,107.12%,$247.67,341.08%,ASH
NASDAQ:ASML,30 Aug 2025,$871.20,3,$863.71,10,4,$742.62,16.31%,16.31%,$863.71,$871.20,$782.98,5.43%,$784.63,5.66%,$836.89,12.69%,ASML
NYSE:ASR,10 Jul 2025,$344.93,4,$352.00,7,,$325.71,5.90%,,,,$336.75,3.39%,"$2,561.14",686.33%,"$3,947.86",1112.08%,ASR
NYSE:ATI,30 Aug 2025,$63.00,2,$102.43,7,2.75,$77.54,-18.75%,-18.75%,$63.00,$102.43,$80.33,3.60%,$98.68,27.26%,$119.86,54.58%,ATI
NYSE:AU,20 Aug 2025,$29.75,2,,,2,$56.66,-47.49%,-47.49%,$29.75,$29.75,$58.91,3.97%,$135.00,138.27%,$139.45,146.12%,AU
NASDAQ:AVT,30 Aug 2025,$60.84,5,$52.75,1,2.75,$54.57,-3.34%,-3.34%,$52.75,$60.84,$56.08,2.77%,$0.05,-99.90%,$15.89,-70.88%,AVT
NYSE:AVY,30 Aug 2025,$186.52,3,$197.20,1,1.75,$171.65,8.66%,8.66%,$186.52,$197.20,$172.98,0.77%,$181.74,5.88%,$199.93,16.48%,AVY
NYSE:B,12 Aug 2025,$23.69,3,,,3,$26.63,-11.04%,-11.04%,$23.69,$23.69,$27.58,3.57%,$38.35,44.00%,$55.54,108.56%,B
NYSE:BA,9 Apr 2025,$179.31,5,$189.55,9,,$234.68,-23.60%,,,,$243.74,3.86%,$262.44,11.83%,$56.75,-75.82%,BA
NYSE:BABA,20 Aug 2025,$133.65,4,$148.92,7,3.75,$135.00,-1.00%,-1.00%,$133.65,$148.92,$141.28,4.65%,$0.00,-100.00%,$0.00,-100.00%,BABA
NYSE:BAC,14 Aug 2025,$45.19,3,$52.60,6,3,$50.74,-10.95%,-10.95%,$45.19,$52.60,$52.43,3.33%,-$244.08,-581.03%,-$241.14,-575.25%,BAC
NYSE:BALL,20 Aug 2025,$67.98,3,$62.78,6,3,$52.64,19.26%,19.26%,$62.78,$67.98,$53.84,2.28%,$30.32,-42.39%,$53.72,2.04%,BALL
NASDAQ:BANF,3 Jun 2025,$110.70,3,$121.50,6,,$132.97,-16.75%,,,,$139.77,5.11%,-$9.16,-106.89%,$2.35,-98.23%,BANF
NYSE:BB,18 Aug 2025,$3.38,3,$4.72,6,3,$3.83,-11.80%,-11.80%,$3.38,$4.72,$4.09,6.79%,$5.28,37.90%,$6.15,60.51%,BB
NYSE:BBD,4 Aug 2025,$2.64,3,$3.00,3,2.25,$3.11,-15.24%,-15.24%,$2.64,$3.00,$3.22,3.54%,-$17.94,-676.87%,-$15.41,-595.50%,BBD
NYSE:BBW,15 Aug 2025,$41.34,2,$59.00,8,3,$60.81,-32.02%,-32.02%,$41.34,$59.00,$73.16,20.31%,$0.00,-100.00%,$0.00,-100.00%,BBW
NYSE:BBWI,21 Jul 2025,$48.96,3,$41.08,3,,$29.21,40.64%,,,,$30.59,4.72%,$0.00,-100.00%,$0.00,-100.00%,BBWI
NYSE:BBY,30 Aug 2025,$87.98,3,$79.84,5,2.75,$73.64,8.42%,8.42%,$79.84,$87.98,$75.85,3.00%,$124.87,69.57%,$166.09,125.54%,BBY
NYSE:BCS,19 Aug 2025,$17.24,2,,,2,$19.63,-12.17%,-12.17%,$17.24,$17.24,$20.60,4.94%,$18.08,-7.89%,$18.08,-7.89%,BCS
NYSE:BCSF,30 Aug 2025,$16.51,3,$16.50,5,2.75,$15.82,4.30%,4.30%,$16.50,$16.51,$16.34,3.29%,-$6.38,-140.32%,-$6.95,-143.95%,BCSF
NASDAQ:BELFB,16 Jun 2025,$80.76,3,,,,$134.56,-39.99%,,,,$130.27,-3.19%,$209.60,55.77%,$251.67,87.03%,BELFB
NYSE:BFAM,10 Jul 2025,$120.00,3,$136.75,1,,$118.04,1.66%,,,,$124.69,5.63%,$209.41,77.41%,$238.45,102.01%,BFAM
NASDAQ:BFC,5 Jun 2025,$98.58,2,,,,$129.92,-24.12%,,,,$134.28,3.36%,-$176.75,-236.04%,-$163.22,-225.63%,BFC
NYSE:BIRK,30 Aug 2025,$55.22,4,$68.67,3,2.75,$52.13,5.92%,5.92%,$55.22,$68.67,$54.31,4.18%,$110.41,111.80%,$119.76,129.73%,BIRK
NYSE:BJ,20 Aug 2025,,0,,1,0.5,$97.68,-100.00%,-100.00%,,$0.00,$100.56,2.95%,$107.23,9.78%,$145.15,48.60%,BJ
NYSE:BKD,30 Aug 2025,$9.20,4,$8.83,6,3.5,$7.70,14.68%,14.68%,$8.83,$9.20,$7.60,-1.30%,-$9.88,-228.35%,$17.84,131.72%,BKD
NASDAQ:BKR,21 Jul 2025,$40.95,3,$48.38,5,,$45.40,-9.80%,,,,$47.02,3.57%,$41.50,-8.59%,$57.36,26.34%,BKR
NYSE:BLD,30 Aug 2025,$467.93,3,$430.00,3,2.25,$420.76,2.20%,2.20%,$430.00,$467.93,$436.31,3.70%,$801.38,90.46%,$891.46,111.87%,BLD
NASDAQ:BLNK,27 Aug 2025,$1.43,3,$2.50,6,3,$1.18,21.36%,21.36%,$1.43,$2.50,$1.25,5.93%,-$1.60,-235.87%,-$1.30,-209.81%,BLNK
NYSE:BMI,5 May 2025,$169.72,3,$236.50,6,,$182.92,-7.22%,,,,$190.15,3.95%,$274.03,49.81%,$271.04,48.18%,BMI
NYSE:BN,26 Aug 2024,$55.96,2,,,,$65.72,-14.85%,,,,$67.58,2.83%,-$142.50,-316.83%,-$103.06,-256.81%,BN
NYSE:BNS,19 Aug 2025,$55.34,3,,,3,$62.46,-11.40%,-11.40%,$55.34,$55.34,$65.41,4.72%,-$565.12,-1004.77%,-$555.37,-989.16%,BNS
NYSE:BOH,6 Jan 2025,$74.38,3,$72.00,5,,$68.12,5.70%,,,,$70.91,4.10%,-$397.61,-683.69%,-$389.73,-672.12%,BOH
NASDAQ:BOOM,12 Aug 2025,$10.98,3,$9.25,6,3,$6.70,38.06%,38.06%,$9.25,$10.98,$10.14,51.34%,$37.13,454.16%,$66.66,895.00%,BOOM
NYSE:BP,18 Aug 2025,$39.40,4,$37.67,9,4.25,$35.23,6.93%,6.93%,$37.67,$39.40,$36.67,4.09%,$37.27,5.78%,$132.93,277.32%,BP
NYSE:BRFS,15 Jul 2025,$3.91,3,$3.75,4,,$3.82,-1.83%,,,,$3.90,2.09%,$9.00,135.72%,$14.44,278.02%,BRFS
NYSE:BSBR,19 Aug 2025,$5.23,3,$5.70,7,3.25,$5.30,-1.26%,-1.26%,$5.23,$5.70,$5.43,2.45%,$4.26,-19.54%,$1.50,-71.64%,BSBR
NASDAQ:BTDR,19 Aug 2025,$10.25,2,,,2,$14.29,-28.28%,-28.28%,$10.25,$10.25,$15.27,6.86%,$12.55,-12.15%,$16.65,16.49%,BTDR
NYSE:BTI,18 Aug 2025,$53.35,3,,,3,$56.89,-6.22%,-6.22%,$53.35,$53.35,$85.38,50.08%,$0.00,-100.00%,$0.00,-100.00%,BTI
NASDAQ:BTOG,18 Aug 2025,$0.57,3,,,3,$0.39,45.38%,45.38%,$0.57,$0.57,$0.45,15.38%,$0.00,-100.00%,$0.00,-100.00%,BTOG
NYSE:BURL,25 Jul 2023,$199.81,4,,,,$290.68,-31.26%,,,,$283.34,-2.53%,$0.00,-100.00%,$0.00,-100.00%,BURL
NASDAQ:BUSE,10 Apr 2025,$24.44,4,$28.50,8,,$24.70,-1.04%,,,,$25.90,4.86%,-$131.91,-634.04%,-$128.42,-619.94%,BUSE
NYSE:BXSL,19 Aug 2025,$31.13,3,$31.63,7,3.25,$29.97,3.88%,3.88%,$31.13,$31.63,$30.95,3.27%,$88.15,194.14%,$95.45,218.48%,BXSL
NYSE:C,12 Aug 2025,$86.32,3,,,3,$96.57,-10.61%,-10.61%,$86.32,$86.32,$100.18,3.74%,-$753.90,-880.68%,-$729.78,-855.70%,C
NYSE:CAAP,15 Aug 2025,$22.01,3,$23.30,9,3.75,$21.51,2.31%,2.31%,$22.01,$23.30,$22.56,4.88%,$55.20,156.65%,$79.54,269.76%,CAAP
NASDAQ:CAC,6 Jun 2025,$40.10,3,$47.00,4,,$40.89,-1.93%,,,,$42.69,4.40%,-$308.38,-854.17%,-$302.60,-840.04%,CAC
NYSE:CAL,26 Mar 2025,$24.65,5,$17.00,6,,$15.00,13.33%,,,,$15.82,5.47%,$0.00,-100.00%,$0.00,-100.00%,CAL
NASDAQ:CALM,11 Jul 2025,$93.94,3,$100.00,6,,$115.64,-18.77%,,,,$119.78,3.58%,$615.47,432.23%,$650.68,462.68%,CALM
NASDAQ:CAMT,24 Oct 2024,$87.99,4,,,,$82.71,6.38%,,,,$89.23,7.88%,$82.03,-0.82%,$82.03,-0.82%,CAMT
NASDAQ:CAR,11 Mar 2024,$159.62,3,,,,$158.23,0.88%,,,,$157.85,-0.24%,$205.11,29.63%,$623.48,294.04%,CAR
NYSE:CARR,27 Aug 2025,$61.99,2,,,2,$65.20,-4.93%,-4.93%,$61.99,$61.99,$68.94,5.74%,$85.44,31.04%,$110.69,69.77%,CARR
NYSE:CAVA,14 Aug 2025,$80.21,2,$95.63,3,1.75,$67.55,18.74%,18.74%,$80.21,$95.63,$70.32,4.10%,$72.29,7.01%,$79.83,18.18%,CAVA
NYSE:CB,19 Aug 2025,$282.07,3,$303.61,4,2.5,$275.07,2.54%,2.54%,$282.07,$303.61,$287.75,4.61%,$438.33,59.35%,$451.62,64.18%,CB
NYSE:CBZ,7 Jan 2025,$77.57,3,,,,$64.54,20.19%,,,,$66.85,3.58%,$100.35,55.49%,$121.40,88.09%,CBZ
NYSE:CDE,28 Jul 2025,$6.60,1,$10.90,6,,$13.15,-49.83%,,,,$13.55,3.04%,$21.97,67.08%,$26.98,105.20%,CDE
NYSE:CE,28 Mar 2025,$111.30,3,$67.13,9,,$47.63,40.94%,,,,$48.67,2.18%,$42.62,-10.52%,$136.40,186.38%,CE
NASDAQ:CELC,29 Nov 2024,$21.98,3,,,,$51.23,-57.11%,,,,$51.51,0.55%,$44.60,-12.95%,$44.61,-12.93%,CELC
NASDAQ:CENT,16 Dec 2024,$38.50,4,,8,,$36.43,5.68%,,,,$37.28,2.33%,$765.66,2001.72%,$856.84,2252.02%,CENT
NASDAQ:CENTA,31 May 2024,$40.70,3,,,,$33.03,23.21%,,,,$33.80,2.33%,$169.36,412.75%,$186.41,464.36%,CENTA
NASDAQ:CENX,20 Aug 2025,$23.49,3,$25.50,9,3.75,$22.33,5.19%,5.19%,$23.49,$25.50,$23.34,4.52%,$29.67,32.87%,$12.92,-42.16%,CENX
NYSE:CGAU,15 Aug 2025,$8.68,4,$9.61,7,3.75,$8.17,6.28%,6.28%,$8.68,$9.61,$8.45,3.43%,$18.05,120.87%,$10.11,23.77%,CGAU
NASDAQ:CHCO,3 Jun 2025,$111.09,3,,,,$128.48,-13.54%,,,,$133.84,4.17%,-$122.28,-195.17%,-$105.04,-181.76%,CHCO
NYSE:CHD,20 Feb 2024,$80.10,1,,,,$93.16,-14.02%,,,,$93.37,0.23%,$114.01,22.38%,$123.47,32.54%,CHD
NASDAQ:CHDN,22 Jul 2025,$114.58,3,$131.43,8,,$103.73,10.46%,,,,$105.82,2.01%,$86.89,-16.24%,$119.42,15.12%,CHDN
NYSE:CHE,3 Jul 2024,$512.61,3,,,,$457.95,11.94%,,,,$451.37,-1.44%,$789.09,72.31%,$840.13,83.45%,CHE
NYSE:CHGG,20 Aug 2025,$2.28,3,,5,2.75,$1.47,55.10%,55.10%,$2.28,$2.28,$1.51,2.72%,$13.91,846.41%,$6.00,307.86%,CHGG
NASDAQ:CHRD,23 Aug 2024,$167.62,3,,,,$109.89,52.53%,,,,$113.06,2.88%,$92.37,-15.94%,$333.19,203.21%,CHRD
NYSE:CHT,17 Jun 2024,$40.37,3,,,,$43.51,-7.22%,,,,$44.79,2.94%,$55.18,26.82%,$72.85,67.44%,CHT
NASDAQ:CHX,23 Aug 2024,$37.87,4,,,,#N/A,#N/A,,,,$25.03,#N/A,$0.00,#N/A,$0.00,#N/A,CHX
NASDAQ:CIFR,4 Aug 2025,$6.62,3,$7.06,3,2.25,$7.64,-13.38%,-13.38%,$6.62,$7.06,$8.86,15.97%,$5.69,-25.52%,$7.93,3.83%,CIFR
NYSE:CIG,17 Feb 2025,$1.90,3,$2.60,5,,$2.03,-6.26%,,,,$2.07,1.97%,$0.00,-100.00%,$0.00,-100.00%,CIG
NASDAQ:CINF,12 Jun 2025,$142.00,2,,,,$153.60,-7.55%,,,,$157.79,2.73%,$328.37,113.78%,$348.52,126.90%,CINF
NYSE:CL,18 Aug 2025,$84.33,3,$97.40,5,2.75,$84.07,0.30%,0.30%,$84.33,$97.40,$86.31,2.66%,$133.32,58.58%,$146.54,74.31%,CL
NYSE:CLF,17 Aug 2025,$12.62,3,$10.78,6,3,$10.75,0.28%,0.28%,$10.78,$12.62,$11.30,5.12%,$24.39,126.84%,$19.43,80.75%,CLF
NYSE:CLH,9 Apr 2025,$216.05,5,$271.56,9,,$242.21,-10.80%,,,,$250.93,3.60%,$314.57,29.88%,$465.34,92.12%,CLH
NASDAQ:CLMB,25 Aug 2025,$107.31,3,$133.00,5,2.75,$123.56,-13.15%,-13.15%,$107.31,$133.00,$127.83,3.46%,$239.13,93.53%,$255.38,106.68%,CLMB
NYSE:CLW,26 Dec 2024,,,$37.00,5,,$21.57,71.53%,,,,$22.51,4.36%,$84.26,290.64%,$197.33,814.82%,CLW
NYSE:CLX,8 Oct 2024,$155.10,3,,,,$118.20,31.22%,,,,$118.74,0.46%,$202.33,71.17%,$235.57,99.30%,CLX
NYSE:CM,19 Aug 2025,,,,,,$77.29,-100.00%,-100.00%,,$0.00,$80.10,3.64%,$0.00,-100.00%,$0.00,-100.00%,CM
NYSE:CNH,18 Aug 2025,$16.66,5,$14.39,4,3.5,$11.45,25.68%,25.68%,$14.39,$16.66,$12.38,8.12%,$10.71,-6.43%,$17.33,51.38%,CNH
NYSE:CNM,15 Aug 2025,$59.25,2,,,2,$64.72,-8.45%,-8.45%,$59.25,$59.25,$68.67,6.10%,$0.00,-100.00%,$0.00,-100.00%,CNM
NYSE:CNO,20 Oct 2023,$30.57,5,,,,$39.47,-22.56%,,,,$40.59,2.84%,-$250.04,-733.50%,-$217.84,-651.92%,CNO
NYSE:COF,18 Aug 2025,$1.55,4,$1.15,4,3,$227.22,-99.49%,-99.49%,$1.15,$1.55,$233.44,2.74%,$224.47,-1.21%,$361.79,59.22%,COF
