Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$31.11,31.30%,31.30%,$40.85,$40.85,$31.55,1.41%,$46.75,50.28%,$94.53,203.85%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,1.75,$13.35,-6.73%,-6.73%,$12.45,$13.73,$13.36,0.07%,-$56.45,-522.83%,-$51.74,-487.58%,AAL
NYSE:ABEV,11 Aug 2025,$2.67,5,$2.88,6,4,$2.23,19.82%,19.82%,$2.67,$2.88,$2.25,0.90%,$3.08,38.34%,$3.90,74.83%,ABEV
NYSE:ABM,8 Oct 2024,$59.18,4,,,,$49.25,20.15%,,,,$50.36,2.25%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.01,81.87%,,,,$4.14,3.24%,$10.30,156.96%,$18.65,365.00%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.74,-10.27%,,,,$9.81,0.72%,$10.20,4.74%,$10.24,5.13%,ACHR
NYSE:ACN,18 Aug 2025,$250.90,4,$337.22,9,4.25,$261.70,-4.13%,-4.13%,$250.90,$337.22,$382.50,46.16%,$596.61,127.97%,$631.63,141.36%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.38,35.00%,,,,,-100.00%,-$2.00,-626.32%,-$2.00,-626.32%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.39,0.56%,,,,$13.08,-2.32%,-$56.28,-520.28%,-$51.98,-488.21%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.18,17.26%,,,,$15.80,4.08%,$52.31,244.61%,$77.73,412.05%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$9.07,-15.60%,-15.60%,$7.66,$7.66,$13.26,46.20%,$10.45,15.25%,$17.71,95.29%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$28.45,-36.75%,-36.75%,$18.00,$18.00,$29.21,2.67%,$36.43,28.05%,$45.66,60.48%,AGI
NYSE:AGM,19 May 2025,$187.40,3,$232.50,6,,$201.18,-6.85%,,,,$209.89,4.33%,"-$1,753.79",-971.75%,"-$1,426.56",-809.10%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.87,14.00%,,,,$10.17,3.04%,-$69.74,-806.61%,-$69.39,-802.99%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$82.01,22.21%,,,,$83.75,2.12%,$49.90,-39.15%,$50.01,-39.03%,AGO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$83.35,1.69%,,,,$86.29,3.53%,-$47.97,-157.55%,$18.17,-78.20%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$65.24,2.39%,2.39%,$66.80,$77.61,$66.64,2.15%,$63.74,-2.30%,$89.91,37.81%,AIN
NASDAQ:AIRS,3 Jul 2025,$6.62,3,$4.50,6,,$6.39,-29.58%,,,,$9.78,53.05%,$8.62,34.97%,$9.34,46.20%,AIRS
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$60.50,-17.57%,,,,$60.90,0.66%,-$211.92,-450.28%,-$139.14,-329.99%,AL
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$19.05,-3.46%,,,,$19.68,3.31%,$21.87,14.82%,$31.45,65.08%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.95,142.89%,,,,$4.06,2.78%,$2.93,-25.74%,$13.02,229.73%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$40.11,3.54%,,,,$40.28,0.42%,-$443.08,-1204.66%,-$463.83,-1256.39%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$22.28,-3.50%,,,,$22.60,1.44%,-$150.07,-773.57%,-$144.43,-748.24%,ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,2,$6.22,-14.31%,-14.31%,$5.33,$5.33,$6.18,-0.64%,$0.00,-100.00%,$0.00,-100.00%,ALTS
NYSE:AMBP,12 May 2025,$5.62,5,$3.65,6,,$3.78,-3.44%,,,,$5.63,48.94%,$7.03,85.85%,$17.07,351.66%,AMBP
NYSE:AMCR,8 Aug 2025,$10.91,5,$11.50,10,5,$8.76,24.58%,24.58%,$10.91,$11.50,$9.01,2.85%,$10.51,20.00%,$15.44,76.23%,AMCR
NASDAQ:AMRK,16 Dec 2024,$47.67,3,,5,,$23.89,99.54%,,,,$21.70,-9.17%,$0.00,-100.00%,$0.00,-100.00%,AMRK
NASDAQ:AMWD,19 Dec 2024,$85.26,3,$116.00,7,,$66.87,27.50%,,,,$60.72,-9.20%,$0.00,-100.00%,$0.00,-100.00%,AMWD
NYSE:AMX,15 May 2025,$18.21,3,$16.53,3,,$19.79,-16.47%,,,,$19.97,0.91%,$869.10,4291.59%,"$2,716.82",13628.23%,AMX
NYSE:ANF,20 Aug 2025,$127.43,3,$118.44,7,3.25,$97.18,21.88%,21.88%,$118.44,$127.43,$98.55,1.41%,$0.00,-100.00%,$0.00,-100.00%,ANF
NASDAQ:APA,12 Aug 2025,$28.49,3,$22.45,7,3.25,$21.54,4.22%,4.22%,$22.45,$28.49,$31.09,44.34%,$52.73,144.80%,$112.11,420.46%,APA
NYSE:APD,7 Jun 2024,$304.35,4,,,,$299.70,1.55%,,,,$308.94,3.08%,$199.07,-33.58%,$219.80,-26.66%,APD
NYSE:APH,16 Sep 2023,$81.57,2,,,,$111.11,-26.59%,,,,$113.51,2.16%,$160.03,44.03%,$171.47,54.32%,APH
NASDAQ:APOG,5 May 2025,$66.39,5,$55.00,2,,$44.88,22.55%,,,,$41.21,-8.18%,$122.13,172.12%,$148.88,231.74%,APOG
NYSE:AQN,18 Aug 2025,$6.08,4,$6.19,8,4,$5.84,4.18%,4.18%,$6.08,$6.19,$6.17,5.65%,-$2.89,-149.43%,$4.65,-20.34%,AQN
NYSE:AR,20 Aug 2025,$31.31,3,,,3,$30.70,1.98%,1.98%,$31.31,$31.31,$46.63,51.89%,$68.65,123.62%,$94.10,206.53%,AR
NASDAQ:ARHS,7 Jul 2025,$13.03,3,$10.27,4,,$12.31,-16.57%,,,,$12.51,1.62%,$24.76,101.18%,$52.50,326.50%,ARHS
