Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$31.97,27.77%,27.77%,$40.85,$40.85,$32.84,2.72%,$49.12,53.65%,$97.01,203.44%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.18,-5.53%,,,,$13.81,4.78%,-$55.79,-523.29%,-$51.08,-487.58%,AAL
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.24,11.61%,11.61%,$2.50,$2.63,$2.27,1.34%,$3.11,38.70%,$3.92,75.10%,ABEV
NYSE:ABM,8 Oct 2024,$59.18,4,,,,$49.10,20.52%,,,,$51.43,4.75%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.97,83.70%,,,,$4.10,3.27%,$10.40,162.08%,$18.76,372.62%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.24,-5.41%,,,,$9.64,4.33%,$9.97,7.91%,$10.01,8.33%,ACHR
NYSE:ACN,25 Aug 2025,$264.08,4,$337.22,9,4.25,$256.28,3.05%,3.05%,$264.08,$337.22,$274.58,7.14%,$601.20,134.59%,$636.34,148.30%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.38,35.00%,,,,,-100.00%,-$2.00,-626.32%,-$2.00,-626.32%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.49,-0.19%,,,,$13.29,-1.48%,-$55.89,-514.30%,-$51.59,-482.46%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.10,17.88%,,,,$15.58,3.18%,$52.67,248.83%,$78.19,417.80%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$8.98,-14.76%,-14.76%,$7.66,$7.66,$9.44,5.12%,$10.83,20.65%,$18.12,101.73%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$29.81,-39.63%,-39.63%,$18.00,$18.00,$31.12,4.39%,$38.45,28.98%,$47.71,60.05%,AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$207.50,11.01%,11.01%,$230.34,$230.34,$214.64,3.44%,"-$1,737.65",-937.42%,"-$1,409.08",-779.08%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.83,14.47%,,,,$10.24,4.17%,-$69.56,-807.61%,-$69.20,-803.98%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$81.51,22.96%,,,,$84.67,3.88%,$51.50,-36.82%,$51.60,-36.70%,AGO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$81.56,3.92%,,,,$86.03,5.48%,-$48.16,-159.05%,$18.10,-77.81%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$63.18,5.73%,5.73%,$66.80,$77.61,$66.91,5.90%,$65.33,3.40%,$91.55,44.90%,AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,2.75,$6.39,-21.75%,-21.75%,$5.00,$6.69,$6.91,8.14%,$7.96,24.62%,$9.91,55.11%,AIRS
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$60.33,-17.34%,,,,$62.55,3.68%,-$210.28,-448.55%,-$137.35,-327.66%,AL
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$19.30,-4.71%,,,,$20.05,3.89%,$22.70,17.60%,$32.31,67.40%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.94,143.50%,,,,$4.04,2.54%,$3.10,-21.35%,$13.22,235.45%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$41.18,0.85%,,,,$42.89,4.15%,-$440.36,-1169.35%,-$461.18,-1219.91%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$22.33,-3.72%,,,,$23.23,4.03%,-$149.04,-767.44%,-$143.38,-742.12%,ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,2,$7.23,-26.28%,-26.28%,$5.33,$5.33,$7.98,10.37%,$0.00,-100.00%,$0.00,-100.00%,ALTS
NYSE:AMBP,12 May 2025,$5.62,5,$3.65,6,,$3.67,-0.54%,,,,$4.12,12.26%,$7.04,91.94%,$17.12,366.46%,AMBP
NYSE:AMCR,8 Aug 2025,$10.91,5,$11.50,10,5,$8.53,27.94%,27.94%,$10.91,$11.50,$8.85,3.75%,$10.39,21.82%,$15.33,79.69%,AMCR
NASDAQ:AMRK,16 Dec 2024,$47.67,3,,5,,$22.79,109.17%,,,,$22.62,-0.75%,$0.00,-100.00%,$0.00,-100.00%,AMRK
NASDAQ:AMWD,19 Dec 2024,$85.26,3,$116.00,7,,$66.08,29.02%,,,,$65.40,-1.03%,$0.00,-100.00%,$0.00,-100.00%,AMWD
NYSE:AMX,15 May 2025,$18.21,3,$16.53,3,,$20.00,-17.35%,,,,$20.53,2.65%,$875.02,4275.09%,"$2,730.64",13553.18%,AMX
NYSE:ANF,20 Aug 2025,$127.43,3,$118.44,7,3.25,$97.04,22.05%,22.05%,$118.44,$127.43,$102.92,6.06%,$0.00,-100.00%,$0.00,-100.00%,ANF
NASDAQ:APA,12 Aug 2025,$28.49,3,$22.45,7,3.25,$22.51,-0.27%,-0.27%,$22.45,$28.49,$23.57,4.71%,$42.76,89.97%,$102.25,354.26%,APA
NYSE:APD,7 Jun 2024,$304.35,4,,,,$294.51,3.34%,,,,$305.81,3.84%,$200.17,-32.03%,$220.92,-24.99%,APD
NYSE:APH,16 Sep 2023,$81.57,2,,,,$111.86,-27.08%,,,,$113.71,1.65%,$161.53,44.40%,$173.01,54.67%,APH
NASDAQ:APOG,5 May 2025,$66.39,5,$55.00,2,,$43.95,25.14%,,,,$43.81,-0.32%,$124.34,182.92%,$151.19,244.01%,APOG
NYSE:AQN,26 Aug 2025,$6.14,4,$6.23,8,4,$5.84,5.20%,5.20%,$6.14,$6.23,$6.04,3.42%,-$2.87,-149.06%,$4.69,-19.63%,AQN
NYSE:AR,20 Aug 2025,$31.31,3,,,3,$31.04,0.86%,0.86%,$31.31,$31.31,$33.62,8.31%,$69.37,123.47%,$94.86,205.61%,AR
NASDAQ:ARHS,7 Jul 2025,$13.03,3,$10.27,4,,$11.82,-13.11%,,,,$12.53,6.01%,$24.99,111.38%,$52.83,346.94%,ARHS
NASDAQ:ARKO,26 Aug 2025,$6.50,3,,,3,$5.04,29.06%,29.06%,$6.50,$6.50,$5.18,2.78%,-$16.63,-429.93%,-$4.74,-194.08%,ARKO
NYSE:ASB,10 Apr 2025,$23.54,5,$27.17,6,,$26.91,-12.53%,,,,$28.23,4.91%,-$157.97,-687.02%,-$151.82,-664.19%,ASB
NYSE:ASH,14 May 2025,$83.18,3,$66.86,4,,$56.57,18.19%,,,,$57.87,2.30%,$115.98,105.02%,$202.32,257.64%,ASH
NASDAQ:ASML,8 Jul 2024,$901.00,1,,,,$766.96,17.48%,,,,$798.14,4.07%,$811.47,5.80%,$863.33,12.56%,ASML
NYSE:ASR,10 Jul 2025,$344.93,4,$352.00,7,,$331.68,4.00%,,,,$337.28,1.69%,"$2,540.33",665.90%,"$3,915.57",1080.53%,ASR
NYSE:ATI,28 Oct 2024,$51.14,1,,,,$77.44,-33.96%,,,,$78.69,1.61%,$97.56,25.98%,$118.59,53.13%,ATI
NYSE:AU,20 Aug 2025,$29.75,2,,,2,$55.13,-46.03%,-46.03%,$29.75,$29.75,$58.46,6.04%,$133.01,141.27%,$137.46,149.33%,AU
NASDAQ:AVT,19 Dec 2024,$60.44,3,$51.33,2,,$54.91,-6.52%,,,,$56.25,2.44%,$0.35,-99.37%,$16.13,-70.63%,AVT
NYSE:AVY,20 Sep 2024,$180.75,1,,,,$172.09,5.03%,,,,$177.70,3.26%,$182.93,6.30%,$201.07,16.84%,AVY
NYSE:B,12 Aug 2025,$23.69,3,,,3,$26.40,-10.27%,-10.27%,$23.69,$23.69,$27.64,4.70%,$38.01,43.98%,$55.06,108.57%,B
NYSE:BA,9 Apr 2025,$179.31,5,$189.55,9,,$234.77,-23.62%,,,,$243.91,3.89%,$261.34,11.32%,$57.45,-75.53%,BA
NYSE:BABA,20 Aug 2025,$133.65,4,$148.92,7,3.75,$120.20,11.19%,11.19%,$133.65,$148.92,$128.50,6.91%,$0.00,-100.00%,$0.00,-100.00%,BABA
NYSE:BAC,14 Aug 2025,$45.19,3,$52.60,6,3,$50.58,-10.66%,-10.66%,$45.19,$52.60,$52.46,3.72%,-$244.85,-584.09%,-$241.93,-578.31%,BAC
NYSE:BALL,20 Aug 2025,$67.98,3,$62.78,6,3,$51.80,21.20%,21.20%,$62.78,$67.98,$79.09,52.68%,$29.87,-42.34%,$53.17,2.65%,BALL
NASDAQ:BANF,3 Jun 2025,$110.70,3,$121.50,6,,$133.35,-16.99%,,,,$140.96,5.71%,-$9.14,-106.85%,$2.29,-98.29%,BANF
NYSE:BB,18 Aug 2025,$3.38,3,$4.72,6,3,$3.84,-12.03%,-12.03%,$3.38,$4.72,$4.14,7.81%,$5.29,37.78%,$6.15,60.26%,BB
NYSE:BBD,4 Aug 2025,$2.64,3,$3.00,3,2.25,$3.09,-14.69%,-14.69%,$2.64,$3.00,$3.14,1.62%,-$18.22,-689.67%,-$15.70,-608.09%,BBD
NYSE:BBW,15 Aug 2025,$41.34,2,$59.00,8,3,$64.45,-35.86%,-35.86%,$41.34,$59.00,$64.61,0.25%,$0.00,-100.00%,$0.00,-100.00%,BBW
NYSE:BBWI,21 Jul 2025,$48.96,3,$41.08,3,,$29.29,40.25%,,,,$33.59,14.68%,$0.00,-100.00%,$0.00,-100.00%,BBWI
NYSE:BBY,14 Oct 2024,$84.10,1,,,,$72.60,15.84%,,,,$77.52,6.78%,$0.00,-100.00%,$0.00,-100.00%,BBY
NYSE:BCS,19 Aug 2025,$17.24,2,,,2,$20.08,-14.13%,-14.13%,$17.24,$17.24,$21.24,5.78%,$15.74,-21.60%,$15.74,-21.60%,BCS
NYSE:BCSF,8 Jul 2024,$18.63,3,,,,$15.61,19.34%,,,,$16.08,3.01%,-$6.63,-142.50%,-$7.21,-146.17%,BCSF
NASDAQ:BELFB,16 Jun 2025,$80.76,3,,,,$141.25,-42.83%,,,,$133.56,-5.44%,$214.63,51.95%,$256.37,81.50%,BELFB
NYSE:BFAM,10 Jul 2025,$120.00,3,$136.75,1,,$118.69,1.10%,,,,$118.32,-0.31%,$209.77,76.74%,$238.60,101.03%,BFAM
NASDAQ:BFC,5 Jun 2025,$98.58,2,,,,$129.68,-23.98%,,,,$134.71,3.88%,-$176.95,-236.45%,-$163.53,-226.10%,BFC
NYSE:BIRK,28 Oct 2024,$56.09,3,,,,$52.58,6.67%,,,,$54.09,2.87%,$109.66,108.56%,$118.95,126.24%,BIRK
NYSE:BJ,20 Aug 2025,,0,,1,0.5,$95.77,-100.00%,-100.00%,,$0.00,$101.39,5.87%,$106.37,11.07%,$144.01,50.37%,BJ
NYSE:BKD,20 Sep 2024,$7.70,3,,,,$7.83,-1.65%,,,,$7.76,-0.89%,-$9.81,-225.24%,$17.71,126.23%,BKD
NASDAQ:BKR,21 Jul 2025,$40.95,3,$48.38,5,,$44.73,-8.45%,,,,$46.62,4.23%,$40.82,-8.75%,$56.59,26.52%,BKR
