Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$31.98,27.73%,27.73%,$40.85,$40.85,$33.42,4.50%,$48.69,52.25%,$96.30,201.11%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,1.75,$13.15,-5.32%,-5.32%,$12.45,$13.73,$14.24,8.29%,-$55.62,-522.93%,-$50.91,-487.15%,AAL
NYSE:ABEV,11 Aug 2025,$2.67,5,$2.88,6,4,$2.23,19.82%,19.82%,$2.67,$2.88,$2.32,4.04%,$3.12,40.01%,$3.93,76.40%,ABEV
NYSE:ABM,8 Oct 2024,$59.18,4,,,,$49.07,20.60%,,,,$51.79,5.54%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.03,80.97%,,,,$4.19,3.97%,$10.32,156.05%,$18.64,362.48%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.53,-8.29%,,,,$10.18,6.82%,$10.49,10.10%,$10.53,10.50%,ACHR
NYSE:ACN,25 Aug 2025,$264.08,4,$337.22,9,4.25,$257.30,2.64%,2.64%,$264.08,$337.22,$393.25,52.84%,$599.67,133.06%,$634.51,146.60%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.37,38.65%,,,,,-100.00%,-$2.00,-640.54%,-$2.00,-640.54%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.46,0.04%,,,,$13.77,2.30%,-$55.75,-514.19%,-$51.46,-482.30%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.01,18.59%,,,,$15.86,5.66%,$52.10,247.10%,$77.38,415.49%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$8.94,-14.37%,-14.37%,$7.66,$7.66,$9.60,7.38%,$10.73,19.98%,$17.95,100.82%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$28.40,-36.64%,-36.64%,$18.00,$18.00,$30.07,5.88%,$36.98,30.21%,$46.15,62.52%,AGI
NYSE:AGM,19 May 2025,$187.40,3,$232.50,6,,$205.12,-8.64%,,,,$216.69,5.64%,"-$1,753.23",-954.73%,"-$1,428.00",-796.18%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.87,14.00%,,,,$10.25,3.85%,-$69.54,-804.55%,-$69.18,-800.93%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$81.80,22.52%,,,,$85.31,4.29%,$50.90,-37.78%,$51.00,-37.66%,AGO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$82.84,2.32%,,,,$86.58,4.51%,-$47.46,-157.29%,$18.50,-77.66%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$64.66,3.31%,3.31%,$66.80,$77.61,$68.74,6.31%,$66.54,2.90%,$92.63,43.26%,AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,2.75,$6.40,-21.88%,-21.88%,$5.00,$6.69,$7.23,12.97%,$8.06,25.96%,$9.99,56.14%,AIRS
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$59.94,-16.80%,,,,$62.30,3.94%,-$210.72,-451.55%,-$138.18,-330.54%,AL
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$19.02,-3.31%,,,,$19.90,4.63%,$22.25,16.97%,$31.77,67.03%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.83,150.50%,,,,$4.15,8.36%,$3.02,-21.14%,$13.07,241.28%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$40.69,2.06%,,,,$42.05,3.34%,-$441.14,-1184.15%,-$461.78,-1234.88%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$22.41,-4.06%,,,,$23.37,4.28%,-$149.06,-765.17%,-$143.44,-740.07%,ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,2,$6.72,-20.68%,-20.68%,$5.33,$5.33,$6.98,3.87%,$0.00,-100.00%,$0.00,-100.00%,ALTS
NYSE:AMBP,12 May 2025,$5.62,5,$3.65,6,,$3.73,-2.14%,,,,$4.04,8.31%,$7.03,88.38%,$17.03,356.67%,AMBP
NYSE:AMCR,8 Aug 2025,$10.91,5,$11.50,10,5,$8.53,27.94%,27.94%,$10.91,$11.50,$9.08,6.45%,$10.53,23.44%,$15.44,81.00%,AMCR
NASDAQ:AMRK,16 Dec 2024,$47.67,3,,5,,$24.60,93.78%,,,,$22.35,-9.15%,$0.00,-100.00%,$0.00,-100.00%,AMRK
NASDAQ:AMWD,19 Dec 2024,$85.26,3,$116.00,7,,$67.09,27.08%,,,,$61.79,-7.90%,$0.00,-100.00%,$0.00,-100.00%,AMWD
NYSE:AMX,15 May 2025,$18.21,3,$16.53,3,,$20.18,-18.09%,,,,$20.73,2.73%,$861.87,4170.89%,"$2,698.08",13270.06%,AMX
NYSE:ANF,20 Aug 2025,$127.43,3,$118.44,7,3.25,$99.82,18.65%,18.65%,$118.44,$127.43,$102.95,3.14%,$0.00,-100.00%,$0.00,-100.00%,ANF
NASDAQ:APA,12 Aug 2025,$28.49,3,$22.45,7,3.25,$22.07,1.72%,1.72%,$22.45,$28.49,$22.71,2.90%,$41.54,88.24%,$100.75,356.52%,APA
NYSE:APD,7 Jun 2024,$304.35,4,,,,$296.84,2.53%,,,,$311.82,5.05%,$204.75,-31.02%,$225.46,-24.05%,APD
NYSE:APH,16 Sep 2023,$81.57,2,,,,$110.65,-26.28%,,,,$113.55,2.62%,$160.17,44.75%,$171.54,55.03%,APH
NASDAQ:APOG,5 May 2025,$66.39,5,$55.00,2,,$44.93,22.41%,,,,$42.98,-4.34%,$124.19,176.41%,$150.81,235.65%,APOG
NYSE:AQN,18 Aug 2025,$6.08,4,$6.19,8,4,$5.75,5.81%,5.81%,$6.08,$6.19,$6.13,6.61%,-$2.88,-150.15%,$4.63,-19.55%,AQN
NYSE:AR,20 Aug 2025,$31.31,3,,,3,$31.05,0.83%,0.83%,$31.31,$31.31,$32.57,4.90%,$68.64,121.05%,$94.02,202.79%,AR
NASDAQ:ARHS,7 Jul 2025,$13.03,3,$10.27,4,,$12.03,-14.63%,,,,$12.83,6.65%,$25.16,109.11%,$52.74,338.38%,ARHS
NASDAQ:ARKO,21 Jul 2025,$6.34,3,$6.88,4,,$5.10,24.35%,,,,$5.48,7.45%,-$16.51,-423.64%,-$4.68,-191.67%,ARKO
NYSE:ASB,10 Apr 2025,$23.54,5,$27.17,6,,$26.48,-11.11%,,,,$27.28,3.02%,-$158.67,-699.20%,-$152.55,-676.11%,ASB
NYSE:ASH,14 May 2025,$83.18,3,$66.86,4,,$56.12,19.14%,,,,$54.60,-2.71%,$115.15,105.18%,$200.90,257.98%,ASH
NASDAQ:ASML,8 Jul 2024,$901.00,1,,,,$757.34,18.97%,,,,$806.23,6.46%,$795.69,5.06%,$847.06,11.85%,ASML
NYSE:ASR,10 Jul 2025,$344.93,4,$352.00,7,,$328.27,5.08%,,,,$344.22,4.86%,"$2,511.67",665.12%,"$3,872.79",1079.76%,ASR
NYSE:ATI,28 Oct 2024,$51.14,1,,,,$74.05,-30.94%,,,,$76.23,2.94%,$94.09,27.07%,$114.93,55.20%,ATI
NYSE:AU,20 Aug 2025,$29.75,2,,,2,$54.35,-45.26%,-45.26%,$29.75,$29.75,$58.53,7.69%,$131.38,141.74%,$135.83,149.91%,AU
