Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$31.68,28.94%,28.94%,$40.85,$40.85,$33.71,6.41%,$48.75,53.87%,$96.35,204.14%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,1.75,$13.55,-8.11%,-8.11%,$12.45,$13.73,$14.24,5.09%,-$55.62,-510.45%,-$50.91,-475.72%,AAL
NYSE:ABEV,11 Aug 2025,$2.67,5,$2.88,6,4,$2.23,19.82%,19.82%,$2.67,$2.88,$2.31,3.59%,$3.12,40.01%,$3.93,76.40%,ABEV
NYSE:ABM,8 Oct 2024,$59.18,4,,,,$49.66,19.16%,,,,$51.90,4.51%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.01,81.87%,,,,$4.19,4.49%,$10.32,157.33%,$18.64,364.78%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.67,-9.62%,,,,$10.15,4.96%,$10.49,8.51%,$10.53,8.90%,ACHR
NYSE:ACN,18 Aug 2025,$250.90,4,$337.22,9,4.25,$259.22,-3.21%,-3.21%,$250.90,$337.22,$393.25,51.71%,$599.67,131.34%,$634.51,144.78%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.38,35.00%,,,,,-100.00%,-$2.00,-626.32%,-$2.00,-626.32%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.49,-0.19%,,,,$13.77,2.08%,-$55.74,-513.19%,-$51.45,-481.37%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.98,18.83%,,,,$15.96,6.54%,$52.10,247.80%,$77.38,416.52%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$9.00,-14.94%,-14.94%,$7.66,$7.66,$9.64,7.11%,$10.73,19.18%,$17.95,99.49%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$28.40,-36.64%,-36.64%,$18.00,$18.00,$30.15,6.16%,$36.98,30.21%,$46.15,62.52%,AGI
NYSE:AGM,19 May 2025,$187.40,3,$232.50,6,,$204.06,-8.17%,,,,$219.75,7.69%,"-$1,753.23",-959.17%,"-$1,428.00",-799.79%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.88,13.89%,,,,$10.27,3.95%,-$69.54,-803.83%,-$69.18,-800.22%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$82.51,21.47%,,,,$85.35,3.44%,$50.90,-38.32%,$51.00,-38.19%,AGO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$83.38,1.66%,,,,$86.91,4.23%,-$47.45,-156.90%,$18.51,-77.80%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$65.24,2.39%,2.39%,$66.80,$77.61,$99.18,52.02%,$66.54,1.99%,$92.63,41.99%,AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,2.75,$6.50,-23.08%,-23.08%,$5.00,$6.69,$9.79,50.62%,$9.21,41.66%,$9.92,52.66%,AIRS
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$60.04,-16.94%,,,,$62.25,3.68%,-$210.76,-451.03%,-$138.22,-330.22%,AL
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$19.04,-3.41%,,,,$19.99,4.99%,$22.25,16.85%,$31.77,66.86%,ALEX
