Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$32.24,26.70%,26.70%,$40.85,$40.85,$33.57,4.13%,$49.13,52.39%,$97.13,201.28%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.98,-4.08%,,,,$13.91,7.16%,-$55.27,-525.81%,-$50.56,-489.54%,AAL
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.21,13.12%,13.12%,$2.50,$2.63,$2.27,2.71%,$3.13,41.57%,$3.95,78.53%,ABEV
NYSE:ABM,8 Oct 2024,$59.18,4,,,,$48.95,20.89%,,,,$51.81,5.84%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.00,82.33%,,,,$4.21,5.25%,$10.50,162.39%,$18.87,371.73%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.35,-6.52%,,,,$9.93,6.20%,$10.49,12.20%,$10.53,12.61%,ACHR
NYSE:ACN,25 Aug 2025,$264.08,4,$337.22,9,4.25,$255.66,3.30%,3.30%,$264.08,$337.22,$389.60,52.39%,$604.77,136.55%,$640.03,150.35%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.38,35.00%,,,,,-100.00%,-$2.00,-626.32%,-$2.00,-626.32%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.43,0.26%,,,,$13.47,0.30%,-$55.76,-515.21%,-$51.47,-483.22%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.96,18.98%,,,,$15.59,4.21%,$52.74,252.53%,$78.35,423.72%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$8.99,-14.85%,-14.85%,$7.66,$7.66,$9.51,5.78%,$10.77,19.76%,$18.07,100.99%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$28.91,-37.76%,-37.76%,$18.00,$18.00,$30.15,4.29%,$37.15,28.49%,$46.44,60.65%,AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$204.83,12.45%,12.45%,$230.34,$230.34,$225.36,10.02%,"-$1,735.60",-947.34%,"-$1,405.67",-786.26%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.79,14.93%,,,,$10.24,4.60%,-$69.45,-809.44%,-$69.10,-805.79%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$81.40,23.13%,,,,$85.33,4.83%,$52.37,-35.66%,$52.47,-35.54%,AGO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$82.64,2.57%,,,,$87.18,5.49%,-$46.80,-156.64%,$19.58,-76.31%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$65.54,1.92%,1.92%,$66.80,$77.61,$70.38,7.38%,$66.71,1.78%,$92.97,41.86%,AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,2.75,$6.50,-23.08%,-23.08%,$5.00,$6.69,$9.73,49.69%,$8.11,24.70%,$10.06,54.79%,AIRS
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$60.43,-17.47%,,,,$61.81,2.28%,-$210.77,-448.78%,-$137.67,-327.82%,AL
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$19.05,-3.46%,,,,$19.77,3.78%,$22.40,17.59%,$32.05,68.23%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.85,149.19%,,,,$3.99,3.64%,$3.07,-20.14%,$13.22,243.36%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$40.54,2.44%,,,,$42.06,3.75%,-$440.72,-1187.12%,-$461.61,-1238.65%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$22.31,-3.63%,,,,$23.19,3.94%,-$148.99,-767.80%,-$143.32,-742.41%,ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,2,$6.92,-22.98%,-22.98%,$5.33,$5.33,$7.57,9.39%,$0.00,-100.00%,$0.00,-100.00%,ALTS
NYSE:AMBP,12 May 2025,$5.62,5,$3.65,6,,$3.69,-1.08%,,,,$3.99,8.13%,$7.16,94.14%,$17.27,367.91%,AMBP
NYSE:AMCR,8 Aug 2025,$10.91,5,$11.50,10,5,$8.47,28.84%,28.84%,$10.91,$11.50,$9.01,6.38%,$10.63,25.50%,$15.58,83.90%,AMCR
NASDAQ:AMRK,16 Dec 2024,$47.67,3,,5,,$23.98,98.79%,,,,$23.32,-2.75%,$0.00,-100.00%,$0.00,-100.00%,AMRK
NASDAQ:AMWD,19 Dec 2024,$85.26,3,$116.00,7,,$66.57,28.07%,,,,$65.69,-1.32%,$0.00,-100.00%,$0.00,-100.00%,AMWD
NYSE:AMX,15 May 2025,$18.21,3,$16.53,3,,$20.01,-17.39%,,,,$20.76,3.75%,$880.58,4300.69%,"$2,743.95",13612.90%,AMX
NYSE:ANF,20 Aug 2025,$127.43,3,$118.44,7,3.25,$98.01,20.84%,20.84%,$118.44,$127.43,$102.14,4.21%,$0.00,-100.00%,$0.00,-100.00%,ANF
NASDAQ:APA,12 Aug 2025,$28.49,3,$22.45,7,3.25,$22.10,1.58%,1.58%,$22.45,$28.49,$23.38,5.79%,$41.92,89.69%,$101.52,359.39%,APA
NYSE:APD,7 Jun 2024,$304.35,4,,,,$294.10,3.48%,,,,$311.06,5.77%,$204.98,-30.30%,$225.74,-23.24%,APD
NYSE:APH,16 Sep 2023,$81.57,2,,,,$110.10,-25.92%,,,,$113.74,3.31%,$161.00,46.23%,$172.52,56.70%,APH
NASDAQ:APOG,5 May 2025,$66.39,5,$55.00,2,,$44.61,23.29%,,,,$44.39,-0.49%,$125.64,181.64%,$152.58,242.04%,APOG
NYSE:AQN,26 Aug 2025,$6.14,4,$6.23,8,4,$5.71,7.59%,7.59%,$6.14,$6.23,$6.22,8.93%,-$2.84,-149.81%,$4.73,-17.08%,AQN
NYSE:AR,20 Aug 2025,$31.31,3,,,3,$30.40,2.98%,2.98%,$31.31,$31.31,$33.65,10.69%,$69.03,127.07%,$94.57,211.09%,AR
NASDAQ:ARHS,7 Jul 2025,$13.03,3,$10.27,4,,$11.99,-14.35%,,,,$12.59,5.00%,$25.51,112.73%,$53.46,345.83%,ARHS
NASDAQ:ARKO,26 Aug 2025,$6.50,3,,,3,$5.01,29.83%,29.83%,$6.50,$6.50,$5.70,13.77%,-$16.48,-428.98%,-$4.57,-191.26%,ARKO
