Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:TLRY	1	1.77			Buy 10003 at $1.18 ~= $11,804	2.074812196315925	1.7847633506547107
NYSE:HIMS	1	68.56			Buy 258 at $45.71 ~= $11,793	50.44359962231977	51.353985639259946
NASDAQ:GRAB	1	7.75			Buy 397 at $5.17 ~= $2,052	5.673466748568489	6.226402531080765
NASDAQ:TIGR	1	19.44			Buy 276 at $12.96 ~= $3,577; ADR	0	0
NASDAQ:BTOG	1	0.75				0	0
NASDAQ:XP	1	25.20				-4.574953168433555	-2.3042999648715625
NYSE:TDOC	1	11.56				20.861686357225043	40.73297037756658
NYSE:SE	1	278.52			ADR	298.75979989223464	299.9920535989714
NYSE:BTI	1	88.71	2025-10-03	0.6005	ADR	0	0
NYSE:BB	1	5.69				5.177647935458088	6.036934057802836
NYSE:DDD	1	3.18				-1.5284874766620569	2.1133124837083073
NASDAQ:BTDR	1	20.49				11.183392322792308	15.6649431447096
NYSE:PBI	1	17.89	2025-08-11	0.0575		17.226745091012532	26.471813286662698
NASDAQ:FLEX	1	77.98				47.26187708796698	62.3088515485362
NYSE:IBM	1	365.52	2025-08-08	1.6725		212.66450916619252	272.98864615697875
NYSE:ACN	1	393.25	2025-07-10	1.48		599.6703916098276	634.5106186382652
NYSE:QSR	1	96.52	2025-09-23	0.6		59.5372827833646	69.72985462926442
NASDAQ:MAT	1	27.67			GTC: delete	49.818779191637326	51.092991348517906
NASDAQ:WVE	1	15.87				40.980289229548575	42.034961787980976
NYSE:REZI	1	51.38				56.42223692575067	72.74356356222641
