Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,28 Feb 2024,$40.04,3,,,,$30.10,33.01%,,,,$43.94,45.98%,$45.20,50.16%,$92.58,207.58%,AA
NYSE:ABEV,11 Jul 2025,$2.79,5,$3.07,8,4.5,$2.28,22.19%,22.19%,$2.79,$3.07,$2.35,3.07%,$3.07,34.58%,$3.88,70.04%,ABEV
NYSE:ABM,8 Oct 2024,$59.18,4,,,,$47.23,25.29%,,,,$47.64,0.87%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.58,103.72%,,,,$3.44,-3.91%,$9.65,169.59%,$17.94,401.18%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.80,-10.82%,,,,$10.75,9.69%,$0.00,-100.00%,$0.00,-100.00%,ACHR
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,3,$0.39,31.54%,31.54%,$0.51,$0.51,$0.50,28.21%,$0.00,-100.00%,$0.00,-100.00%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,3,$12.85,4.79%,4.79%,$13.47,$13.47,$13.18,2.57%,-$56.01,-535.91%,-$51.72,-502.52%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.85,19.87%,,,,$20.77,39.87%,$0.00,-100.00%,$0.00,-100.00%,AFYA
NYSE:AGM,19 May 2025,$187.40,3,$232.50,6,,$172.00,8.95%,,,,$168.20,-2.21%,$0.00,-100.00%,$0.00,-100.00%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.41,19.57%,,,,$14.29,51.86%,$0.00,-100.00%,$0.00,-100.00%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$84.44,18.69%,,,,$88.97,5.36%,$0.00,-100.00%,$0.00,-100.00%,AGO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,2.75,$76.60,10.65%,10.65%,$84.76,$90.60,$116.41,51.97%,$0.00,-100.00%,$0.00,-100.00%,AIG
NYSE:AIN,28 Mar 2024,$92.28,3,,,,$61.20,50.78%,,,,$57.87,-5.44%,$57.08,-6.73%,$83.08,35.75%,AIN
NASDAQ:AIRS,3 Jul 2025,$6.62,3,$4.50,6,,$6.20,-27.42%,,,,$9.25,49.19%,$8.59,38.61%,$9.31,50.10%,AIRS
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$55.27,-9.77%,,,,$56.51,2.24%,$0.00,-100.00%,$0.00,-100.00%,AL
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$18.17,1.22%,,,,$27.24,49.92%,$21.11,16.19%,$30.56,68.21%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,3,$3.99,140.45%,140.45%,$9.59,$9.59,$5.64,41.35%,$0.00,-100.00%,$0.00,-100.00%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$36.95,12.40%,,,,$55.74,50.85%,$0.00,-100.00%,$0.00,-100.00%,ALLY
