Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$29.85,36.84%,36.84%,$40.85,$40.85,$45.22,51.49%,$46.90,57.10%,$94.50,216.59%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,1.75,$13.22,-5.82%,-5.82%,$12.45,$13.73,$14.01,5.98%,-$55.95,-523.19%,-$51.24,-487.59%,AAL
NYSE:ABEV,11 Aug 2025,$2.67,5,$2.88,6,4,$2.17,23.13%,23.13%,$2.67,$2.88,$2.27,4.61%,$3.06,41.11%,$3.87,78.51%,ABEV
NYSE:ABM,8 Oct 2024,$59.18,4,,,,$48.34,22.42%,,,,$50.10,3.64%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.89,87.48%,,,,$4.07,4.63%,$10.20,162.18%,$18.52,376.04%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.29,-5.92%,,,,$10.20,9.80%,$10.11,8.85%,$10.15,9.27%,ACHR
NYSE:ACN,18 Aug 2025,$250.90,4,$337.22,9,4.25,$255.88,-1.95%,-1.95%,$250.90,$337.22,$386.43,51.02%,$596.33,133.05%,$631.17,146.67%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.37,38.65%,,,,,-100.00%,-$2.00,-640.54%,-$2.00,-640.54%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.30,1.24%,,,,$13.33,0.23%,-$55.94,-520.60%,-$51.65,-488.33%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.95,19.06%,,,,$23.02,53.98%,$52.07,248.30%,$77.35,417.36%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$8.36,-8.43%,-8.43%,$7.66,$7.66,$13.38,60.05%,$10.09,20.64%,$10.69,27.87%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$25.76,-30.14%,-30.14%,$18.00,$18.00,$39.70,54.11%,$34.34,33.31%,$43.51,68.92%,AGI
NYSE:AGM,19 May 2025,$187.40,3,$232.50,6,,$195.00,-3.90%,,,,$218.40,12.00%,"-$1,762.19",-1003.69%,"-$1,436.96",-836.90%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.61,17.09%,,,,$10.33,7.49%,-$69.81,-826.42%,-$69.45,-822.70%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$81.65,22.75%,,,,$84.79,3.85%,$50.04,-38.72%,$50.14,-38.59%,AGO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$81.29,4.27%,,,,$86.49,6.40%,-$49.55,-160.95%,$16.41,-79.81%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$62.42,7.02%,7.02%,$66.80,$77.61,$93.86,50.37%,$63.74,2.11%,$89.83,43.92%,AIN
NASDAQ:AIRS,3 Jul 2025,$6.62,3,$4.50,6,,$6.24,-27.88%,,,,$9.73,55.93%,$8.95,43.39%,$9.66,54.86%,AIRS
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$58.10,-14.17%,,,,$60.99,4.97%,-$212.68,-466.06%,-$140.14,-341.21%,AL
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$18.71,-1.70%,,,,$19.48,4.12%,$21.93,17.20%,$31.45,68.09%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.85,149.19%,,,,$4.15,7.79%,$3.01,-21.81%,$13.06,239.25%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$38.27,8.52%,,,,$41.46,8.34%,-$443.45,-1258.74%,-$464.09,-1312.68%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$21.50,0.00%,,,,$23.08,7.35%,-$150.04,-797.88%,-$144.42,-771.72%,ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,2,$5.48,-2.74%,-2.74%,$5.33,$5.33,$9.82,79.20%,$0.00,-100.00%,$0.00,-100.00%,ALTS
NYSE:AMBP,12 May 2025,$5.62,5,$3.65,6,,$3.72,-1.88%,,,,$5.67,52.42%,$6.98,87.54%,$16.98,356.55%,AMBP
NYSE:AMCR,8 Aug 2025,$10.91,5,$11.50,10,5,$8.53,27.94%,27.94%,$10.91,$11.50,$8.97,5.16%,$10.37,21.57%,$15.31,79.48%,AMCR
NASDAQ:AMRK,16 Dec 2024,$47.67,3,,5,,$23.17,105.74%,,,,$22.63,-2.33%,$0.00,-100.00%,$0.00,-100.00%,AMRK
NASDAQ:AMWD,19 Dec 2024,$85.26,3,$116.00,7,,$64.66,31.86%,,,,$63.27,-2.15%,$0.00,-100.00%,$0.00,-100.00%,AMWD
NYSE:AMX,15 May 2025,$18.21,3,$16.53,3,,$19.02,-13.09%,,,,$19.78,4.00%,$860.78,4425.64%,"$2,696.95",14079.53%,AMX
NYSE:ANF,20 Aug 2025,$127.43,3,$118.44,7,3.25,$94.88,24.83%,24.83%,$118.44,$127.43,$109.10,14.99%,$0.00,-100.00%,$0.00,-100.00%,ANF
NASDAQ:APA,12 Aug 2025,$28.49,3,$22.45,7,3.25,$20.24,10.92%,10.92%,$22.45,$28.49,$22.34,10.38%,$52.18,157.80%,$111.39,450.34%,APA
NYSE:APD,7 Jun 2024,$304.35,4,,,,$290.22,4.87%,,,,$312.89,7.81%,$195.67,-32.58%,$216.38,-25.44%,APD
NYSE:APH,16 Sep 2023,$81.57,2,,,,$109.98,-25.84%,,,,$115.92,5.40%,$160.79,46.20%,$172.16,56.54%,APH
NASDAQ:APOG,5 May 2025,$66.39,5,$55.00,2,,$43.59,26.18%,,,,$43.43,-0.37%,$122.59,181.24%,$149.21,242.30%,APOG
NYSE:AQN,18 Aug 2025,$6.08,4,$6.19,8,4,$5.80,4.90%,4.90%,$6.08,$6.19,$6.26,7.93%,-$2.90,-150.06%,$4.61,-20.54%,AQN
NYSE:AR,20 Aug 2025,$31.31,3,,,3,$29.87,4.81%,4.81%,$31.31,$31.31,$45.27,51.56%,$67.66,126.50%,$93.04,211.47%,AR
NASDAQ:ARHS,7 Jul 2025,$13.03,3,$10.27,4,,$12.57,-18.30%,,,,$13.36,6.28%,$25.32,101.40%,$52.90,320.82%,ARHS
NASDAQ:ARKO,21 Jul 2025,$6.34,3,$6.88,4,,$4.94,28.38%,,,,$5.13,3.85%,-$16.76,-439.19%,-$4.93,-199.70%,ARKO
NYSE:ASB,10 Apr 2025,$23.54,5,$27.17,6,,$25.13,-6.33%,,,,$27.45,9.23%,-$160.03,-736.80%,-$153.91,-712.47%,ASB
NYSE:ASH,14 May 2025,$83.18,3,$66.86,4,,$54.11,23.56%,,,,$53.84,-0.50%,$112.70,108.28%,$198.45,266.75%,ASH
NASDAQ:ASML,8 Jul 2024,$901.00,1,,,,$743.61,21.17%,,,,$809.66,8.88%,$784.41,5.49%,$835.78,12.39%,ASML
NYSE:ASR,10 Jul 2025,$344.93,4,$352.00,7,,$327.39,5.36%,,,,$354.93,8.41%,"$2,509.55",666.53%,"$3,870.67",1082.28%,ASR
NYSE:ATI,28 Oct 2024,$51.14,1,,,,$72.05,-29.02%,,,,$75.29,4.50%,$92.44,28.31%,$113.28,57.22%,ATI
NYSE:AU,20 Aug 2025,$29.75,2,,,2,$52.15,-42.95%,-42.95%,$29.75,$29.75,$80.36,54.09%,$128.92,147.22%,$133.37,155.73%,AU
NASDAQ:AVT,19 Dec 2024,$60.44,3,$51.33,2,,$53.51,-4.07%,,,,$55.90,4.47%,-$1.34,-102.50%,$14.37,-73.15%,AVT
NYSE:AVY,20 Sep 2024,$180.75,1,,,,$175.29,3.11%,,,,$181.62,3.61%,$184.60,5.31%,$202.68,15.63%,AVY
NYSE:B,12 Aug 2025,$23.69,3,,,3,$23.97,-1.17%,-1.17%,$23.69,$23.69,$36.72,53.19%,$0.00,-100.00%,$0.00,-100.00%,B
NYSE:BA,9 Apr 2025,$179.31,5,$189.55,9,,$225.00,-20.31%,,,,$245.83,9.26%,$248.29,10.35%,$46.62,-79.28%,BA
NYSE:BABA,20 Aug 2025,$133.65,4,$148.55,6,3.5,$119.99,11.39%,11.39%,$133.65,$148.55,$184.73,53.95%,$0.00,-100.00%,$0.00,-100.00%,BABA
NYSE:BAC,14 Aug 2025,$45.19,3,$52.60,6,3,$48.08,-6.02%,-6.02%,$45.19,$52.60,$50.25,4.51%,-$247.66,-615.11%,-$244.75,-609.06%,BAC
NYSE:BALL,20 Aug 2025,$67.98,3,$62.78,6,3,$53.14,18.14%,18.14%,$62.78,$67.98,$80.45,51.39%,$30.54,-42.53%,$53.73,1.12%,BALL
NASDAQ:BANF,3 Jun 2025,$110.70,3,$121.50,6,,$125.34,-11.68%,,,,$188.81,50.64%,-$18.70,-114.92%,-$7.38,-105.89%,BANF
NYSE:BB,18 Aug 2025,$3.38,3,$4.72,6,3,$3.66,-7.70%,-7.70%,$3.38,$4.72,$5.64,54.10%,$5.08,38.73%,$5.94,62.21%,BB
NYSE:BBD,4 Aug 2025,$2.64,3,$3.00,3,2.25,$2.86,-7.83%,-7.83%,$2.64,$3.00,$4.38,53.15%,-$18.62,-750.91%,-$16.11,-663.19%,BBD
NYSE:BBW,15 Aug 2025,$41.34,2,$59.00,8,3,$53.93,-23.34%,-23.34%,$41.34,$59.00,$89.67,66.27%,$0.00,-100.00%,$0.00,-100.00%,BBW
NYSE:BBWI,21 Jul 2025,$48.96,3,$41.08,3,,$29.82,37.76%,,,,$32.26,8.18%,$0.00,-100.00%,$0.00,-100.00%,BBWI
NYSE:BBY,14 Oct 2024,$84.10,1,,,,$74.10,13.50%,,,,$77.44,4.51%,$0.00,-100.00%,$0.00,-100.00%,BBY
NYSE:BCS,19 Aug 2025,$17.24,2,,,2,$20.12,-14.30%,-14.30%,$17.24,$17.24,$22.00,9.34%,$12.25,-39.11%,$12.25,-39.11%,BCS
NYSE:BCSF,8 Jul 2024,$18.63,3,,,,$15.40,20.97%,,,,$16.09,4.48%,-$6.98,-145.32%,-$7.55,-149.05%,BCSF
NASDAQ:BELFB,16 Jun 2025,$80.76,3,,,,$127.80,-36.81%,,,,$126.17,-1.28%,$200.98,57.26%,$242.32,89.61%,BELFB
NYSE:BFAM,10 Jul 2025,$120.00,3,$136.75,1,,$122.32,-1.90%,,,,$119.93,-1.95%,$211.33,72.77%,$239.90,96.13%,BFAM
NASDAQ:BFC,5 Jun 2025,$98.58,2,,,,$122.00,-19.20%,,,,$128.94,5.69%,-$185.65,-252.17%,-$172.35,-241.27%,BFC
NYSE:BIRK,28 Oct 2024,$56.09,3,,,,$50.13,11.88%,,,,$52.47,4.67%,$107.13,113.70%,$116.36,132.11%,BIRK
NYSE:BJ,20 Aug 2025,,0,,1,0.5,$104.54,-100.00%,-100.00%,,$0.00,$115.99,10.95%,$0.00,-100.00%,$0.00,-100.00%,BJ
NYSE:BKD,20 Sep 2024,$7.70,3,,,,$7.19,7.11%,,,,$7.84,9.04%,-$10.52,-246.37%,$16.74,132.87%,BKD
NASDAQ:BKR,21 Jul 2025,$40.95,3,$48.38,5,,$42.95,-4.66%,,,,$45.83,6.71%,$38.91,-9.41%,$54.58,27.08%,BKR
NYSE:BLD,8 Jul 2024,$376.96,3,,,,$433.50,-13.04%,,,,$451.73,4.21%,$806.55,86.06%,$895.13,106.49%,BLD
NASDAQ:BLNK,21 Jul 2025,$1.45,3,$2.33,3,,$0.93,56.02%,,,,$1.08,16.13%,$0.00,-100.00%,$0.00,-100.00%,BLNK
NYSE:BMI,5 May 2025,$169.72,3,$236.50,6,,$187.66,-9.56%,,,,$197.30,5.14%,$277.23,47.73%,$274.34,46.19%,BMI
NYSE:BN,26 Aug 2024,$51.03,3,,,,$64.47,-20.85%,,,,$69.60,7.96%,-$143.92,-323.23%,-$104.76,-262.50%,BN
NYSE:BNS,19 Aug 2025,$55.34,3,,,3,$56.66,-2.33%,-2.33%,$55.34,$55.34,$85.36,50.65%,$0.00,-100.00%,$0.00,-100.00%,BNS
NYSE:BOH,6 Jan 2025,$74.38,3,$72.00,5,,$65.75,9.51%,,,,$71.70,9.05%,-$400.60,-709.27%,-$392.78,-697.38%,BOH
NASDAQ:BOOM,12 Aug 2025,$10.98,3,$9.25,6,3,$6.50,42.31%,42.31%,$9.25,$10.98,$9.93,52.77%,$36.27,457.95%,$65.32,904.94%,BOOM
NYSE:BP,18 Aug 2025,$39.40,4,$37.67,9,4.25,$33.82,11.38%,11.38%,$37.67,$39.40,$51.36,51.86%,$35.10,3.77%,$129.55,283.05%,BP
NYSE:BRFS,15 Jul 2025,$3.91,3,$3.75,4,,$3.62,3.59%,,,,$3.81,5.25%,$8.69,139.93%,$14.06,288.30%,BRFS
NYSE:BSBR,19 Aug 2025,$5.23,3,$5.70,7,3.25,$4.77,9.71%,9.71%,$5.23,$5.70,$5.26,10.27%,$3.51,-26.38%,$0.78,-83.61%,BSBR
NASDAQ:BTDR,19 Aug 2025,$10.25,2,,,2,$12.94,-20.80%,-20.80%,$10.25,$10.25,$15.01,16.00%,$0.00,-100.00%,$0.00,-100.00%,BTDR
NYSE:BTI,18 Aug 2025,$53.35,3,,,3,$57.47,-7.17%,-7.17%,$53.35,$53.35,$86.41,50.36%,$0.00,-100.00%,$0.00,-100.00%,BTI
NASDAQ:BTOG,18 Aug 2025,$0.57,3,,,3,$0.41,38.29%,38.29%,$0.57,$0.57,$0.47,14.63%,$0.00,-100.00%,$0.00,-100.00%,BTOG
NYSE:BURL,25 Jul 2023,$199.81,4,,,,$277.73,-28.06%,,,,$287.70,3.59%,$0.00,-100.00%,$0.00,-100.00%,BURL
NASDAQ:BUSE,10 Apr 2025,$24.44,4,$28.50,8,,$23.19,5.41%,,,,$25.77,11.13%,-$133.59,-676.08%,-$130.14,-661.20%,BUSE
NYSE:BXSL,19 Aug 2025,$31.13,3,$31.63,7,3.25,$30.08,3.50%,3.50%,$31.13,$31.63,$32.63,8.48%,$86.52,187.62%,$93.68,211.44%,BXSL
NYSE:C,12 Aug 2025,$86.32,3,,,3,$93.74,-7.91%,-7.91%,$86.32,$86.32,$99.57,6.22%,-$760.45,-911.23%,-$736.53,-885.72%,C
NYSE:CAAP,15 Aug 2025,$22.01,3,$23.30,9,3.75,$20.77,5.96%,5.96%,$22.01,$23.30,$32.43,56.14%,$0.00,-100.00%,$0.00,-100.00%,CAAP
NASDAQ:CAC,6 Jun 2025,$40.10,3,$47.00,4,,$38.74,3.51%,,,,$41.21,6.38%,-$310.63,-901.82%,-$304.91,-887.05%,CAC
NYSE:CAL,26 Mar 2025,$24.65,5,$17.00,6,,$14.73,15.41%,,,,$15.41,4.62%,$0.00,-100.00%,$0.00,-100.00%,CAL
NASDAQ:CALM,11 Jul 2025,$93.94,3,$100.00,6,,$110.06,-14.65%,,,,$113.71,3.32%,$601.02,446.09%,$635.64,477.54%,CALM
NASDAQ:CAMT,24 Oct 2024,$87.99,4,,,,$83.36,5.55%,,,,$88.72,6.43%,$82.63,-0.88%,$82.63,-0.88%,CAMT
NASDAQ:CAR,11 Mar 2024,$159.62,3,,,,$156.62,1.91%,,,,$172.55,10.17%,$194.18,23.98%,$609.98,289.46%,CAR
NYSE:CARR,23 Feb 2024,$53.07,3,,,,$66.98,-20.77%,,,,$66.83,-0.22%,$86.44,29.05%,$111.26,66.10%,CARR
NYSE:CAVA,14 Aug 2025,$80.21,2,$95.63,3,1.75,$68.45,17.18%,17.18%,$80.21,$95.63,$73.99,8.09%,$73.16,6.89%,$80.60,17.75%,CAVA
NYSE:CB,19 Aug 2025,$282.07,3,$303.61,4,2.5,$273.80,3.02%,3.02%,$282.07,$303.61,$413.01,50.84%,$426.35,55.71%,$439.42,60.49%,CB
NYSE:CBZ,7 Jan 2025,$77.57,3,,,,$63.92,21.35%,,,,$95.94,50.09%,$98.66,54.35%,$119.45,86.87%,CBZ
NYSE:CDE,28 Jul 2025,$6.60,1,$10.90,6,2,$11.26,-41.40%,-41.40%,$6.60,$10.90,$12.48,10.83%,$19.93,76.98%,$24.88,120.92%,CDE
NYSE:CE,28 Mar 2025,$111.30,3,$67.13,9,,$45.24,48.39%,,,,$47.29,4.53%,$38.40,-15.12%,$131.06,189.69%,CE
NASDAQ:CELC,29 Nov 2024,$21.98,3,,,,$49.22,-55.35%,,,,$52.69,7.05%,$43.24,-12.15%,$43.25,-12.14%,CELC
NASDAQ:CENT,16 Dec 2024,$38.50,4,,8,,$35.74,7.72%,,,,$38.07,6.52%,$756.25,2015.98%,$846.67,2268.97%,CENT
NASDAQ:CENTA,31 May 2024,$40.70,3,,,,$32.37,25.72%,,,,$34.59,6.86%,$167.07,416.13%,$183.98,468.36%,CENTA
NASDAQ:CENX,20 Aug 2025,$23.49,3,$25.50,9,3.75,$21.95,7.01%,7.01%,$23.49,$25.50,$34.04,55.08%,$28.88,31.56%,$12.47,-43.17%,CENX
NYSE:CGAU,15 Aug 2025,$8.68,4,$9.61,7,3.75,$7.09,22.47%,22.47%,$8.68,$9.61,$10.95,54.44%,$16.87,137.96%,$22.00,210.30%,CGAU
NASDAQ:CHCO,3 Jun 2025,$111.09,3,,,,$123.39,-9.97%,,,,$130.36,5.65%,-$129.62,-205.05%,-$112.67,-191.31%,CHCO
NYSE:CHD,20 Feb 2024,$80.10,1,,,,$94.06,-14.84%,,,,$95.81,1.86%,$114.62,21.85%,$123.97,31.80%,CHD
NASDAQ:CHDN,22 Jul 2025,$114.58,3,$131.43,8,3.5,$103.78,10.41%,10.41%,$114.58,$131.43,$107.60,3.68%,$86.20,-16.94%,$118.44,14.13%,CHDN
NYSE:CHE,3 Jul 2024,$512.61,3,,,,$453.85,12.95%,,,,$470.56,3.68%,$787.22,73.45%,$837.74,84.59%,CHE
NYSE:CHGG,20 Aug 2025,$2.28,3,,5,2.75,$1.15,98.26%,98.26%,$2.28,$2.28,$1.88,63.48%,$13.43,1067.57%,$5.66,391.87%,CHGG
NASDAQ:CHRD,23 Aug 2024,$167.62,3,,,,$102.09,64.19%,,,,$108.54,6.32%,$84.38,-17.34%,$322.97,216.36%,CHRD
NYSE:CHT,17 Jun 2024,$40.37,3,,,,$45.79,-11.84%,,,,$47.29,3.28%,$57.32,25.18%,$74.84,63.44%,CHT
NASDAQ:CHX,23 Aug 2024,$37.87,4,,,,#N/A,#N/A,,,,$22.76,#N/A,$0.00,#N/A,$0.00,#N/A,CHX
NASDAQ:CIFR,4 Aug 2025,$6.62,3,$7.06,3,2.25,$5.76,14.90%,14.90%,$6.62,$7.06,$6.32,9.72%,$3.81,-33.88%,$6.02,4.46%,CIFR
NYSE:CIG,17 Feb 2025,$1.90,3,$2.60,5,,$1.89,0.69%,,,,$2.02,6.88%,$0.00,-100.00%,$0.00,-100.00%,CIG
NASDAQ:CINF,12 Jun 2025,$142.00,2,,,,$152.38,-6.81%,,,,$158.11,3.76%,$321.65,111.08%,$341.45,124.08%,CINF
NYSE:CL,18 Aug 2025,$84.33,3,$97.40,5,2.75,$85.85,-1.78%,-1.78%,$84.33,$97.40,$129.10,50.38%,$133.96,56.04%,$146.96,71.18%,CL
NYSE:CLF,17 Aug 2025,$12.62,3,$10.78,6,3,$10.43,3.36%,3.36%,$10.78,$12.62,$11.61,11.31%,$23.49,125.25%,$18.70,79.28%,CLF
NYSE:CLH,9 Apr 2025,$216.05,5,$271.56,9,,$245.04,-11.83%,,,,$241.27,-1.54%,$314.72,28.44%,$462.95,88.93%,CLH
NASDAQ:CLMB,2 Apr 2025,$99.41,3,$136.00,4,,$118.65,-16.22%,,,,$125.14,5.47%,$231.09,94.77%,$247.07,108.24%,CLMB
