Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$31.28,30.59%,30.59%,$40.85,$40.85,$33.18,6.07%,$49.27,57.52%,$97.16,210.62%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.23,-5.89%,,,,$13.57,2.57%,-$55.77,-521.54%,-$51.06,-485.96%,AAL
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.21,13.12%,13.12%,$2.50,$2.63,$2.29,3.62%,$3.10,40.13%,$3.91,77.02%,ABEV
NYSE:ABM,8 Oct 2024,$59.18,4,,,,$49.18,20.33%,,,,$50.89,3.48%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.94,85.10%,,,,$4.13,4.82%,$10.35,162.81%,$18.71,374.95%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.28,-5.82%,,,,$9.62,3.66%,$10.09,8.74%,$10.13,9.16%,ACHR
NYSE:ACN,25 Aug 2025,$264.08,4,$337.22,9,4.25,$257.91,2.39%,2.39%,$264.08,$337.22,$269.08,4.33%,$599.50,132.44%,$634.64,146.07%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.40,28.25%,,,,,-100.00%,-$2.00,-600.00%,-$2.00,-600.00%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.42,0.34%,,,,$13.39,-0.22%,-$55.91,-516.61%,-$51.61,-484.60%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.01,18.59%,,,,$15.49,3.20%,$52.61,250.53%,$78.13,420.50%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$8.88,-13.80%,-13.80%,$7.66,$7.66,$9.50,6.98%,$10.76,21.22%,$18.05,103.22%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$29.04,-38.03%,-38.03%,$18.00,$18.00,$30.53,5.13%,$38.02,30.92%,$47.28,62.81%,AGI
