Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$32.19,26.89%,26.89%,$40.85,$40.85,$32.89,2.17%,$49.25,53.00%,$97.25,202.12%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.37,-6.87%,,,,$13.93,4.19%,-$55.69,-516.53%,-$50.98,-481.32%,AAL
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.24,11.61%,11.61%,$2.50,$2.63,$2.27,1.34%,$3.11,38.78%,$3.93,75.25%,ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$49.17,13.44%,13.44%,$55.78,$58.40,$51.54,4.82%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.02,81.42%,,,,$4.11,2.24%,$10.46,160.08%,$18.83,368.39%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.95,-2.35%,,,,$9.65,7.82%,$9.97,11.41%,$10.01,11.84%,ACHR
NYSE:ACN,25 Aug 2025,$264.08,4,$337.22,9,4.25,$259.97,1.58%,1.58%,$264.08,$337.22,$277.20,6.63%,$602.67,131.82%,$637.93,145.39%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.38,35.00%,,,,,-100.00%,-$2.00,-626.32%,-$2.00,-626.32%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.54,-0.55%,,,,$13.31,-1.70%,-$55.89,-512.80%,-$51.60,-481.07%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.18,17.26%,,,,$15.59,2.70%,$52.86,248.21%,$78.47,416.92%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$9.14,-16.25%,-16.25%,$7.66,$7.66,$9.46,3.50%,$10.85,18.67%,$18.15,98.56%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$30.45,-40.90%,-40.90%,$18.00,$18.00,$31.18,2.40%,$38.50,26.43%,$47.79,56.96%,AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$209.57,9.91%,9.91%,$230.34,$230.34,$215.92,3.03%,"-$1,732.57",-926.72%,"-$1,402.64",-769.30%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.76,15.29%,,,,$10.26,5.12%,-$69.53,-812.44%,-$69.18,-808.77%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$82.20,21.93%,,,,$85.16,3.60%,$51.92,-36.83%,$52.02,-36.71%,AGO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$81.32,4.23%,,,,$86.37,6.21%,-$47.97,-158.99%,$18.41,-77.36%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$63.51,5.18%,5.18%,$66.80,$77.61,$66.98,5.46%,$65.38,2.94%,$91.64,44.30%,AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,2.75,$6.45,-22.48%,-22.48%,$5.00,$6.69,$7.01,8.68%,$7.98,23.66%,$9.93,53.97%,AIRS
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$60.21,-17.17%,,,,$62.66,4.07%,-$210.30,-449.27%,-$137.20,-327.87%,AL
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$19.34,-4.91%,,,,$20.08,3.83%,$22.74,17.59%,$32.39,67.47%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.88,147.27%,,,,$4.04,4.12%,$3.11,-19.73%,$13.26,241.73%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$41.05,1.17%,,,,$42.98,4.70%,-$440.24,-1172.44%,-$461.13,-1223.34%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$22.27,-3.46%,,,,$23.28,4.54%,-$149.02,-769.13%,-$143.35,-743.70%,ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,2,$7.88,-32.36%,-32.36%,$5.33,$5.33,$7.99,1.40%,$0.00,-100.00%,$0.00,-100.00%,ALTS
NYSE:AMBP,29 Aug 2025,$5.14,4,$4.41,6,3.5,$3.69,19.51%,19.51%,$4.41,$5.14,$5.58,51.22%,$7.08,91.98%,$17.19,365.74%,AMBP
NYSE:AMCR,8 Aug 2025,$10.91,5,$11.50,10,5,$8.63,26.45%,26.45%,$10.91,$11.50,$8.86,2.67%,$10.42,20.74%,$15.37,78.06%,AMCR
NASDAQ:AMRK,30 Aug 2025,$28.71,3,$43.50,2,2,$23.41,22.63%,22.63%,$28.71,$43.50,$22.64,-3.29%,$0.00,-100.00%,$0.00,-100.00%,AMRK
NASDAQ:AMWD,30 Aug 2025,$86.63,3,$70.67,6,3,$64.57,9.45%,9.45%,$70.67,$86.63,$65.51,1.46%,$0.00,-100.00%,$0.00,-100.00%,AMWD
NYSE:AMX,15 May 2025,$18.21,3,$16.53,3,,$19.99,-17.31%,,,,$20.56,2.85%,$880.41,4304.28%,"$2,743.87",13626.21%,AMX
NYSE:ANF,20 Aug 2025,$127.43,3,$118.44,7,3.25,$93.53,26.63%,26.63%,$118.44,$127.43,$103.02,10.15%,$0.00,-100.00%,$0.00,-100.00%,ANF
NASDAQ:APA,12 Aug 2025,$28.49,3,$22.45,7,3.25,$23.22,-3.32%,-3.32%,$22.45,$28.49,$23.61,1.68%,$42.87,84.63%,$102.47,341.32%,APA
NYSE:APD,30 Aug 2025,$296.29,3,$328.83,8,3.5,$294.11,0.74%,0.74%,$296.29,$328.83,$306.37,4.17%,$200.24,-31.92%,$221.00,-24.86%,APD
NYSE:APH,16 Sep 2023,$81.57,2,,,,$108.86,-25.07%,,,,$113.92,4.65%,$161.77,48.60%,$173.29,59.19%,APH
NASDAQ:APOG,5 May 2025,$66.39,5,$55.00,2,,$43.98,25.06%,,,,$43.92,-0.14%,$124.76,183.67%,$151.70,244.94%,APOG
NYSE:AQN,26 Aug 2025,$6.14,4,$6.23,8,4,$5.80,5.92%,5.92%,$6.14,$6.23,$6.07,4.66%,-$2.85,-149.21%,$4.72,-18.54%,AQN
NYSE:AR,20 Aug 2025,$31.31,3,,,3,$31.92,-1.92%,-1.92%,$31.31,$31.31,$33.83,5.98%,$69.48,117.66%,$95.02,197.69%,AR
NASDAQ:ARHS,7 Jul 2025,$13.03,3,$10.27,4,,$11.73,-12.45%,,,,$12.54,6.91%,$25.09,113.87%,$53.04,352.13%,ARHS
NASDAQ:ARKO,26 Aug 2025,$6.50,3,,,3,$5.00,30.09%,30.09%,$6.50,$6.50,$5.17,3.40%,-$16.62,-432.43%,-$4.71,-194.24%,ARKO
NYSE:ASB,10 Apr 2025,$23.54,5,$27.17,6,,$26.97,-12.72%,,,,$28.28,4.86%,-$157.87,-685.34%,-$151.71,-662.52%,ASB
NYSE:ASH,14 May 2025,$83.18,3,$66.86,4,,$56.15,19.07%,,,,$57.92,3.15%,$116.33,107.18%,$202.90,261.36%,ASH
NASDAQ:ASML,30 Aug 2025,$871.20,3,$863.71,10,4,$742.62,16.31%,16.31%,$863.71,$871.20,$800.17,7.75%,$811.74,9.31%,$863.80,16.32%,ASML
NYSE:ASR,10 Jul 2025,$344.93,4,$352.00,7,,$325.71,5.90%,,,,$337.68,3.68%,"$2,552.23",683.59%,"$3,933.19",1107.57%,ASR
NYSE:ATI,30 Aug 2025,$63.00,2,$102.43,7,2.75,$77.54,-18.75%,-18.75%,$63.00,$102.43,$78.80,1.62%,$97.73,26.04%,$118.83,53.25%,ATI
NYSE:AU,20 Aug 2025,$29.75,2,,,2,$56.66,-47.49%,-47.49%,$29.75,$29.75,$58.62,3.46%,$133.36,135.36%,$137.80,143.21%,AU
NASDAQ:AVT,30 Aug 2025,$60.84,5,$52.75,1,2.75,$54.57,-3.34%,-3.34%,$52.75,$60.84,$56.64,3.79%,$0.42,-99.23%,$16.23,-70.26%,AVT
NYSE:AVY,30 Aug 2025,$186.52,3,$197.20,1,1.75,$171.65,8.66%,8.66%,$186.52,$197.20,$177.91,3.65%,$183.11,6.68%,$201.27,17.26%,AVY
NYSE:B,12 Aug 2025,$23.69,3,,,3,$26.63,-11.04%,-11.04%,$23.69,$23.69,$27.68,3.94%,$38.08,42.99%,$55.20,107.28%,B
NYSE:BA,9 Apr 2025,$179.31,5,$189.55,9,,$234.68,-23.60%,,,,$244.21,4.06%,$262.32,11.78%,$57.53,-75.48%,BA
NYSE:BABA,20 Aug 2025,$133.65,4,$148.92,7,3.75,$135.00,-1.00%,-1.00%,$133.65,$148.92,$128.77,-4.61%,$0.00,-100.00%,$0.00,-100.00%,BABA
NYSE:BAC,14 Aug 2025,$45.19,3,$52.60,6,3,$50.74,-10.95%,-10.95%,$45.19,$52.60,$52.53,3.53%,-$244.64,-582.15%,-$241.71,-576.38%,BAC
NYSE:BALL,20 Aug 2025,$67.98,3,$62.78,6,3,$52.64,19.26%,19.26%,$62.78,$67.98,$79.09,50.25%,$29.93,-43.14%,$53.28,1.21%,BALL
NASDAQ:BANF,3 Jun 2025,$110.70,3,$121.50,6,,$132.97,-16.75%,,,,$141.50,6.41%,-$8.71,-106.55%,$2.75,-97.93%,BANF
NYSE:BB,18 Aug 2025,$3.38,3,$4.72,6,3,$3.83,-11.80%,-11.80%,$3.38,$4.72,$4.15,8.36%,$5.30,38.28%,$6.16,60.85%,BB
NYSE:BBD,4 Aug 2025,$2.64,3,$3.00,3,2.25,$3.11,-15.24%,-15.24%,$2.64,$3.00,$3.15,1.29%,-$18.13,-682.83%,-$15.60,-601.61%,BBD
NYSE:BBW,15 Aug 2025,$41.34,2,$59.00,8,3,$60.81,-32.02%,-32.02%,$41.34,$59.00,$88.65,45.78%,$0.00,-100.00%,$0.00,-100.00%,BBW
NYSE:BBWI,21 Jul 2025,$48.96,3,$41.08,3,,$29.21,40.64%,,,,$33.62,15.10%,$0.00,-100.00%,$0.00,-100.00%,BBWI
NYSE:BBY,30 Aug 2025,$87.98,3,$79.84,5,2.75,$73.64,8.42%,8.42%,$79.84,$87.98,$77.63,5.42%,$0.00,-100.00%,$0.00,-100.00%,BBY
