Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$31.68,28.94%,28.94%,$40.85,$40.85,$33.43,5.52%,$48.69,53.69%,$96.30,203.97%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,1.75,$13.55,-8.11%,-8.11%,$12.45,$13.73,$14.24,5.09%,-$55.62,-510.45%,-$50.91,-475.72%,AAL
NYSE:ABEV,11 Aug 2025,$2.67,5,$2.88,6,4,$2.23,19.82%,19.82%,$2.67,$2.88,$2.31,3.59%,$3.12,40.01%,$3.93,76.40%,ABEV
NYSE:ABM,8 Oct 2024,$59.18,4,,,,$49.66,19.16%,,,,$51.79,4.29%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.01,81.87%,,,,$4.19,4.49%,$10.32,157.33%,$18.64,364.78%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.67,-9.62%,,,,$10.15,4.96%,$10.49,8.51%,$10.53,8.90%,ACHR
NYSE:ACN,18 Aug 2025,$250.90,4,$337.22,9,4.25,$259.22,-3.21%,-3.21%,$250.90,$337.22,$393.25,51.71%,$599.67,131.34%,$634.51,144.78%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.38,35.00%,,,,,-100.00%,-$2.00,-626.32%,-$2.00,-626.32%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.49,-0.19%,,,,$13.76,2.00%,-$55.75,-513.26%,-$51.46,-481.45%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.98,18.83%,,,,$15.84,5.74%,$52.10,247.80%,$77.38,416.52%,AFYA
