Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$29.25,39.65%,39.65%,$40.85,$40.85,$44.59,52.44%,$46.56,59.19%,$94.34,222.52%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,1.75,$12.57,-0.95%,-0.95%,$12.45,$13.73,$13.89,10.50%,-$56.22,-547.24%,-$51.51,-509.80%,AAL
NYSE:ABEV,11 Aug 2025,$2.67,5,$2.88,6,4,$2.17,23.13%,23.13%,$2.67,$2.88,$2.29,5.53%,$3.08,42.16%,$3.90,79.67%,ABEV
NYSE:ABM,8 Oct 2024,$59.18,4,,,,$47.89,23.57%,,,,$50.64,5.74%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.89,87.48%,,,,$4.05,4.11%,$10.26,163.86%,$18.61,378.32%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.24,-5.41%,,,,$9.73,5.30%,$10.05,8.79%,$10.09,9.20%,ACHR
NYSE:ACN,18 Aug 2025,$250.90,4,$337.22,9,4.25,$251.80,-0.36%,-0.36%,$250.90,$337.22,$390.58,55.12%,$597.67,137.36%,$632.69,151.27%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.37,38.65%,,,,,-100.00%,-$2.00,-640.54%,-$2.00,-640.54%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.17,2.24%,,,,$13.08,-0.68%,-$56.05,-525.55%,-$51.75,-492.95%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.97,18.90%,,,,$15.88,6.08%,$52.35,249.71%,$77.77,419.50%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$8.57,-10.68%,-10.68%,$7.66,$7.66,$12.88,50.29%,$10.27,19.87%,$17.53,104.58%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$26.86,-33.00%,-33.00%,$18.00,$18.00,$39.77,48.06%,$35.16,30.90%,$44.39,65.25%,AGI
NYSE:AGM,19 May 2025,$187.40,3,$232.50,6,,$194.95,-3.87%,,,,$294.83,51.23%,"-$1,753.74",-999.58%,"-$1,426.51",-831.73%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.66,16.48%,,,,$10.27,6.31%,-$69.67,-821.25%,-$69.32,-817.55%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$80.81,24.02%,,,,$84.79,4.93%,$50.04,-38.07%,$50.15,-37.95%,AGO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$82.38,2.89%,,,,$87.21,5.86%,-$48.03,-158.30%,$18.11,-78.01%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$60.77,9.92%,9.92%,$66.80,$77.61,$93.38,53.66%,$62.74,3.24%,$88.91,46.30%,AIN
NASDAQ:AIRS,3 Jul 2025,$6.62,3,$4.50,6,,$6.35,-29.13%,,,,$10.17,60.16%,$9.22,45.26%,$9.94,56.57%,AIRS
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$57.74,-13.63%,,,,$60.71,5.14%,-$213.17,-469.19%,-$140.39,-343.15%,AL
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$18.63,-1.28%,,,,$19.91,6.87%,$21.85,17.30%,$31.43,68.70%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.79,153.14%,,,,$4.14,9.23%,$2.98,-21.28%,$13.07,244.97%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$37.90,9.58%,,,,$40.16,5.96%,-$443.30,-1269.66%,-$464.05,-1324.40%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$21.59,-0.42%,,,,$22.76,5.42%,-$149.91,-794.35%,-$144.27,-768.22%,ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,2,$5.65,-5.66%,-5.66%,$5.33,$5.33,$6.20,9.73%,$0.00,-100.00%,$0.00,-100.00%,ALTS
NYSE:AMBP,12 May 2025,$5.62,5,$3.65,6,,$3.71,-1.62%,,,,$5.67,52.83%,$7.03,89.35%,$17.07,360.18%,AMBP
NYSE:AMCR,8 Aug 2025,$10.91,5,$11.50,10,5,$8.53,27.94%,27.94%,$10.91,$11.50,$9.07,6.33%,$10.43,22.30%,$15.36,80.05%,AMCR
NASDAQ:AMRK,16 Dec 2024,$47.67,3,,5,,$22.39,112.91%,,,,$22.37,-0.09%,$0.00,-100.00%,$0.00,-100.00%,AMRK
NASDAQ:AMWD,19 Dec 2024,$85.26,3,$116.00,7,,$61.89,37.76%,,,,$61.57,-0.52%,$0.00,-100.00%,$0.00,-100.00%,AMWD
NYSE:AMX,15 May 2025,$18.21,3,$16.53,3,,$19.10,-13.46%,,,,$19.85,3.93%,$868.77,4448.51%,"$2,716.49",14122.44%,AMX
NYSE:ANF,20 Aug 2025,$127.43,3,$118.44,7,3.25,$90.58,30.76%,30.76%,$118.44,$127.43,$103.79,14.58%,$0.00,-100.00%,$0.00,-100.00%,ANF
NASDAQ:APA,12 Aug 2025,$28.49,3,$22.45,7,3.25,$20.13,11.53%,11.53%,$22.45,$28.49,$22.95,14.01%,$52.44,160.51%,$111.82,455.48%,APA
NYSE:APD,7 Jun 2024,$304.35,4,,,,$291.08,4.56%,,,,$315.96,8.55%,$197.92,-32.01%,$218.65,-24.88%,APD
