Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,28 Feb 2024,$40.04,3,,,,$29.97,33.58%,,,,$32.32,7.84%,$46.95,56.67%,$94.51,215.34%,AA
NYSE:ABEV,11 Jul 2025,$2.79,5,$3.07,8,4.5,$2.18,27.80%,27.80%,$2.79,$3.07,$2.31,5.96%,$0.00,-100.00%,$0.00,-100.00%,ABEV
NYSE:ABM,8 Oct 2024,$59.18,4,,,,$46.13,28.28%,,,,$47.72,3.45%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.75,94.48%,,,,$3.87,3.20%,$0.00,-100.00%,$0.00,-100.00%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,3,$10.03,-12.86%,-12.86%,$8.74,$8.74,$11.08,10.47%,$0.00,-100.00%,$0.00,-100.00%,ACHR
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,3,$0.44,16.59%,16.59%,$0.51,$0.51,$0.43,-2.27%,$0.00,-100.00%,$0.00,-100.00%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,3,$13.15,2.40%,2.40%,$13.47,$13.47,$12.96,-1.44%,$0.00,-100.00%,$0.00,-100.00%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$13.70,29.93%,,,,$14.69,7.23%,$0.00,-100.00%,$0.00,-100.00%,AFYA
NYSE:AGM,19 May 2025,$187.40,3,$232.50,6,,$172.27,8.78%,,,,$172.91,0.37%,$0.00,-100.00%,$0.00,-100.00%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,4,$9.43,19.32%,19.32%,$11.25,$11.25,$10.38,10.07%,$0.00,-100.00%,$0.00,-100.00%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$84.58,18.50%,,,,$87.89,3.91%,$0.00,-100.00%,$0.00,-100.00%,AGO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,2.75,$77.63,9.18%,9.18%,$84.76,$90.60,$117.80,51.75%,$0.00,-100.00%,$0.00,-100.00%,AIG
NYSE:AIN,28 Mar 2024,$92.28,3,,,,$54.19,70.29%,,,,$50.57,-6.68%,$0.00,-100.00%,$0.00,-100.00%,AIN
NASDAQ:AIRS,3 Jul 2025,$6.62,3,$4.50,6,3,$6.61,-31.92%,-31.92%,$4.50,$6.62,$7.04,6.51%,$0.00,-100.00%,$0.00,-100.00%,AIRS
