Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$29.33,39.27%,39.27%,$40.85,$40.85,$45.22,54.18%,$46.83,59.68%,$94.38,221.80%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,1.75,$12.87,-3.26%,-3.26%,$12.45,$13.73,$14.01,8.86%,-$55.99,-535.08%,-$51.29,-498.52%,AAL
NYSE:ABEV,11 Aug 2025,$2.67,5,$2.88,6,4,$2.19,22.01%,22.01%,$2.67,$2.88,$2.27,3.65%,$3.06,39.78%,$3.87,76.80%,ABEV
NYSE:ABM,8 Oct 2024,$59.18,4,,,,$48.13,22.95%,,,,$50.12,4.13%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.88,87.96%,,,,$4.07,4.90%,$10.17,162.21%,$18.49,376.42%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.94,-2.24%,,,,$10.20,14.09%,$10.11,13.12%,$10.15,13.55%,ACHR
NYSE:ACN,18 Aug 2025,$250.90,4,$337.22,9,4.25,$257.78,-2.67%,-2.67%,$250.90,$337.22,$386.43,49.91%,$595.61,131.05%,$630.39,144.55%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.36,42.50%,,,,,-100.00%,-$2.00,-655.56%,-$2.00,-655.56%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.19,2.08%,,,,$13.33,1.06%,-$55.94,-524.09%,-$51.65,-491.55%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.02,18.51%,,,,$23.02,53.26%,$51.98,246.08%,$77.21,414.04%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$8.44,-9.30%,-9.30%,$7.66,$7.66,$13.38,58.53%,$10.08,19.43%,$10.68,26.59%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$26.13,-31.13%,-31.13%,$18.00,$18.00,$39.70,51.93%,$34.32,31.33%,$43.47,66.38%,AGI
NYSE:AGM,19 May 2025,$187.40,3,$232.50,6,,$193.40,-3.10%,,,,$218.40,12.93%,"-$1,764.67",-1012.45%,"-$1,440.10",-844.62%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.66,16.48%,,,,$10.33,6.94%,-$69.82,-822.78%,-$69.46,-819.08%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$81.25,23.35%,,,,$84.79,4.36%,$49.83,-38.67%,$49.93,-38.55%,AGO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$82.81,2.35%,,,,$86.49,4.44%,-$49.64,-159.94%,$16.26,-80.36%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$61.66,8.34%,8.34%,$66.80,$77.61,$93.86,52.22%,$63.71,3.33%,$89.78,45.61%,AIN
NASDAQ:AIRS,3 Jul 2025,$6.62,3,$4.50,6,,$6.23,-27.77%,,,,$9.73,56.18%,$8.94,43.48%,$9.65,54.95%,AIRS
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$57.41,-13.13%,,,,$60.99,6.24%,-$212.67,-470.44%,-$140.22,-344.24%,AL
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$18.79,-2.12%,,,,$19.48,3.67%,$21.91,16.58%,$31.41,67.17%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.83,150.50%,,,,$4.15,8.36%,$3.00,-21.60%,$13.04,240.48%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$37.93,9.49%,,,,$41.44,9.25%,-$443.51,-1269.28%,-$464.12,-1323.61%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$21.50,0.00%,,,,$23.08,7.35%,-$150.06,-797.94%,-$144.44,-771.80%,ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,2,$5.31,0.38%,0.38%,$5.33,$5.33,$9.82,84.93%,$0.00,-100.00%,$0.00,-100.00%,ALTS
NYSE:AMBP,12 May 2025,$5.62,5,$3.65,6,,$3.72,-1.88%,,,,$5.67,52.42%,$6.96,87.02%,$16.95,355.67%,AMBP
NYSE:AMCR,8 Aug 2025,$10.91,5,$11.50,10,5,$8.61,26.75%,26.75%,$10.91,$11.50,$8.97,4.18%,$10.36,20.28%,$15.29,77.58%,AMCR
NASDAQ:AMRK,16 Dec 2024,$47.67,3,,5,,$23.25,105.03%,,,,$22.63,-2.67%,$0.00,-100.00%,$0.00,-100.00%,AMRK
NASDAQ:AMWD,19 Dec 2024,$85.26,3,$116.00,7,,$63.21,34.88%,,,,$63.27,0.09%,$0.00,-100.00%,$0.00,-100.00%,AMWD
NYSE:AMX,15 May 2025,$18.21,3,$16.53,3,,$19.11,-13.50%,,,,$19.78,3.51%,$858.14,4390.55%,"$2,690.49",13978.97%,AMX
NYSE:ANF,20 Aug 2025,$127.43,3,$118.44,7,3.25,$90.61,30.71%,30.71%,$118.44,$127.43,$109.10,20.41%,$0.00,-100.00%,$0.00,-100.00%,ANF
NASDAQ:APA,12 Aug 2025,$28.49,3,$22.45,7,3.25,$20.36,10.27%,10.27%,$22.45,$28.49,$22.34,9.72%,$52.13,156.02%,$111.28,446.56%,APA
NYSE:APD,7 Jun 2024,$304.35,4,,,,$293.19,3.81%,,,,$312.89,6.72%,$195.64,-33.27%,$216.34,-26.21%,APD
NYSE:APH,16 Sep 2023,$81.57,2,,,,$105.42,-22.63%,,,,$115.92,9.96%,$160.67,52.41%,$172.02,63.18%,APH
NASDAQ:APOG,5 May 2025,$66.39,5,$55.00,2,,$43.15,27.46%,,,,$43.43,0.65%,$122.39,183.63%,$148.96,245.21%,APOG
NYSE:AQN,18 Aug 2025,$6.08,4,$6.19,8,4,$5.80,4.90%,4.90%,$6.08,$6.19,$6.26,7.93%,-$2.91,-150.16%,$4.59,-20.80%,AQN
NYSE:AR,20 Aug 2025,$31.31,3,,,3,$30.06,4.15%,4.15%,$31.31,$31.31,$45.27,50.60%,$67.60,124.88%,$92.96,209.24%,AR
NASDAQ:ARHS,7 Jul 2025,$13.03,3,$10.27,4,,$12.24,-16.09%,,,,$13.36,9.15%,$25.27,106.42%,$52.80,331.34%,ARHS
NASDAQ:ARKO,21 Jul 2025,$6.34,3,$6.88,4,,$5.01,26.59%,,,,$5.13,2.40%,-$16.76,-434.52%,-$4.94,-198.60%,ARKO
NYSE:ASB,10 Apr 2025,$23.54,5,$27.17,6,,$25.07,-6.11%,,,,$27.42,9.37%,-$160.08,-738.52%,-$153.97,-714.16%,ASB
NYSE:ASH,14 May 2025,$83.18,3,$66.86,4,,$54.12,23.54%,,,,$53.84,-0.52%,$112.53,107.92%,$198.16,266.15%,ASH
NASDAQ:ASML,8 Jul 2024,$901.00,1,,,,$738.93,21.93%,,,,$809.66,9.57%,$784.28,6.14%,$835.55,13.08%,ASML
NYSE:ASR,10 Jul 2025,$344.93,4,$352.00,7,,$326.92,5.51%,,,,$354.93,8.57%,"$2,503.74",665.86%,"$3,862.07",1081.35%,ASR
NYSE:ATI,28 Oct 2024,$51.14,1,,,,$70.57,-27.54%,,,,$75.29,6.69%,$92.36,30.88%,$113.16,60.35%,ATI
NYSE:AU,20 Aug 2025,$29.75,2,,,2,$52.76,-43.61%,-43.61%,$29.75,$29.75,$80.36,52.31%,$128.76,144.04%,$133.20,152.46%,AU
