Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,28 Feb 2024,$40.04,3,,,,$30.38,31.78%,,,,$45.93,51.18%,$47.29,55.66%,$95.52,214.41%,AA
NYSE:ABEV,11 Jul 2025,$2.79,5,$3.07,8,4.5,$2.27,22.73%,22.73%,$2.79,$3.07,$2.37,4.41%,$3.16,39.31%,$3.98,75.44%,ABEV
NYSE:ABM,8 Oct 2024,$59.18,4,,,,$47.53,24.50%,,,,$48.80,2.67%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.64,100.36%,,,,$3.76,3.30%,$10.19,179.88%,$18.59,410.80%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.65,-9.43%,,,,$11.06,14.61%,$0.00,-100.00%,$0.00,-100.00%,ACHR
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,3,$0.39,31.54%,31.54%,$0.51,$0.51,$0.47,20.51%,$0.00,-100.00%,$0.00,-100.00%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,3,$12.95,3.98%,3.98%,$13.47,$13.47,$12.66,-2.24%,-$56.42,-535.68%,-$52.12,-502.48%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.60,21.92%,,,,$16.04,9.86%,$0.00,-100.00%,$0.00,-100.00%,AFYA
NYSE:AGM,19 May 2025,$187.40,3,$232.50,6,,$179.34,4.49%,,,,$177.27,-1.15%,$0.00,-100.00%,$0.00,-100.00%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.47,18.82%,,,,$10.03,5.91%,-$69.87,-837.75%,-$69.51,-833.97%,AGNC
