Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,28 Feb 2024,$40.04,3,,,,Loading...,Loading...,,,,$30.81,Loading...,$37.12,Loading...,$36.39,Loading...,AA
NYSE:ABM,8 Oct 2024,$59.18,4,,,,Loading...,Loading...,,,,$51.49,Loading...,$36.02,Loading...,$49.49,Loading...,ABM
NYSE:ACCO,2 May 2025,$7.25,5,$9.50,7,,Loading...,Loading...,,,,$3.84,Loading...,-$7.56,Loading...,$2.95,Loading...,ACCO
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,Loading...,Loading...,,,,$19.11,Loading...,$103.16,Loading...,$126.12,Loading...,AFYA
NYSE:AGM,9 May 2025,$187.48,3,$323.50,8,,Loading...,Loading...,,,,$206.02,Loading...,"-$1,591.06",Loading...,"-$1,307.82",Loading...,AGM
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,Loading...,Loading...,,,,$85.01,Loading...,-$7.05,Loading...,-$6.90,Loading...,AGO
NYSE:AIN,28 Mar 2024,$92.28,3,,,,Loading...,Loading...,,,,$67.33,Loading...,$85.06,Loading...,$66.42,Loading...,AIN
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,Loading...,Loading...,,,,$57.26,Loading...,-$210.90,Loading...,-$140.14,Loading...,AL
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,Loading...,Loading...,,,,$17.30,Loading...,$27.35,Loading...,$35.94,Loading...,ALEX
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,Loading...,Loading...,,,,$35.69,Loading...,-$496.17,Loading...,-$452.52,Loading...,ALLY
NYSE:AMBP,12 May 2025,$5.62,5,$3.65,6,,Loading...,Loading...,,,,$3.94,Loading...,$2.26,Loading...,$7.48,Loading...,AMBP
NASDAQ:AMRK,16 Dec 2024,$47.67,3,,5,,Loading...,Loading...,,,,$22.04,Loading...,$90.98,Loading...,$97.16,Loading...,AMRK
NASDAQ:AMWD,19 Dec 2024,$85.26,3,$116.00,7,,Loading...,Loading...,,,,$57.57,Loading...,$45.25,Loading...,$101.23,Loading...,AMWD
