Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$35.83,14.00%,,,,$36.42,1.65%,$16.42,-54.17%,$50.53,41.04%,AA,NYSE:AA,-0.303
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.24,1.72%,,,,$12.24,0.00%,$4.17,-65.97%,$9.91,-19.03%,AAL,NASDAQ:AAL,-0.211
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$89.16,-26.26%,,,,$91.19,2.28%,$104.20,16.87%,$112.52,26.20%,AAON,NASDAQ:AAON,-0.133
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$71.76,-3.50%,,,,,-100.00%,-$2.00,-102.79%,-$2.00,-102.79%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,3.5,$71.76,2.33%,2.33%,$73.43,$73.43,$75.16,4.74%,-$150.82,-310.17%,-$141.16,-296.71%,ABCB,NYSE:ABCB,0.688
NYSE:ABEV,9 Nov 2025,$2.94,5,$2.81,6,3.5,$2.43,15.64%,15.64%,$2.81,$2.94,$2.48,2.06%,$6.47,166.34%,$7.71,217.11%,ABEV,NYSE:ABEV,-0.158
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$41.65,33.93%,,,,$40.57,-2.59%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.023
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.27,123.03%,,,,$3.30,0.92%,$35.54,986.91%,$50.44,1442.40%,ACCO,NYSE:ACCO,-0.405
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$9.64,33.89%,,,,$9.74,1.04%,$17.90,85.73%,$27.34,183.58%,ACEL,NYSE:ACEL,-0.421
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$91.88,5.87%,,,,$93.60,1.87%,$358.27,289.93%,$367.87,300.39%,ACGL,NASDAQ:ACGL,0.062
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$6.87,27.22%,,,,$8.04,17.03%,$6.47,-5.88%,$6.51,-5.25%,ACHR,NYSE:ACHR,0.409
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$240.79,9.67%,,,,$248.62,3.25%,$550.67,128.69%,$603.91,150.80%,ACN,NYSE:ACN,0.078
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$6.64,61.48%,,,,$6.39,-3.77%,$9.23,39.08%,$6.27,-5.58%,ACVA,NYSE:ACVA,-0.380
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$73.69,7.56%,,,,$75.64,2.65%,$89.45,21.38%,$132.92,80.38%,ADC,NYSE:ADC,0.181
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.30,71.00%,,,,,-100.00%,-$2.00,-766.67%,-$2.00,-766.67%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$7.40,2.57%,,,,$7.71,4.19%,$3.48,-53.00%,$26.29,255.26%,ADTN,NASDAQ:ADTN,0.364
NYSE:AEM,24 Oct 2025,$79.48,1,,,2,$158.60,-49.89%,-49.89%,$79.48,$79.48,$177.23,11.75%,$310.95,96.06%,$371.56,134.28%,AEM,NYSE:AEM,0.377
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$120.90,-13.39%,,,,$122.38,1.22%,$3.23,-97.33%,$122.27,1.14%,AEP,NASDAQ:AEP,-0.168
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.51,-0.33%,,,,$13.89,2.81%,-$54.57,-503.90%,-$50.14,-471.12%,AES,NYSE:AES,-0.008
