Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,Loading...,$35.26,15.85%,,,,$35.17,-0.26%,$14.98,-57.52%,$49.14,39.36%,AA,NYSE:AA,-0.489
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.65,-1.57%,,,,$12.31,-2.69%,$4.63,-63.40%,$10.37,-18.00%,AAL,NASDAQ:AAL,-0.793
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$89.93,-26.89%,,,,$90.63,0.78%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON,-0.060
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,1.75,$72.45,-4.42%,-4.42%,$69.25,$77.00,,-100.00%,-$2.00,-102.76%,-$2.00,-102.76%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,24 Oct 2025,$71.01,3,,,2.75,$72.45,-1.99%,-1.99%,$71.01,$71.01,$71.71,-1.02%,$0.00,-100.00%,$0.00,-100.00%,ABCB,NYSE:ABCB,-0.023
NYSE:ABEV,26 Oct 2025,$2.79,5,$2.90,6,3.5,$2.39,16.74%,16.74%,$2.79,$2.90,$2.37,-0.84%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV,-0.162
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$43.03,29.63%,,,,$42.32,-1.65%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.226
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,Loading...,$3.61,102.02%,,,,$3.59,-0.55%,$35.94,895.65%,$50.87,1309.03%,ACCO,NYSE:ACCO,-0.382
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$9.93,29.98%,,,,$10.24,3.12%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL,0.004
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$87.47,11.21%,,,,$85.57,-2.17%,$385.07,340.23%,$386.11,341.41%,ACGL,NASDAQ:ACGL,-0.581
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.56,-8.58%,,,,$10.48,9.62%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR,0.402
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$242.90,8.72%,,,,$253.70,4.45%,$553.05,127.69%,$606.37,149.64%,ACN,NYSE:ACN,0.186
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$8.95,19.80%,,,,$8.84,-1.23%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA,-0.781
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$72.34,9.57%,,,,$74.76,3.35%,$88.71,22.63%,$132.27,82.84%,ADC,NYSE:ADC,0.133
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.33,55.45%,,,,,-100.00%,-$2.00,-706.06%,-$2.00,-706.06%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$7.91,-4.05%,,,,$7.97,0.76%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN,-0.103
NYSE:AEM,24 Oct 2025,$79.48,1,,,2.25,$155.91,-49.02%,-49.02%,$79.48,$79.48,$165.29,6.02%,$299.50,92.10%,$360.22,131.05%,AEM,NYSE:AEM,0.476
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$120.30,-12.96%,,,,$118.80,-1.25%,$2.16,-98.21%,$121.17,0.72%,AEP,NASDAQ:AEP,-0.622
