Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$36.55,11.76%,,,,$36.66,0.30%,$17.25,-52.80%,$51.27,40.29%,AA,NYSE:AA,-0.272
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.36,0.74%,,,,$12.74,3.07%,$4.31,-65.14%,$10.06,-18.61%,AAL,NASDAQ:AAL,-0.367
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$90.38,-27.25%,,,,$91.52,1.26%,$106.27,17.58%,$114.56,26.76%,AAON,NASDAQ:AAON,-0.356
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$71.68,-3.39%,,,,,-100.00%,-$2.00,-102.79%,-$2.00,-102.79%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,3.75,$71.68,2.44%,2.44%,$73.43,$73.43,$77.27,7.80%,-$162.31,-326.43%,-$152.68,-313.01%,ABCB,NYSE:ABCB,0.883
NYSE:ABEV,9 Nov 2025,$2.94,5,$2.81,6,3.5,$2.53,11.07%,11.07%,$2.81,$2.94,$2.55,0.79%,$6.54,158.41%,$7.77,207.01%,ABEV,NYSE:ABEV,-0.302
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$40.49,37.76%,,,,$41.92,3.53%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.115
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.34,118.35%,,,,$3.40,1.80%,$35.45,961.41%,$50.29,1405.67%,ACCO,NYSE:ACCO,-0.544
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$9.79,31.84%,,,,$10.10,3.17%,$18.35,87.47%,$27.77,183.62%,ACEL,NYSE:ACEL,-0.471
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$91.79,5.97%,,,,$95.01,3.51%,$391.47,326.49%,$401.04,336.91%,ACGL,NASDAQ:ACGL,0.012
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$7.61,14.85%,,,,$8.44,10.91%,$6.88,-9.64%,$6.92,-9.07%,ACHR,NYSE:ACHR,0.343
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$240.00,10.04%,,,,$247.47,3.11%,$553.69,130.70%,$606.76,152.82%,ACN,NYSE:ACN,-0.039
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$6.54,63.94%,,,,$5.99,-8.41%,$5.09,-22.16%,$7.49,14.59%,ACVA,NYSE:ACVA,-0.476
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$73.91,7.24%,,,,$74.22,0.42%,$89.64,21.28%,$132.94,79.87%,ADC,NYSE:ADC,-0.098
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.31,65.48%,,,,,-100.00%,-$2.00,-745.16%,-$2.00,-745.16%,ADIL,NASDAQ:ADIL,-2.000
