Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:STNE	1	26.37				0	0
NYSE:DD	1	59.94	2025-11-28	0.095		0	0
NASDAQ:CRDO	1	245.61				0	0
NYSE:VTEX	1	6.40				0	0
NASDAQ:XP	1	27.93				0	0
NYSE:BLSH	1	68.50				0	0
NYSE:FN	1	673.86				548.1215456788843	575.4712751161009
NYSE:ARX	1	18.98				0	0
NYSE:FDP	1	56.05	2025-11-12	0.2875		104.21411471637445	132.57219871013666
NASDAQ:PAX	1	22.42	2025-11-14	0.038		0	0
NASDAQ:CWCO	1	52.52	2025-10-01	0.1175		0	0
NYSE:KAI	0.9988153576850891	307.60	2025-10-09	0.335		0	0
NYSE:SEM	0.9967496991157532	15.01	2025-11-12	0.09375		19.547297205092455	32.117828884463364
NYSE:EPAC	0.973039984703064	43.97	2025-10-07	0.01		-7331.225859621992	-7324.614819501808
NYSE:RRX	0.9388506412506104	145.35	2025-12-31	0.35		141.57399038583853	178.79003571279497
NASDAQ:GLRE	0.9277697205543518	13.91				34.8047154563449	34.88206860762135
NYSE:NPWR	0.9074639678001404	3.69				0	0
NYSE:IR	0.8767313957214355	82.24	2025-11-13	0.02		93.44706148741702	98.72556268936336
NYSE:LXFR	0.8569205403327942	13.06	2025-10-17	0.13		22.073636816855156	27.251686064367647
NASDAQ:AMSC	0.8330091238021851	40.85				0	0
