Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$37.48,8.98%,,,,$35.23,-6.00%,$17.04,-54.54%,$51.20,36.60%,AA,NYSE:AA,-0.659
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.99,-4.15%,,,,$12.55,-3.39%,$5.63,-56.66%,$11.37,-12.45%,AAL,NASDAQ:AAL,-0.767
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$103.90,-36.72%,,,,$97.65,-6.02%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON,-0.357
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$74.91,-7.56%,,,,,-100.00%,-$2.00,-102.67%,-$2.00,-102.67%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,24 Oct 2025,$71.01,3,,,2.5,$74.91,-5.21%,-5.21%,$71.01,$71.01,$72.94,-2.63%,-$202.88,-370.84%,-$201.06,-368.41%,ABCB,NYSE:ABCB,-0.221
NYSE:ABEV,9 Nov 2025,$2.94,5,$2.81,6,3.5,$2.53,11.07%,11.07%,$2.81,$2.94,$2.43,-3.95%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV,-0.261
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$42.41,31.53%,,,,$43.11,1.65%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,0.146
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.43,112.62%,,,,$3.41,-0.58%,$35.77,942.94%,$50.70,1378.01%,ACCO,NYSE:ACCO,-0.457
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.27,25.68%,,,,$10.01,-2.53%,$18.29,78.06%,$27.73,170.00%,ACEL,NYSE:ACEL,-0.550
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$90.66,7.29%,,,,$86.73,-4.33%,$387.17,327.05%,$388.21,328.20%,ACGL,NASDAQ:ACGL,-0.718
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.94,-2.24%,,,,$8.40,-6.04%,$7.18,-19.73%,$7.22,-19.26%,ACHR,NYSE:ACHR,0.222
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$242.56,8.87%,,,,$250.68,3.35%,$555.91,129.18%,$609.23,151.17%,ACN,NYSE:ACN,0.057
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$5.49,95.30%,,,,$5.03,-8.38%,$4.26,-22.48%,$6.67,21.43%,ACVA,NYSE:ACVA,-0.722
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$73.77,7.44%,,,,$72.52,-1.69%,$89.78,21.70%,$133.34,80.75%,ADC,NYSE:ADC,-0.566
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.33,55.45%,,,,,-100.00%,-$2.00,-706.06%,-$2.00,-706.06%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$8.03,-5.48%,,,,$8.41,4.73%,$4.00,-50.21%,$26.86,234.50%,ADTN,NASDAQ:ADTN,0.622
NYSE:AEM,24 Oct 2025,$79.48,1,,,1,$167.84,-52.65%,-52.65%,$79.48,$79.48,$156.66,-6.66%,$305.02,81.73%,$365.74,117.91%,AEM,NYSE:AEM,-0.566
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$122.73,-14.68%,,,,$118.27,-3.63%,$3.29,-97.32%,$122.30,-0.35%,AEP,NASDAQ:AEP,-0.740
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.27,-5.64%,,,,$13.76,-3.57%,-$54.22,-479.95%,-$49.79,-448.91%,AES,NYSE:AES,-0.359
