Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$37.20,9.80%,,,,$36.44,-2.04%,$16.51,-55.62%,$50.67,36.21%,AA,NYSE:AA,-0.561
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.34,-6.66%,,,,$12.82,-3.90%,$5.11,-61.70%,$10.85,-18.65%,AAL,NASDAQ:AAL,-0.726
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$95.90,-31.44%,,,,$100.63,4.93%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON,0.143
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,1.75,$72.29,-4.21%,-4.21%,$69.25,$77.00,,-100.00%,-$2.00,-102.77%,-$2.00,-102.77%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,24 Oct 2025,$71.01,3,,,2.75,$72.29,-1.77%,-1.77%,$71.01,$71.01,$73.45,1.60%,$0.00,-100.00%,$0.00,-100.00%,ABCB,NYSE:ABCB,0.010
NYSE:ABEV,26 Oct 2025,$2.79,5,$2.90,6,3.5,$2.35,18.72%,18.72%,$2.79,$2.90,$2.35,0.00%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV,-0.282
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$43.21,29.09%,,,,$44.11,2.08%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,0.168
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.65,99.81%,,,,$3.64,-0.27%,$36.09,888.88%,$51.02,1297.74%,ACCO,NYSE:ACCO,-0.451
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$9.99,29.20%,,,,$10.05,0.60%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL,-0.112
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$86.00,13.11%,,,,$84.32,-1.95%,$383.91,346.40%,$384.95,347.61%,ACGL,NASDAQ:ACGL,-0.569
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$10.42,-16.12%,,,,$11.40,9.40%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR,0.405
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$248.44,6.30%,,,,$254.39,2.39%,$560.25,125.51%,$613.57,146.97%,ACN,NYSE:ACN,0.154
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$9.39,14.19%,,,,$8.97,-4.47%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA,-0.520
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$73.02,8.55%,,,,$72.78,-0.33%,$89.38,22.40%,$132.94,82.06%,ADC,NYSE:ADC,-0.036
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$10.43,-27.23%,,,,$10.27,-1.53%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN,-0.405
NYSE:AEM,24 Oct 2025,$79.48,1,,,2,$162.51,-51.09%,-51.09%,$79.48,$79.48,$166.57,2.50%,$304.42,87.32%,$365.14,124.69%,AEM,NYSE:AEM,0.312
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$119.92,-12.68%,,,,$117.54,-1.98%,$2.12,-98.24%,$121.13,1.01%,AEP,NASDAQ:AEP,-0.622
