Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$41.57,-1.74%,,,,$40.40,-2.81%,$19.11,-54.03%,$53.74,29.27%,AA,NYSE:AA,0.038
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.93,-10.62%,,,,$13.04,-6.39%,$6.90,-50.45%,$12.62,-9.42%,AAL,NASDAQ:AAL,-0.581
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$93.20,-29.45%,,,,$92.11,-1.17%,$106.98,14.79%,$115.48,23.90%,AAON,NASDAQ:AAON,-0.346
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$75.90,-8.76%,,,,,-100.00%,-$2.00,-102.64%,-$2.00,-102.64%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,2.75,$75.90,-3.25%,-3.25%,$73.43,$73.43,$78.47,3.39%,-$144.37,-290.21%,-$134.52,-277.24%,ABCB,NYSE:ABCB,0.066
NYSE:ABEV,9 Nov 2025,$2.94,5,$2.81,6,3.5,$2.51,11.95%,11.95%,$2.81,$2.94,$2.51,0.00%,$6.59,162.68%,$7.85,212.71%,ABEV,NYSE:ABEV,-0.405
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$42.98,29.78%,,,,$42.46,-1.21%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.276
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.43,112.62%,,,,$3.39,-1.17%,$36.82,973.33%,$52.03,1416.83%,ACCO,NYSE:ACCO,-0.022
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.21,26.42%,,,,$9.58,-6.17%,$18.40,80.22%,$27.94,173.63%,ACEL,NYSE:ACEL,-0.737
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$94.40,3.04%,,,,$93.46,-1.00%,$370.02,291.97%,$379.83,302.36%,ACGL,NASDAQ:ACGL,-0.247
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$7.49,16.69%,,,,$7.62,1.74%,$6.37,-14.91%,$6.42,-14.33%,ACHR,NYSE:ACHR,0.134
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$247.85,6.55%,,,,$255.92,3.26%,$565.07,127.99%,$619.26,149.85%,ACN,NYSE:ACN,0.061
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$7.73,38.71%,,,,$7.06,-8.67%,$10.47,35.45%,$7.27,-6.02%,ACVA,NYSE:ACVA,-0.726
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$75.14,5.48%,,,,$74.70,-0.59%,$93.23,24.08%,$137.66,83.20%,ADC,NYSE:ADC,-0.389
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.31,65.48%,,,,,-100.00%,-$2.00,-745.16%,-$2.00,-745.16%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$7.98,-4.89%,,,,$7.40,-7.27%,$3.79,-52.50%,$27.09,239.43%,ADTN,NASDAQ:ADTN,-0.037
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$173.02,-54.06%,,,,$171.10,-1.11%,$312.80,80.79%,$374.72,116.58%,AEM,NYSE:AEM,0.094
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$122.72,-14.68%,,,,$120.48,-1.83%,$4.00,-96.74%,$125.61,2.35%,AEP,NASDAQ:AEP,-0.570
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.91,-3.20%,,,,$13.85,-0.43%,-$54.56,-492.21%,-$50.12,-460.32%,AES,NYSE:AES,-0.298
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.99,18.75%,,,,$14.67,-2.13%,$119.98,700.42%,$147.34,882.93%,AFYA,NASDAQ:AFYA,-0.499
NYSE:AG,12 Aug 2025,$7.66,3,,,,$13.51,-43.34%,,,,$12.11,-10.36%,$14.23,5.30%,$20.26,49.99%,AG,NYSE:AG,-0.215
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$36.77,-47.92%,,,,$34.69,-5.66%,$51.36,39.67%,$60.80,65.34%,AGI,NYSE:AGI,-0.003
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,2.75,$172.69,4.09%,4.09%,$179.75,$219.00,$167.64,-2.92%,"-$2,508.71",-1552.73%,"-$2,578.07",-1592.89%,AGM,NYSE:AGM,-0.440
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,,$10.56,-3.60%,,,,$0.00,-100.00%,-$73.21,-793.29%,-$67.41,-738.37%,AGNC,NASDAQ:AGNC,-1.000
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$90.05,11.30%,,,,$90.91,0.96%,$31.70,-64.80%,$31.76,-64.73%,AGO,NYSE:AGO,-0.175
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$8.05,16.77%,,,,$7.72,-4.10%,$36.30,350.88%,$17.69,119.74%,AGRO,NYSE:AGRO,-0.646
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$76.04,11.47%,,,,$75.01,-1.35%,-$59.43,-178.15%,$6.84,-91.00%,AIG,NYSE:AIG,-0.440
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$47.39,40.96%,,,,$46.07,-2.79%,$65.76,38.75%,$108.51,128.97%,AIN,NYSE:AIN,-0.098
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$3.57,40.06%,,,,$3.55,-0.56%,$4.80,34.39%,$4.46,24.93%,AIRS,NASDAQ:AIRS,-0.167
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$228.52,-2.93%,,,,$227.33,-0.52%,$478.08,109.21%,$568.67,148.85%,AIZ,NYSE:AIZ,-0.295
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.85,-21.90%,,,,$63.67,-0.28%,-$213.37,-434.17%,-$82.74,-229.58%,AL,NYSE:AL,-0.533
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$79.17,2.88%,,,,$77.98,-1.50%,$139.71,76.46%,$189.10,138.86%,ALC,NYSE:ALC,-0.157
NYSE:ALEX,18 Nov 2025,$16.62,4,$21.00,5,3,$15.60,6.52%,6.52%,$16.62,$21.00,$15.68,0.51%,$21.44,37.41%,$14.97,-4.04%,ALEX,NYSE:ALEX,-0.260
NYSE:ALIT,10 Sep 2025,$6.24,3,$6.75,4,,$2.33,167.85%,,,,$2.17,-6.87%,$1.08,-53.69%,$11.94,412.52%,ALIT,NYSE:ALIT,-0.201
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$213.87,-14.56%,,,,$214.11,0.11%,$719.09,236.23%,$839.54,292.55%,ALL,NYSE:ALL,-0.237
NYSE:ALLE,24 Oct 2025,$165.38,3,,,,$165.67,-0.18%,,,,$169.67,2.41%,$313.98,89.52%,$344.87,108.17%,ALLE,NYSE:ALLE,0.146
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$41.15,0.92%,,,,$39.88,-3.09%,-$448.40,-1189.68%,-$483.52,-1275.03%,ALLY,NYSE:ALLY,-0.332
NASDAQ:ALRS,27 Oct 2025,$24.54,3,$25.63,7,,$21.74,12.87%,,,,$21.62,-0.55%,-$88.50,-507.10%,-$75.83,-448.80%,ALRS,NASDAQ:ALRS,-0.078
NYSE:ALSN,22 Sep 2025,$99.81,4,$98.14,3,,$89.46,9.70%,,,,$85.20,-4.76%,$216.21,141.68%,$245.06,173.93%,ALSN,NYSE:ALSN,-0.406
NASDAQ:ALT,28 Oct 2025,$3.47,3,$19.75,5,,$5.17,-32.93%,,,,$4.85,-6.19%,$3.58,-30.72%,$3.60,-30.43%,ALT,NASDAQ:ALT,-0.877
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,,$1.88,183.51%,,,,$1.70,-9.57%,$0.00,-100.00%,$0.00,-100.00%,ALTS,NASDAQ:ALTS,-0.222
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,,$5.15,68.19%,,,,$5.16,0.19%,$6.28,21.99%,$8.22,59.70%,ALVO,NASDAQ:ALVO,-0.193
NASDAQ:AMAL,2 Oct 2025,$30.65,3,,1,,$29.58,3.62%,,,,$29.32,-0.88%,-$137.06,-563.34%,-$136.16,-560.33%,AMAL,NASDAQ:AMAL,-0.194
NYSE:AMBC,3 Sep 2025,$10.68,3,,2,,#N/A,#N/A,,,,$8.86,#N/A,$193.39,#N/A,$202.71,#N/A,AMBC,NYSE:AMBC,-0.463
NYSE:AMBP,29 Aug 2025,$5.14,4,,6,,$3.75,37.04%,,,,$3.71,-1.07%,$2.19,-41.72%,$10.23,172.73%,AMBP,NYSE:AMBP,-0.586
