Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$36.90,10.70%,,,,$36.00,-2.44%,$16.71,-54.73%,$51.44,39.39%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.66,-1.65%,,,,$12.56,-0.79%,$5.67,-55.24%,$15.97,26.17%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$100.66,-34.68%,,,,$106.65,5.95%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,3,$71.67,-3.38%,-3.38%,$69.25,$77.00,,-100.00%,-$2.00,-102.79%,-$2.00,-102.79%,ABCB,NYSE:ABCB
NYSE:ABCB,24 Oct 2025,$71.01,3,,,3,$71.67,-0.92%,-0.92%,$71.01,$71.01,$74.77,4.33%,$0.00,-100.00%,$0.00,-100.00%,ABCB,NYSE:ABCB
NYSE:ABEV,26 Oct 2025,$2.79,5,$2.90,6,4,$2.30,21.30%,21.30%,$2.79,$2.90,$2.27,-1.30%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$42.84,30.21%,,,,$44.61,4.13%,$71.72,67.41%,$90.43,111.08%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.57,104.29%,,,,$3.89,8.96%,$0.00,-100.00%,$0.00,-100.00%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$9.92,30.11%,,,,$10.47,5.54%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$86.64,12.27%,,,,$85.89,-0.87%,$394.32,355.13%,$395.36,356.33%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$10.94,-20.11%,,,,$11.49,5.03%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$249.17,5.99%,,,,$257.33,3.27%,$566.20,127.23%,$620.57,149.05%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$8.94,19.93%,,,,$9.14,2.24%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$72.87,8.77%,,,,$74.73,2.55%,$91.37,25.39%,$135.98,86.60%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$10.54,-27.99%,,,,$9.93,-5.79%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN
NYSE:AEM,24 Oct 2025,$79.48,1,,,1,$161.17,-50.69%,-50.69%,$79.48,$79.48,$168.71,4.68%,$0.00,-100.00%,$0.00,-100.00%,AEM,NYSE:AEM
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$120.40,-13.03%,,,,$117.97,-2.02%,$0.00,-100.00%,$0.00,-100.00%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.72,-1.86%,,,,$14.07,2.55%,$0.00,-100.00%,$0.00,-100.00%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.23,25.09%,,,,$14.06,-1.19%,$0.00,-100.00%,$0.00,-100.00%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$12.81,-40.24%,,,,$12.62,-1.48%,$0.00,-100.00%,$0.00,-100.00%,AG,NYSE:AG
NYSE:AGI,24 Oct 2025,$19.15,2,,,2,$31.14,-38.50%,-38.50%,$19.15,$19.15,$32.24,3.53%,$0.00,-100.00%,$0.00,-100.00%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,,$156.33,47.34%,,,,$164.15,5.00%,$0.00,-100.00%,$0.00,-100.00%,AGM,NYSE:AGM
