Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$40.03,2.04%,,,,$35.25,-11.94%,$17.04,-57.44%,$51.20,27.90%,AA,NYSE:AA,-0.648
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.46,-7.50%,,,,$12.55,-6.76%,$5.63,-58.18%,$11.37,-15.51%,AAL,NASDAQ:AAL,-0.768
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$102.04,-35.56%,,,,$97.65,-4.30%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON,-0.357
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$73.91,-6.30%,,,,,-100.00%,-$2.00,-102.71%,-$2.00,-102.71%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,24 Oct 2025,$71.01,3,,,2.5,$73.91,-3.92%,-3.92%,$71.01,$71.01,$72.90,-1.37%,-$202.88,-374.50%,-$201.06,-372.04%,ABCB,NYSE:ABCB,-0.238
NYSE:ABEV,9 Nov 2025,$2.94,5,$2.81,6,3.5,$2.53,11.07%,11.07%,$2.81,$2.94,$2.43,-3.95%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV,-0.265
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$42.29,31.90%,,,,$43.11,1.94%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,0.145
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.46,110.78%,,,,$3.41,-1.45%,$35.77,933.90%,$50.70,1365.20%,ACCO,NYSE:ACCO,-0.461
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.31,25.19%,,,,$10.01,-2.91%,$18.29,77.37%,$27.73,168.95%,ACEL,NYSE:ACEL,-0.558
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$91.78,5.98%,,,,$86.72,-5.51%,$387.17,321.84%,$388.21,322.97%,ACGL,NASDAQ:ACGL,-0.719
