Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$38.72,5.49%,,,,$39.65,2.40%,$16.08,-58.48%,$50.28,29.87%,AA,NYSE:AA,0.196
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.10,-4.95%,,,,$12.36,-5.65%,$4.99,-61.88%,$10.73,-18.06%,AAL,NASDAQ:AAL,-0.383
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$93.60,-29.75%,,,,$91.14,-2.63%,$103.94,11.04%,$112.29,19.97%,AAON,NASDAQ:AAON,-0.147
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$74.25,-6.73%,,,,,-100.00%,-$2.00,-102.69%,-$2.00,-102.69%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,3,$74.25,-1.10%,-1.10%,$73.43,$73.43,$76.49,3.02%,-$148.17,-299.55%,-$138.47,-286.50%,ABCB,NYSE:ABCB,0.197
NYSE:ABEV,9 Nov 2025,$2.94,5,$2.81,6,#ERROR!,$2.52,11.51%,11.51%,$2.81,$2.94,$2.50,-0.79%,$6.50,157.80%,$7.73,206.91%,ABEV,NYSE:ABEV,-0.302
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$42.02,32.75%,,,,$43.43,3.36%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,0.035
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.35,117.70%,,,,$3.47,3.58%,$35.75,967.29%,$50.71,1413.60%,ACCO,NYSE:ACCO,0.089
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$9.80,31.70%,,,,$9.70,-1.02%,$18.16,85.27%,$27.61,181.71%,ACEL,NYSE:ACEL,-0.573
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$91.94,5.80%,,,,$92.29,0.38%,$361.22,292.89%,$370.86,303.38%,ACGL,NASDAQ:ACGL,-0.111
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$7.44,17.47%,,,,$7.68,3.23%,$6.18,-17.00%,$6.22,-16.41%,ACHR,NYSE:ACHR,0.417
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$243.62,8.40%,,,,$255.35,4.81%,$562.56,130.92%,$615.97,152.84%,ACN,NYSE:ACN,0.033
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$7.12,50.59%,,,,$6.64,-6.74%,$9.57,34.41%,$6.40,-10.05%,ACVA,NYSE:ACVA,-0.583
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$74.33,6.63%,,,,$74.70,0.50%,$91.07,22.53%,$134.72,81.24%,ADC,NYSE:ADC,-0.121
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.32,60.31%,,,,,-100.00%,-$2.00,-725.00%,-$2.00,-725.00%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$7.35,3.27%,,,,$7.60,3.40%,$3.27,-55.47%,$26.17,256.07%,ADTN,NASDAQ:ADTN,0.219
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$166.20,-52.18%,,,,$170.17,2.39%,$303.94,82.87%,$364.78,119.48%,AEM,NYSE:AEM,0.236
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$122.04,-14.20%,,,,$120.11,-1.58%,$2.52,-97.94%,$122.02,-0.01%,AEP,NASDAQ:AEP,-0.339
