Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$36.13,13.06%,,,,$36.42,0.80%,$16.42,-54.55%,$50.53,39.87%,AA,NYSE:AA,-0.303
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.33,0.98%,,,,$12.24,-0.73%,$4.17,-66.22%,$9.91,-19.62%,AAL,NASDAQ:AAL,-0.211
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$89.14,-26.24%,,,,$91.19,2.30%,$104.20,16.90%,$112.52,26.23%,AAON,NASDAQ:AAON,-0.133
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$72.19,-4.07%,,,,,-100.00%,-$2.00,-102.77%,-$2.00,-102.77%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,3.5,$72.19,1.72%,1.72%,$73.43,$73.43,$75.16,4.11%,-$150.82,-308.92%,-$141.16,-295.54%,ABCB,NYSE:ABCB,0.688
NYSE:ABEV,9 Nov 2025,$2.94,5,$2.81,6,3.5,$2.44,15.16%,15.16%,$2.81,$2.94,$2.48,1.64%,$6.47,165.25%,$7.71,215.81%,ABEV,NYSE:ABEV,-0.158
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$40.96,36.18%,,,,$40.57,-0.95%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.023
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.31,120.33%,,,,$3.30,-0.30%,$35.54,973.78%,$50.44,1423.76%,ACCO,NYSE:ACCO,-0.405
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$9.56,35.01%,,,,$9.74,1.88%,$17.90,87.29%,$27.34,185.95%,ACEL,NYSE:ACEL,-0.421
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$91.37,6.46%,,,,$93.60,2.44%,$358.27,292.11%,$367.87,302.62%,ACGL,NASDAQ:ACGL,0.062
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$6.96,25.57%,,,,$8.04,15.52%,$6.47,-7.10%,$6.51,-6.48%,ACHR,NYSE:ACHR,0.409
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$240.87,9.64%,,,,$248.62,3.22%,$550.67,128.62%,$603.91,150.72%,ACN,NYSE:ACN,0.078
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$6.54,63.94%,,,,$6.39,-2.29%,$9.23,41.20%,$6.27,-4.14%,ACVA,NYSE:ACVA,-0.380
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$73.23,8.24%,,,,$75.64,3.29%,$89.45,22.15%,$132.92,81.51%,ADC,NYSE:ADC,0.181
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.31,65.48%,,,,,-100.00%,-$2.00,-745.16%,-$2.00,-745.16%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$7.53,0.80%,,,,$7.71,2.39%,$3.48,-53.81%,$26.29,249.13%,ADTN,NASDAQ:ADTN,0.364
NYSE:AEM,24 Oct 2025,$79.48,1,,,2,$159.90,-50.29%,-50.29%,$79.48,$79.48,$177.23,10.84%,$310.95,94.47%,$371.56,132.37%,AEM,NYSE:AEM,0.377
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$121.02,-13.48%,,,,$122.38,1.12%,$3.23,-97.33%,$122.27,1.04%,AEP,NASDAQ:AEP,-0.168
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.54,-0.55%,,,,$13.89,2.58%,-$54.57,-503.00%,-$50.14,-470.30%,AES,NYSE:AES,-0.008
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.57,22.17%,,,,$15.28,4.87%,$118.12,710.73%,$145.12,896.01%,AFYA,NASDAQ:AFYA,0.370
NYSE:AG,12 Aug 2025,$7.66,3,,,,$10.98,-30.28%,,,,$12.64,15.12%,$13.57,23.60%,$19.52,77.77%,AG,NYSE:AG,0.146
NYSE:AGI,24 Oct 2025,$19.15,2,,,2.5,$32.49,-41.06%,-41.06%,$19.15,$19.15,$36.04,10.93%,$50.18,54.43%,$59.42,82.87%,AGI,NYSE:AGI,0.397
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,3,$166.45,7.99%,7.99%,$179.75,$219.00,$164.29,-1.30%,"-$2,527.03",-1618.19%,"-$2,594.44",-1658.69%,AGM,NYSE:AGM,-0.074
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,3.5,$10.10,0.79%,0.79%,$10.18,$11.15,$10.09,-0.10%,-$73.65,-829.20%,-$67.95,-772.73%,AGNC,NASDAQ:AGNC,-0.338
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$87.85,14.09%,,,,$90.85,3.41%,$27.90,-68.24%,$27.96,-68.17%,AGO,NYSE:AGO,0.032
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$7.84,19.90%,,,,$7.70,-1.79%,$36.23,362.12%,$17.92,128.57%,AGRO,NYSE:AGRO,-0.535
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$75.59,12.13%,,,,$75.74,0.20%,-$59.75,-179.05%,$5.84,-92.28%,AIG,NYSE:AIG,-0.208
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$43.22,54.56%,,,,$41.50,-3.98%,$59.63,37.97%,$101.73,135.38%,AIN,NYSE:AIN,-0.326
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$3.94,26.90%,,,,$4.21,6.85%,$4.92,24.81%,$4.59,16.50%,AIRS,NASDAQ:AIRS,0.286
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$224.46,-1.18%,,,,$229.98,2.46%,$460.83,105.31%,$549.49,144.81%,AIZ,NYSE:AIZ,0.040
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.80,-21.83%,,,,$64.21,0.64%,-$213.34,-434.39%,-$84.64,-232.67%,AL,NYSE:AL,-0.242
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$74.88,8.77%,,,,$77.27,3.19%,$133.76,78.64%,$182.12,143.21%,ALC,NYSE:ALC,0.145
NYSE:ALEX,18 Nov 2025,$16.62,4,$21.00,5,3.25,$15.38,8.04%,8.04%,$16.62,$21.00,$16.05,4.36%,$20.96,36.31%,$14.68,-4.55%,ALEX,NYSE:ALEX,0.232
NYSE:ALIT,10 Sep 2025,$6.24,3,$6.75,4,,$1.98,215.20%,,,,$2.07,4.55%,$0.74,-62.75%,$11.46,478.63%,ALIT,NYSE:ALIT,0.296
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$210.55,-13.21%,,,,$216.93,3.03%,$697.19,231.13%,$814.92,287.04%,ALL,NYSE:ALL,0.182
NYSE:ALLE,24 Oct 2025,$165.38,3,,,3.25,$160.18,3.25%,3.25%,$165.38,$165.38,$166.31,3.83%,$304.97,90.39%,$335.19,109.26%,ALLE,NYSE:ALLE,0.466
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$37.85,9.72%,,,,$38.21,0.95%,-$451.39,-1292.58%,-$485.92,-1383.81%,ALLY,NYSE:ALLY,-0.003
NASDAQ:ALRS,27 Oct 2025,$24.54,3,$25.63,7,3.5,$21.21,15.69%,15.69%,$24.54,$25.63,$22.19,4.62%,-$90.99,-529.02%,-$78.60,-470.56%,ALRS,NASDAQ:ALRS,0.718
NYSE:ALSN,22 Sep 2025,$99.81,4,$98.14,3,,$81.17,20.91%,,,,$80.08,-1.34%,$206.22,154.06%,$234.47,188.87%,ALSN,NYSE:ALSN,-0.315
NASDAQ:ALT,28 Oct 2025,$3.47,3,$19.75,5,2.75,$4.47,-22.43%,-22.43%,$3.47,$19.75,$4.58,2.46%,$3.03,-32.11%,$3.05,-31.78%,ALT,NASDAQ:ALT,-0.011
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,,$1.66,221.08%,,,,$2.00,20.48%,$0.00,-100.00%,$0.00,-100.00%,ALTS,NASDAQ:ALTS,0.304
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,,$5.19,66.90%,,,,$5.35,3.08%,$6.17,18.92%,$8.05,55.11%,ALVO,NASDAQ:ALVO,0.151
NASDAQ:AMAL,2 Oct 2025,$30.65,3,,1,,$27.63,10.93%,,,,$28.70,3.87%,-$141.43,-611.85%,-$140.55,-608.67%,AMAL,NASDAQ:AMAL,0.443
NYSE:AMBC,3 Sep 2025,$10.68,3,,2,,$9.03,18.28%,,,,$8.94,-1.00%,$190.25,2006.82%,$199.41,2108.31%,AMBC,NYSE:AMBC,-0.194
NYSE:AMBP,29 Aug 2025,$5.14,4,,6,,$3.74,37.41%,,,,$3.69,-1.34%,$2.06,-44.98%,$10.01,167.73%,AMBP,NYSE:AMBP,-0.411
NYSE:AMCR,20 Nov 2025,$11.20,3,$10.36,8,3,$8.40,23.33%,23.33%,$10.36,$11.20,$8.33,-0.83%,$4.47,-46.79%,$1.37,-83.72%,AMCR,NYSE:AMCR,-0.512
NYSE:AMPY,26 Aug 2025,$6.99,3,,,,$5.31,31.71%,,,,$5.39,1.51%,$20.99,295.24%,$23.86,349.43%,AMPY,NYSE:AMPY,0.005
NASDAQ:AMRK,30 Aug 2025,$28.71,3,,2,,$26.44,8.58%,,,,$27.08,2.42%,$194.00,633.73%,$205.22,676.16%,AMRK,NASDAQ:AMRK,0.455
NASDAQ:AMSC,29 Oct 2025,$40.66,2,,,2.25,$30.30,34.19%,34.19%,$40.66,$40.66,$33.24,9.70%,$39.06,28.90%,$41.00,35.31%,AMSC,NASDAQ:AMSC,0.146
NASDAQ:AMSF,26 Aug 2025,$45.99,3,,,,$40.32,14.05%,,,,$40.42,0.25%,$30.53,-24.28%,$31.30,-22.36%,AMSF,NASDAQ:AMSF,-0.259
NYSE:AMTB,19 Nov 2025,$19.34,3,$21.00,4,3,$17.34,11.53%,11.53%,$19.34,$21.00,$17.94,3.46%,-$174.55,-1106.66%,-$173.05,-1097.98%,AMTB,NYSE:AMTB,0.661
NASDAQ:AMTX,4 Sep 2025,$3.19,3,,5,,$1.57,102.93%,,,,$1.80,14.65%,$1.83,16.47%,-$6.93,-541.51%,AMTX,NASDAQ:AMTX,0.429
NASDAQ:AMWD,30 Aug 2025,$86.63,3,,6,,$48.01,80.45%,,,,$47.80,-0.44%,$0.00,-100.00%,$0.00,-100.00%,AMWD,NASDAQ:AMWD,-0.041
NYSE:AMX,15 May 2025,$18.21,3,,3,,$23.02,-20.89%,,,,$23.26,1.04%,$73.41,218.89%,$151.82,559.50%,AMX,NYSE:AMX,-0.247
NYSE:ANF,21 Sep 2025,$118.40,3,,1,,$67.62,75.10%,,,,$69.06,2.13%,$0.00,-100.00%,$0.00,-100.00%,ANF,NYSE:ANF,-0.351
NYSE:AON,29 Aug 2025,$347.01,2,,,,$344.44,0.75%,,,,$359.74,4.44%,$336.82,-2.21%,$377.88,9.71%,AON,NYSE:AON,0.405
NYSE:AOS,11 Nov 2025,$71.50,4,$78.75,7,3.5,$63.24,13.07%,13.07%,$71.50,$78.75,$65.23,3.15%,$151.01,138.79%,$160.51,153.81%,AOS,NYSE:AOS,0.140
NASDAQ:APA,12 Aug 2025,$28.49,3,,7,,$23.77,19.84%,,,,$24.72,4.00%,$68.45,187.98%,$82.50,247.07%,APA,NASDAQ:APA,0.118
NYSE:APD,30 Aug 2025,$296.29,3,,8,,$254.38,16.48%,,,,$259.82,2.14%,$123.70,-51.37%,$171.68,-32.51%,APD,NYSE:APD,0.289
NASDAQ:APEI,15 Oct 2025,$34.52,3,,,,$36.29,-4.88%,,,,$37.70,3.89%,$79.56,119.22%,$92.50,154.89%,APEI,NASDAQ:APEI,0.919
NYSE:APH,16 Sep 2023,$81.57,2,,,,$132.90,-38.63%,,,,$139.74,5.15%,$195.27,46.93%,$208.11,56.59%,APH,NYSE:APH,0.223
NASDAQ:API,24 Aug 2025,$3.05,3,,,,$3.67,-17.03%,,,,$3.41,-7.08%,$0.00,-100.00%,$0.00,-100.00%,API,NASDAQ:API,0.075
NASDAQ:APOG,5 May 2025,$66.39,5,,2,,$34.09,94.75%,,,,$33.60,-1.44%,$94.12,176.09%,$117.28,244.03%,APOG,NASDAQ:APOG,-0.145
NYSE:AQN,26 Aug 2025,$6.14,4,,8,,$5.93,3.60%,,,,$6.17,4.05%,-$4.39,-174.02%,-$2.34,-139.44%,AQN,NYSE:AQN,0.081
NYSE:AR,20 Aug 2025,$31.31,3,,,,$34.12,-8.24%,,,,$34.51,1.14%,$52.25,53.14%,$78.39,129.74%,AR,NYSE:AR,-0.147
NYSE:ARCO,29 Aug 2025,$10.31,3,,9,,$7.21,42.95%,,,,$7.51,4.16%,$1.39,-80.75%,$28.93,301.19%,ARCO,NYSE:ARCO,0.265
NASDAQ:ARHS,7 Jul 2025,$13.03,3,,4,,$9.11,43.00%,,,,$9.06,-0.55%,$14.46,58.70%,$30.91,239.28%,ARHS,NASDAQ:ARHS,0.066
NASDAQ:ARKO,26 Aug 2025,$6.50,3,,,,$4.13,57.50%,,,,$4.31,4.36%,-$13.28,-421.64%,-$1.19,-128.89%,ARKO,NASDAQ:ARKO,0.243
NASDAQ:AROW,2 Oct 2025,$52.81,3,$48.67,4,,$29.37,65.71%,,,,$30.25,3.00%,-$167.97,-671.89%,-$164.19,-659.05%,AROW,NASDAQ:AROW,0.213
NYSE:ASB,10 Apr 2025,$23.54,5,,6,,$24.70,-4.70%,,,,$25.79,4.41%,-$171.57,-794.61%,-$165.25,-769.03%,ASB,NYSE:ASB,0.661
NYSE:ASH,14 May 2025,$83.18,3,,4,,$48.40,71.87%,,,,$51.34,6.07%,$86.02,77.73%,$175.37,262.33%,ASH,NYSE:ASH,0.350
