Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$41.78,-2.23%,,,,$40.50,-3.06%,$19.02,-54.47%,$53.42,27.85%,AA,NYSE:AA,0.122
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.96,-10.81%,,,,$12.77,-8.52%,$5.81,-58.41%,$11.53,-17.37%,AAL,NASDAQ:AAL,-0.515
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$94.58,-30.48%,,,,$92.44,-2.26%,$106.75,12.86%,$115.16,21.76%,AAON,NASDAQ:AAON,-0.239
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$76.53,-9.51%,,,,,-100.00%,-$2.00,-102.61%,-$2.00,-102.61%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,3,$76.53,-4.05%,-4.05%,$73.43,$73.43,$78.62,2.73%,-$145.34,-289.91%,-$135.58,-277.15%,ABCB,NYSE:ABCB,0.131
NYSE:ABEV,9 Nov 2025,$2.94,5,$2.81,6,3.5,$2.51,11.95%,11.95%,$2.81,$2.94,$2.52,0.40%,$6.56,161.20%,$7.80,210.82%,ABEV,NYSE:ABEV,-0.282
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$43.28,28.88%,,,,$42.66,-1.43%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.146
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.43,112.62%,,,,$3.51,2.33%,$36.29,958.13%,$51.36,1397.38%,ACCO,NYSE:ACCO,0.026
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.20,26.54%,,,,$9.65,-5.39%,$18.01,76.57%,$27.50,169.60%,ACEL,NYSE:ACEL,-0.665
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$94.16,3.31%,,,,$92.05,-2.24%,$364.07,286.65%,$373.78,296.97%,ACGL,NASDAQ:ACGL,-0.198
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$7.56,15.61%,,,,$7.62,0.79%,$6.37,-15.68%,$6.42,-15.11%,ACHR,NYSE:ACHR,0.128
