Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$37.32,9.45%,,,,$35.26,-5.52%,$16.93,-54.65%,$50.81,36.15%,AA,NYSE:AA,-0.641
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.65,-8.78%,,,,$12.56,-7.99%,$4.77,-65.04%,$10.53,-22.85%,AAL,NASDAQ:AAL,-0.759
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$105.53,-37.70%,,,,$97.86,-7.27%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON,-0.293
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,2.25,$73.68,-6.01%,-6.01%,$69.25,$77.00,,-100.00%,-$2.00,-102.71%,-$2.00,-102.71%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,24 Oct 2025,$71.01,3,,,2.75,$73.68,-3.62%,-3.62%,$71.01,$71.01,$73.22,-0.62%,-$203.24,-375.84%,-$201.42,-373.38%,ABCB,NYSE:ABCB,-0.092
NYSE:ABEV,26 Oct 2025,$2.79,5,$2.90,6,3.5,$2.43,14.81%,14.81%,$2.79,$2.90,$2.43,0.00%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV,-0.278
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$41.95,32.97%,,,,$42.17,0.52%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.107
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.44,112.01%,,,,$3.42,-0.58%,$35.17,922.47%,$49.93,1351.38%,ACCO,NYSE:ACCO,-0.411
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.18,26.79%,,,,$10.03,-1.47%,$18.15,78.31%,$27.43,169.46%,ACEL,NYSE:ACEL,-0.541
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$89.57,8.60%,,,,$86.89,-2.99%,$382.30,326.82%,$383.34,327.98%,ACGL,NASDAQ:ACGL,-0.686
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.18,6.85%,,,,$9.69,18.46%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR,0.158
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$245.76,7.46%,,,,$251.08,2.16%,$552.53,124.82%,$605.35,146.32%,ACN,NYSE:ACN,0.111
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$5.40,98.56%,,,,$5.00,-7.41%,$4.28,-20.82%,$6.67,23.54%,ACVA,NYSE:ACVA,-0.798
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$73.41,7.97%,,,,$72.99,-0.57%,$88.76,20.90%,$131.81,79.55%,ADC,NYSE:ADC,-0.403
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.33,55.45%,,,,,-100.00%,-$2.00,-706.06%,-$2.00,-706.06%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$7.97,-4.77%,,,,$8.40,5.40%,$3.95,-50.38%,$26.56,233.25%,ADTN,NASDAQ:ADTN,0.610
NYSE:AEM,24 Oct 2025,$79.48,1,,,1.25,$161.41,-50.76%,-50.76%,$79.48,$79.48,$157.32,-2.53%,$303.09,87.78%,$363.12,124.97%,AEM,NYSE:AEM,-0.464
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$121.43,-13.77%,,,,$116.78,-3.83%,$2.81,-97.69%,$120.47,-0.79%,AEP,NASDAQ:AEP,-0.877
