Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$36.34,12.40%,,,,$36.42,0.22%,$16.40,-54.87%,$50.47,38.88%,AA,NYSE:AA,-0.303
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.87,-3.26%,,,,$12.24,-4.90%,$4.02,-68.75%,$9.77,-24.08%,AAL,NASDAQ:AAL,-0.211
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$91.52,-28.16%,,,,$91.19,-0.36%,$104.16,13.81%,$112.46,22.88%,AAON,NASDAQ:AAON,-0.133
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$74.19,-6.66%,,,,,-100.00%,-$2.00,-102.70%,-$2.00,-102.70%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,3.5,$74.19,-1.02%,-1.02%,$73.43,$73.43,$75.16,1.31%,-$151.01,-303.54%,-$141.37,-290.55%,ABCB,NYSE:ABCB,0.688
NYSE:ABEV,9 Nov 2025,$2.94,5,$2.81,6,3.5,$2.48,13.31%,13.31%,$2.81,$2.94,$2.48,0.00%,$6.46,160.68%,$7.70,210.34%,ABEV,NYSE:ABEV,-0.158
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$42.20,32.18%,,,,$40.57,-3.86%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.023
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.32,119.67%,,,,$3.30,-0.60%,$35.44,967.51%,$50.31,1415.29%,ACCO,NYSE:ACCO,-0.405
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.01,28.94%,,,,$9.74,-2.70%,$17.89,78.71%,$27.31,172.84%,ACEL,NYSE:ACEL,-0.421
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$92.46,5.21%,,,,$93.60,1.23%,$357.44,286.59%,$367.03,296.96%,ACGL,NASDAQ:ACGL,0.062
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$7.18,21.73%,,,,$8.04,11.98%,$6.47,-9.94%,$6.51,-9.34%,ACHR,NYSE:ACHR,0.409
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$251.85,4.86%,,,,$248.62,-1.28%,$550.11,118.43%,$603.27,139.53%,ACN,NYSE:ACN,0.078
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$6.75,58.84%,,,,$6.39,-5.33%,$9.23,36.71%,$6.27,-7.15%,ACVA,NYSE:ACVA,-0.380
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$74.53,6.35%,,,,$75.64,1.49%,$89.28,19.79%,$132.67,78.00%,ADC,NYSE:ADC,0.181
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.30,71.00%,,,,,-100.00%,-$2.00,-766.67%,-$2.00,-766.67%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$7.25,4.69%,,,,$7.71,6.34%,$3.47,-52.13%,$26.24,261.92%,ADTN,NASDAQ:ADTN,0.364
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$160.00,-50.33%,,,,$177.23,10.77%,$310.63,94.14%,$371.12,131.95%,AEM,NYSE:AEM,0.377
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$120.84,-13.35%,,,,$122.38,1.27%,$3.15,-97.40%,$121.97,0.93%,AEP,NASDAQ:AEP,-0.168
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.75,-2.07%,,,,$13.89,1.02%,-$54.56,-496.84%,-$50.14,-464.63%,AES,NYSE:AES,-0.008
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.88,19.62%,,,,$15.28,2.69%,$117.89,692.25%,$144.83,873.32%,AFYA,NASDAQ:AFYA,0.370
NYSE:AG,12 Aug 2025,$7.66,3,,,,$11.12,-31.16%,,,,$12.64,13.67%,$13.57,21.99%,$19.50,75.40%,AG,NYSE:AG,0.146
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$32.63,-41.31%,,,,$36.04,10.45%,$50.13,53.64%,$59.36,81.91%,AGI,NYSE:AGI,0.397
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,3,$164.70,9.14%,9.14%,$179.75,$219.00,$164.29,-0.25%,"-$2,528.12",-1634.99%,"-$2,595.36",-1675.81%,AGM,NYSE:AGM,-0.074
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,3.5,$10.28,-0.97%,-0.97%,$10.18,$11.15,$10.09,-1.85%,-$73.66,-816.53%,-$67.96,-761.13%,AGNC,NASDAQ:AGNC,-0.338
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$89.79,11.62%,,,,$90.85,1.18%,$27.73,-69.11%,$27.80,-69.04%,AGO,NYSE:AGO,0.032
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$7.64,23.04%,,,,$7.70,0.79%,$36.18,373.62%,$17.90,134.35%,AGRO,NYSE:AGRO,-0.535
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$75.96,11.59%,,,,$75.74,-0.29%,-$59.85,-178.79%,$5.68,-92.52%,AIG,NYSE:AIG,-0.208
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$45.41,47.10%,,,,$41.50,-8.61%,$59.56,31.17%,$101.61,123.75%,AIN,NYSE:AIN,-0.326
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$3.66,36.61%,,,,$4.21,15.03%,$4.91,34.29%,$4.59,25.36%,AIRS,NASDAQ:AIRS,0.286
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$226.82,-2.20%,,,,$229.98,1.39%,$459.62,102.64%,$548.11,141.65%,AIZ,NYSE:AIZ,0.040
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.80,-21.83%,,,,$64.21,0.64%,-$213.34,-434.38%,-$84.81,-232.93%,AL,NYSE:AL,-0.242
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$76.61,6.32%,,,,$77.27,0.86%,$133.61,74.41%,$181.87,137.40%,ALC,NYSE:ALC,0.145
NYSE:ALEX,18 Nov 2025,$16.62,4,$21.00,5,3.25,$15.66,6.11%,6.11%,$16.62,$21.00,$16.05,2.49%,$20.94,33.69%,$14.67,-6.33%,ALEX,NYSE:ALEX,0.232
NYSE:ALIT,10 Sep 2025,$6.24,3,$6.75,4,,$1.98,215.20%,,,,$2.07,4.55%,$0.73,-63.11%,$11.44,477.54%,ALIT,NYSE:ALIT,0.296
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$214.32,-14.74%,,,,$216.93,1.22%,$695.49,224.51%,$812.98,279.33%,ALL,NYSE:ALL,0.182
NYSE:ALLE,24 Oct 2025,$165.38,3,,,,$162.87,1.54%,,,,$166.31,2.11%,$304.61,87.03%,$334.78,105.55%,ALLE,NYSE:ALLE,0.466
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$38.48,7.93%,,,,$38.21,-0.70%,-$451.45,-1273.21%,-$485.93,-1362.82%,ALLY,NYSE:ALLY,-0.003
NASDAQ:ALRS,27 Oct 2025,$24.54,3,$25.63,7,3.5,$21.73,12.92%,12.92%,$24.54,$25.63,$22.19,2.12%,-$91.14,-519.44%,-$78.77,-462.50%,ALRS,NASDAQ:ALRS,0.718
NYSE:ALSN,22 Sep 2025,$99.81,4,$98.14,3,,$84.32,16.39%,,,,$80.08,-5.03%,$205.91,144.20%,$234.11,177.65%,ALSN,NYSE:ALSN,-0.315
NASDAQ:ALT,28 Oct 2025,$3.47,3,$19.75,5,2.75,$4.81,-27.91%,-27.91%,$3.47,$19.75,$4.58,-4.78%,$3.03,-36.90%,$3.05,-36.60%,ALT,NASDAQ:ALT,-0.011
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,,$1.71,211.70%,,,,$2.00,16.96%,$0.00,-100.00%,$0.00,-100.00%,ALTS,NASDAQ:ALTS,0.304
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,,$5.14,68.52%,,,,$5.35,4.09%,$6.16,19.76%,$8.03,56.24%,ALVO,NASDAQ:ALVO,0.151
NASDAQ:AMAL,2 Oct 2025,$30.65,3,,1,,$28.81,6.39%,,,,$28.70,-0.38%,-$141.60,-591.50%,-$140.72,-588.45%,AMAL,NASDAQ:AMAL,0.443
NYSE:AMBC,3 Sep 2025,$10.68,3,,2,,#N/A,#N/A,,,,$8.94,#N/A,$189.96,#N/A,$199.12,#N/A,AMBC,NYSE:AMBC,-0.194
NYSE:AMBP,29 Aug 2025,$5.14,4,,6,,$3.76,36.68%,,,,$3.69,-1.86%,$2.05,-45.50%,$10.00,165.88%,AMBP,NYSE:AMBP,-0.411
NYSE:AMCR,20 Nov 2025,$11.20,3,$10.36,8,3,$8.50,21.88%,21.88%,$10.36,$11.20,$8.33,-2.00%,$4.46,-47.50%,$1.36,-83.94%,AMCR,NYSE:AMCR,-0.512
NYSE:AMPY,26 Aug 2025,$6.99,3,,,,$5.32,31.46%,,,,$5.39,1.32%,$20.95,293.82%,$23.83,347.86%,AMPY,NYSE:AMPY,0.005
NASDAQ:AMRK,30 Aug 2025,$28.71,3,,2,,$26.44,8.58%,,,,$27.08,2.42%,$193.70,632.59%,$204.90,674.98%,AMRK,NASDAQ:AMRK,0.455
NASDAQ:AMSC,29 Oct 2025,$40.66,2,,,2.25,$30.38,33.84%,33.84%,$40.66,$40.66,$33.24,9.41%,$39.05,28.53%,$40.99,34.91%,AMSC,NASDAQ:AMSC,0.146
NASDAQ:AMSF,26 Aug 2025,$45.99,3,,,,$40.67,13.07%,,,,$40.42,-0.61%,$30.46,-25.10%,$31.23,-23.21%,AMSF,NASDAQ:AMSF,-0.259
NYSE:AMTB,19 Nov 2025,$19.34,3,$21.00,4,3,$18.03,7.27%,7.27%,$19.34,$21.00,$17.94,-0.50%,-$174.57,-1068.24%,-$173.07,-1059.91%,AMTB,NYSE:AMTB,0.661
NASDAQ:AMTX,4 Sep 2025,$3.19,3,,5,,$1.60,99.13%,,,,$1.80,12.50%,$1.82,13.51%,-$6.93,-533.28%,AMTX,NASDAQ:AMTX,0.429
NASDAQ:AMWD,30 Aug 2025,$86.63,3,,6,,$51.10,69.54%,,,,$47.80,-6.46%,$0.00,-100.00%,$0.00,-100.00%,AMWD,NASDAQ:AMWD,-0.041
NYSE:AMX,15 May 2025,$18.21,3,,3,,$22.88,-20.41%,,,,$23.26,1.66%,$73.29,220.31%,$151.58,562.50%,AMX,NYSE:AMX,-0.247
NYSE:ANF,21 Sep 2025,$118.40,3,,1,,$69.87,69.46%,,,,$69.06,-1.16%,$0.00,-100.00%,$0.00,-100.00%,ANF,NYSE:ANF,-0.351
NYSE:AON,29 Aug 2025,$347.01,2,,,,$346.51,0.14%,,,,$359.74,3.82%,$336.63,-2.85%,$377.64,8.98%,AON,NYSE:AON,0.405
NYSE:AOS,11 Nov 2025,$71.50,4,$78.75,7,3.5,$65.10,9.84%,9.84%,$71.50,$78.75,$65.23,0.20%,$150.88,131.76%,$160.37,146.34%,AOS,NYSE:AOS,0.140
NASDAQ:APA,12 Aug 2025,$28.49,3,,7,,$23.95,18.94%,,,,$24.72,3.22%,$68.37,185.48%,$82.42,244.12%,APA,NASDAQ:APA,0.118
NYSE:APD,30 Aug 2025,$296.29,3,,8,,$257.37,15.12%,,,,$259.82,0.95%,$123.71,-51.93%,$171.63,-33.31%,APD,NYSE:APD,0.289
NASDAQ:APEI,15 Oct 2025,$34.52,3,,,,$34.80,-0.80%,,,,$37.70,8.33%,$79.48,128.40%,$92.41,165.55%,APEI,NASDAQ:APEI,0.919
NYSE:APH,16 Sep 2023,$81.57,2,,,,$131.60,-38.02%,,,,$139.74,6.19%,$195.14,48.28%,$207.95,58.01%,APH,NYSE:APH,0.223
NASDAQ:API,24 Aug 2025,$3.05,3,,,,$3.56,-14.47%,,,,$3.41,-4.21%,$0.00,-100.00%,$0.00,-100.00%,API,NASDAQ:API,0.075
NASDAQ:APOG,5 May 2025,$66.39,5,,2,,$35.30,88.07%,,,,$33.60,-4.82%,$94.02,166.36%,$117.16,231.91%,APOG,NASDAQ:APOG,-0.145
NYSE:AQN,26 Aug 2025,$6.14,4,,8,,$5.96,3.08%,,,,$6.17,3.52%,-$4.39,-173.70%,-$2.34,-139.31%,AQN,NYSE:AQN,0.081
NYSE:AR,20 Aug 2025,$31.31,3,,,,$33.55,-6.69%,,,,$34.51,2.86%,$52.22,55.64%,$78.33,133.47%,AR,NYSE:AR,-0.147
NYSE:ARCO,29 Aug 2025,$10.31,3,,9,,$7.22,42.76%,,,,$7.51,4.02%,$1.36,-81.21%,$28.84,299.45%,ARCO,NYSE:ARCO,0.265
NASDAQ:ARHS,7 Jul 2025,$13.03,3,,4,,$9.38,38.88%,,,,$9.06,-3.41%,$14.44,53.91%,$30.87,229.12%,ARHS,NASDAQ:ARHS,0.066
NASDAQ:ARKO,26 Aug 2025,$6.50,3,,,,$4.45,46.17%,,,,$4.31,-3.15%,-$13.29,-398.70%,-$1.21,-127.27%,ARKO,NASDAQ:ARKO,0.243
NASDAQ:AROW,2 Oct 2025,$52.81,3,$48.67,4,,$30.32,60.52%,,,,$30.25,-0.23%,-$168.00,-654.09%,-$164.23,-641.65%,AROW,NASDAQ:AROW,0.213
NYSE:ASB,10 Apr 2025,$23.54,5,,6,,$25.63,-8.16%,,,,$25.79,0.62%,-$171.60,-769.54%,-$165.29,-744.92%,ASB,NYSE:ASB,0.661
NYSE:ASH,14 May 2025,$83.18,3,,4,,$50.37,65.14%,,,,$51.34,1.93%,$85.88,70.51%,$175.11,247.64%,ASH,NYSE:ASH,0.350
NASDAQ:ASML,30 Aug 2025,$871.20,3,,10,,$966.57,-9.87%,,,,"$1,066.85",10.37%,"$1,067.75",10.47%,"$1,126.01",16.50%,ASML,NASDAQ:ASML,0.203
NYSE:ASR,10 Jul 2025,$344.93,4,,7,,$298.26,15.65%,,,,$307.86,3.22%,$328.04,9.98%,$344.75,15.59%,ASR,NYSE:ASR,0.112
NYSE:ATGE,15 Oct 2025,$131.23,2,,,,$93.37,40.55%,,,,$101.60,8.81%,$277.40,197.10%,$319.90,242.61%,ATGE,NYSE:ATGE,0.834
NYSE:ATI,30 Aug 2025,$63.00,2,,7,,$96.47,-34.69%,,,,$102.31,6.05%,$156.87,62.61%,$179.32,85.88%,ATI,NYSE:ATI,0.049
