Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$36.62,11.54%,,,,$35.25,-3.74%,$17.04,-53.47%,$51.20,39.81%,AA,NYSE:AA,-0.648
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.77,-2.50%,,,,$12.55,-1.72%,$5.63,-55.92%,$11.37,-10.94%,AAL,NASDAQ:AAL,-0.768
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$91.17,-27.88%,,,,$97.65,7.11%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON,-0.357
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$72.52,-4.51%,,,,,-100.00%,-$2.00,-102.76%,-$2.00,-102.76%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,24 Oct 2025,$71.01,3,,,2.5,$72.52,-2.08%,-2.08%,$71.01,$71.01,$72.90,0.52%,-$202.88,-379.76%,-$201.06,-377.25%,ABCB,NYSE:ABCB,-0.238
NYSE:ABEV,9 Nov 2025,$2.94,5,$2.81,6,3.5,$2.55,10.20%,10.20%,$2.81,$2.94,$2.43,-4.71%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV,-0.265
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$41.77,33.54%,,,,$43.11,3.21%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,0.145
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.45,111.39%,,,,$3.41,-1.16%,$35.77,936.90%,$50.70,1369.45%,ACCO,NYSE:ACCO,-0.461
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.30,25.31%,,,,$10.01,-2.82%,$18.29,77.54%,$27.73,169.21%,ACEL,NYSE:ACEL,-0.558
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$93.20,4.37%,,,,$86.72,-6.95%,$387.17,315.42%,$388.21,316.53%,ACGL,NASDAQ:ACGL,-0.719
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$7.69,13.65%,,,,$8.40,9.23%,$7.18,-6.69%,$7.22,-6.13%,ACHR,NYSE:ACHR,0.223
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$248.10,6.44%,,,,$250.92,1.14%,$555.91,124.07%,$609.23,145.56%,ACN,NYSE:ACN,0.089
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$6.25,71.55%,,,,$5.03,-19.52%,$4.26,-31.91%,$6.67,6.67%,ACVA,NYSE:ACVA,-0.725
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$73.70,7.55%,,,,$72.46,-1.68%,$89.78,21.82%,$133.34,80.92%,ADC,NYSE:ADC,-0.585
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.33,55.45%,,,,,-100.00%,-$2.00,-706.06%,-$2.00,-706.06%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$7.45,1.88%,,,,$8.41,12.89%,$4.00,-46.33%,$26.86,260.54%,ADTN,NASDAQ:ADTN,0.624
NYSE:AEM,24 Oct 2025,$79.48,1,,,1,$162.27,-51.02%,-51.02%,$79.48,$79.48,$156.63,-3.48%,$305.02,87.97%,$365.74,125.39%,AEM,NYSE:AEM,-0.570
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$122.17,-14.29%,,,,$118.19,-3.26%,$3.29,-97.31%,$122.30,0.11%,AEP,NASDAQ:AEP,-0.750
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.39,0.56%,,,,$13.76,2.76%,-$54.22,-504.92%,-$49.79,-471.84%,AES,NYSE:AES,-0.371
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.77,20.51%,,,,$13.99,-5.28%,$0.00,-100.00%,$0.00,-100.00%,AFYA,NASDAQ:AFYA,-0.188
NYSE:AG,12 Aug 2025,$7.66,3,,,,$11.46,-33.20%,,,,$10.57,-7.77%,$13.15,14.73%,$19.11,66.71%,AG,NYSE:AG,-0.843
NYSE:AGI,24 Oct 2025,$19.15,2,,,1.75,$32.30,-40.71%,-40.71%,$19.15,$19.15,$30.34,-6.07%,$47.32,46.49%,$56.57,75.15%,AGI,NYSE:AGI,-0.417
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,3.75,$168.95,6.39%,6.39%,$179.75,$219.00,$249.27,47.54%,"-$2,525.60",-1594.88%,"-$2,593.19",-1634.88%,AGM,NYSE:AGM,1.000
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,3,$10.10,0.79%,0.79%,$10.18,$11.15,$9.95,-1.49%,-$73.38,-826.52%,-$67.67,-769.96%,AGNC,NASDAQ:AGNC,-0.841
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$87.66,14.33%,,,,$80.90,-7.71%,$28.72,-67.24%,$28.78,-67.17%,AGO,NYSE:AGO,-0.839
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$7.58,24.01%,,,,$7.91,4.35%,$0.00,-100.00%,$0.00,-100.00%,AGRO,NYSE:AGRO,-0.628
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$78.76,7.62%,,,,$75.95,-3.57%,-$58.48,-174.25%,$7.17,-90.89%,AIG,NYSE:AIG,-0.594
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$45.35,47.30%,,,,$47.45,4.63%,$66.15,45.87%,$106.82,135.54%,AIN,NYSE:AIN,-0.566
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$5.62,-11.03%,,,,$5.77,2.67%,$0.00,-100.00%,$0.00,-100.00%,AIRS,NASDAQ:AIRS,-0.298
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$230.70,-3.85%,,,,$214.24,-7.13%,$539.04,133.66%,$627.21,171.87%,AIZ,NYSE:AIZ,-0.661
