Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$35.74,14.29%,,,,$35.12,-1.73%,$15.39,-56.94%,$49.46,38.39%,AA,NYSE:AA,-0.557
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.42,-7.22%,,,,$12.44,-7.30%,$5.11,-61.91%,$10.86,-19.07%,AAL,NASDAQ:AAL,-0.861
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$93.46,-29.65%,,,,$89.95,-3.76%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON,-0.073
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,1.75,$73.14,-5.32%,-5.32%,$69.25,$77.00,,-100.00%,-$2.00,-102.73%,-$2.00,-102.73%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,24 Oct 2025,$71.01,3,,,2.75,$73.14,-2.91%,-2.91%,$71.01,$71.01,$72.97,-0.23%,$0.00,-100.00%,$0.00,-100.00%,ABCB,NYSE:ABCB,-0.044
NYSE:ABEV,26 Oct 2025,$2.79,5,$2.90,6,3.5,$2.42,15.29%,15.29%,$2.79,$2.90,$2.43,0.41%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV,-0.255
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$43.69,27.67%,,,,$43.45,-0.55%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.023
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.73,95.52%,,,,$3.58,-4.02%,$35.86,861.43%,$50.73,1259.99%,ACCO,NYSE:ACCO,-0.485
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.14,27.29%,,,,$9.99,-1.48%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL,-0.056
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$87.55,11.11%,,,,$86.98,-0.65%,$383.51,338.05%,$384.55,339.23%,ACGL,NASDAQ:ACGL,-0.597
