Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$36.79,11.03%,,,,$36.28,-1.39%,$16.51,-55.13%,$50.67,37.73%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.13,-5.17%,,,,$12.47,-5.03%,$5.11,-61.08%,$10.85,-17.35%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$98.39,-33.17%,,,,$96.38,-2.04%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,3,$71.62,-3.31%,-3.31%,$69.25,$77.00,,-100.00%,-$2.00,-102.79%,-$2.00,-102.79%,ABCB,NYSE:ABCB
NYSE:ABCB,24 Oct 2025,$71.01,3,,,3,$71.62,-0.85%,-0.85%,$71.01,$71.01,$73.19,2.19%,$0.00,-100.00%,$0.00,-100.00%,ABCB,NYSE:ABCB
NYSE:ABEV,26 Oct 2025,$2.79,5,$2.90,6,4,$2.31,20.78%,20.78%,$2.79,$2.90,$2.28,-1.30%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$43.00,29.72%,,,,$42.71,-0.67%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.76,93.96%,,,,$3.44,-8.51%,$36.09,859.95%,$51.02,1256.85%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.19,26.66%,,,,$10.38,1.86%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$86.31,12.70%,,,,$86.58,0.31%,$383.91,344.80%,$384.95,346.00%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$11.22,-22.10%,,,,$11.73,4.55%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$250.10,5.59%,,,,$249.11,-0.40%,$560.25,124.01%,$613.57,145.33%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$9.07,18.21%,,,,$8.77,-3.31%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$73.01,8.56%,,,,$74.62,2.21%,$89.38,22.42%,$132.94,82.08%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$10.42,-27.16%,,,,$10.30,-1.15%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN
NYSE:AEM,24 Oct 2025,$79.48,1,,,1,$160.81,-50.58%,-50.58%,$79.48,$79.48,$167.10,3.91%,$304.42,89.30%,$365.14,127.07%,AEM,NYSE:AEM
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$120.26,-12.93%,,,,$119.97,-0.24%,$2.04,-98.30%,$121.06,0.66%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.87,-2.92%,,,,$13.62,-1.80%,$0.00,-100.00%,$0.00,-100.00%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.17,25.62%,,,,$14.04,-0.92%,$0.00,-100.00%,$0.00,-100.00%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$12.77,-40.05%,,,,$12.65,-0.94%,$0.00,-100.00%,$0.00,-100.00%,AG,NYSE:AG
NYSE:AGI,24 Oct 2025,$19.15,2,,,2,$30.79,-37.80%,-37.80%,$19.15,$19.15,$32.19,4.55%,$47.12,53.03%,$56.37,83.09%,AGI,NYSE:AGI
NYSE:AGM,2 Nov 2025,$176.88,4,$217.00,5,3.25,$158.64,11.50%,11.50%,$176.88,$217.00,$238.13,50.11%,$0.00,-100.00%,$0.00,-100.00%,AGM,NYSE:AGM
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,4,$10.00,1.80%,1.80%,$10.18,$11.15,$15.04,50.40%,-$73.72,-837.20%,-$68.01,-780.08%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$80.58,24.38%,,,,$80.62,0.05%,$0.00,-100.00%,$0.00,-100.00%,AGO,NYSE:AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$8.06,16.63%,,,,$8.01,-0.62%,$0.00,-100.00%,$0.00,-100.00%,AGRO,NYSE:AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$78.96,7.35%,,,,$80.80,2.33%,$0.00,-100.00%,$0.00,-100.00%,AIG,NYSE:AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$56.58,18.06%,,,,$55.36,-2.16%,$0.00,-100.00%,$0.00,-100.00%,AIN,NYSE:AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$10.41,-51.97%,,,,$10.25,-1.54%,$0.00,-100.00%,$0.00,-100.00%,AIRS,NASDAQ:AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$211.72,4.77%,,,,$208.78,-1.39%,$0.00,-100.00%,$0.00,-100.00%,AIZ,NYSE:AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.86,-21.91%,,,,$64.19,0.52%,$0.00,-100.00%,$0.00,-100.00%,AL,NYSE:AL
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$73.89,10.23%,,,,$74.09,0.27%,$0.00,-100.00%,$0.00,-100.00%,ALC,NYSE:ALC
NYSE:ALEX,2 Oct 2025,$20.55,4,$21.83,8,,$15.97,28.65%,,,,$15.60,-2.32%,$21.54,34.88%,$18.45,15.50%,ALEX,NYSE:ALEX
NYSE:ALIT,10 Sep 2025,$6.24,3,$6.75,4,,$2.88,116.70%,,,,$2.96,2.78%,$0.00,-100.00%,$0.00,-100.00%,ALIT,NYSE:ALIT
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$191.52,-4.59%,,,,$191.41,-0.06%,$0.00,-100.00%,$0.00,-100.00%,ALL,NYSE:ALL
NYSE:ALLE,24 Oct 2025,$165.38,3,,,3,$165.77,-0.24%,-0.24%,$165.38,$165.38,$166.51,0.45%,$310.02,87.02%,$340.31,105.29%,ALLE,NYSE:ALLE
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$38.97,6.57%,,,,$38.99,0.05%,$0.00,-100.00%,$0.00,-100.00%,ALLY,NYSE:ALLY
NASDAQ:ALRS,27 Oct 2025,$24.54,3,$25.63,7,3.25,$21.12,16.18%,16.18%,$24.54,$25.63,$22.13,4.78%,$0.00,-100.00%,$0.00,-100.00%,ALRS,NASDAQ:ALRS
NYSE:ALSN,22 Sep 2025,$99.81,4,$98.14,3,,$82.55,18.89%,,,,$81.69,-1.04%,$197.88,139.71%,$201.80,144.46%,ALSN,NYSE:ALSN
NASDAQ:ALT,28 Oct 2025,$3.47,3,$19.75,5,2.75,$4.05,-14.38%,-14.38%,$3.47,$19.75,$6.38,57.53%,$0.00,-100.00%,$0.00,-100.00%,ALT,NASDAQ:ALT
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,,$2.52,111.51%,,,,$2.63,4.37%,$0.00,-100.00%,$0.00,-100.00%,ALTS,NASDAQ:ALTS
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,,$7.65,13.23%,,,,$7.60,-0.65%,$0.00,-100.00%,$0.00,-100.00%,ALVO,NASDAQ:ALVO
NASDAQ:AMAL,2 Oct 2025,$30.65,3,,1,,$27.26,12.44%,,,,$28.27,3.71%,$0.00,-100.00%,$0.00,-100.00%,AMAL,NASDAQ:AMAL
NYSE:AMBC,3 Sep 2025,$10.68,3,,2,,$8.21,30.10%,,,,$8.13,-0.97%,$0.00,-100.00%,$0.00,-100.00%,AMBC,NYSE:AMBC
NYSE:AMBP,29 Aug 2025,$5.14,4,,6,,$3.57,43.95%,,,,$3.66,2.52%,$1.94,-45.76%,$9.90,177.29%,AMBP,NYSE:AMBP
NYSE:AMCR,27 Oct 2025,$10.43,5,$10.12,9,4.75,$7.90,28.10%,28.10%,$10.12,$10.43,$8.09,2.41%,$0.00,-100.00%,$0.00,-100.00%,AMCR,NYSE:AMCR
