Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$41.74,-2.14%,,,,$39.69,-4.91%,$21.48,-48.54%,$56.11,34.43%,AA,NYSE:AA,-0.402
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$14.05,-11.38%,,,,$13.41,-4.56%,$7.37,-47.53%,$13.09,-6.85%,AAL,NASDAQ:AAL,-0.532
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$93.46,-29.65%,,,,$92.89,-0.61%,$106.04,13.47%,$114.54,22.55%,AAON,NASDAQ:AAON,-0.369
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$75.76,-8.59%,,,,,-100.00%,-$2.00,-102.64%,-$2.00,-102.64%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,2.75,$75.76,-3.08%,-3.08%,$73.43,$73.43,$76.97,1.60%,-$144.73,-291.04%,-$134.88,-278.04%,ABCB,NYSE:ABCB,-0.015
NYSE:ABEV,9 Nov 2025,$2.94,5,$2.81,6,3.25,$2.54,10.63%,10.63%,$2.81,$2.94,$2.43,-4.33%,$6.59,159.58%,$7.85,209.02%,ABEV,NYSE:ABEV,-0.840
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$43.00,29.72%,,,,$43.03,0.07%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.374
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.44,112.01%,,,,$3.40,-1.16%,$36.80,969.62%,$52.01,1411.84%,ACCO,NYSE:ACCO,-0.532
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.24,26.04%,,,,$10.03,-2.05%,$18.52,80.87%,$28.06,174.00%,ACEL,NYSE:ACEL,-0.644
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$93.92,3.57%,,,,$94.60,0.72%,$370.33,294.30%,$380.14,304.75%,ACGL,NASDAQ:ACGL,-0.246
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$7.79,12.20%,,,,$8.09,3.85%,$6.89,-11.49%,$6.93,-10.99%,ACHR,NYSE:ACHR,0.151
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$250.00,5.63%,,,,$248.12,-0.75%,$563.69,125.48%,$617.88,147.15%,ACN,NYSE:ACN,-0.322
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$7.85,36.59%,,,,$7.66,-2.42%,$10.73,36.69%,$7.53,-4.14%,ACVA,NYSE:ACVA,-0.525
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$75.22,5.37%,,,,$75.14,-0.11%,$93.35,24.11%,$137.78,83.17%,ADC,NYSE:ADC,-0.276
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.31,65.48%,,,,,-100.00%,-$2.00,-745.16%,-$2.00,-745.16%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$7.93,-4.29%,,,,$8.23,3.78%,$4.07,-48.67%,$27.37,245.10%,ADTN,NASDAQ:ADTN,0.034
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$174.43,-54.43%,,,,$171.59,-1.63%,$321.36,84.23%,$383.28,119.73%,AEM,NYSE:AEM,-0.586
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$123.77,-15.40%,,,,$121.29,-2.00%,$5.14,-95.85%,$126.75,2.41%,AEP,NASDAQ:AEP,-0.564
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.06,-4.23%,,,,$13.95,-0.78%,-$54.31,-486.25%,-$49.87,-454.70%,AES,NYSE:AES,-0.390
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.14,17.57%,,,,$14.30,-5.55%,$120.38,695.13%,$147.74,875.84%,AFYA,NASDAQ:AFYA,-0.913
NYSE:AG,12 Aug 2025,$7.66,3,,,,$15.23,-49.74%,,,,$12.22,-19.76%,$15.33,0.63%,$21.36,40.27%,AG,NYSE:AG,-0.788
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$37.50,-48.93%,,,,$34.70,-7.47%,$53.52,42.71%,$62.96,67.88%,AGI,NYSE:AGI,-0.637
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,2.75,$171.76,4.65%,4.65%,$179.75,$219.00,$168.48,-1.91%,"-$2,508.30",-1560.35%,"-$2,577.66",-1600.73%,AGM,NYSE:AGM,-0.700
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,,$10.49,-2.96%,,,,$9.57,-8.77%,-$73.05,-796.39%,-$67.25,-741.10%,AGNC,NASDAQ:AGNC,-0.997
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$90.54,10.70%,,,,$90.43,-0.12%,$31.70,-64.99%,$31.76,-64.92%,AGO,NYSE:AGO,-0.209
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$8.13,15.62%,,,,$7.74,-4.80%,$36.50,348.91%,$17.89,120.03%,AGRO,NYSE:AGRO,-0.753
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$76.16,11.29%,,,,$76.04,-0.16%,-$58.28,-176.52%,$7.99,-89.51%,AIG,NYSE:AIG,-0.381
