Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$36.95,10.55%,,,,$36.01,-2.54%,$0.00,-100.00%,$0.00,-100.00%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$11.89,4.72%,,,,$11.80,-0.76%,$0.00,-100.00%,$0.00,-100.00%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$99.48,-33.91%,,,,$103.47,4.01%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,3,$70.81,-2.20%,-2.20%,$69.25,$77.00,$73.45,3.73%,$0.00,-100.00%,$0.00,-100.00%,ABCB,NYSE:ABCB
NYSE:ABEV,17 Oct 2025,$2.74,5,$2.90,7,4.25,$2.25,21.96%,21.96%,$2.74,$2.90,$2.31,2.67%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$45.06,23.79%,,,,$46.57,3.35%,$73.94,64.09%,$92.65,105.61%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.86,88.94%,,,,$3.83,-0.78%,$0.00,-100.00%,$0.00,-100.00%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.28,25.55%,,,,$10.68,3.89%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$86.88,11.96%,,,,$87.32,0.51%,$0.00,-100.00%,$0.00,-100.00%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$11.89,-26.49%,,,,$12.21,2.69%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$241.24,9.47%,,,,$247.28,2.50%,$555.39,130.22%,$624.93,159.05%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$8.63,24.24%,,,,$8.53,-1.16%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$75.43,5.08%,,,,$76.95,2.02%,$0.00,-100.00%,$0.00,-100.00%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.38,35.00%,,,,,-100.00%,-$2.00,-626.32%,-$2.00,-626.32%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$9.25,-17.95%,,,,$9.63,4.11%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$117.93,-11.21%,,,,$120.33,2.04%,$0.00,-100.00%,$0.00,-100.00%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.59,-7.71%,,,,$14.67,0.55%,$0.00,-100.00%,$0.00,-100.00%,AES,NYSE:AES
