Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$39.45,3.54%,,,,$38.96,-1.24%,$19.31,-51.06%,$53.90,36.62%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.01,-4.30%,,,,$13.15,1.08%,$6.22,-52.18%,$16.49,26.78%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$104.23,-36.92%,,,,$101.49,-2.63%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,3,$72.56,-4.56%,-4.56%,$69.25,$77.00,,-100.00%,-$2.00,-102.76%,-$2.00,-102.76%,ABCB,NYSE:ABCB
NYSE:ABEV,26 Oct 2025,$2.79,5,$2.90,6,4,$2.21,26.24%,26.24%,$2.79,$2.90,$2.21,0.00%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$44.98,24.01%,,,,$47.35,5.27%,$74.28,65.14%,$92.94,106.62%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.03,80.97%,,,,$4.06,0.74%,$0.00,-100.00%,$0.00,-100.00%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.27,25.68%,,,,$10.74,4.58%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$83.44,16.58%,,,,$86.51,3.68%,$0.00,-100.00%,$0.00,-100.00%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$11.31,-22.72%,,,,$12.02,6.28%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$250.61,5.38%,,,,$250.68,0.03%,$562.91,124.62%,$617.01,146.21%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$9.42,13.82%,,,,$9.84,4.46%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$74.09,6.98%,,,,$73.48,-0.82%,$92.75,25.19%,$137.09,85.03%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.36,42.50%,,,,,-100.00%,-$2.00,-655.56%,-$2.00,-655.56%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$9.96,-23.80%,,,,$10.00,0.40%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$115.93,-9.68%,,,,$113.96,-1.70%,$0.00,-100.00%,$0.00,-100.00%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.30,-5.84%,,,,$14.33,0.21%,$0.00,-100.00%,$0.00,-100.00%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.63,21.67%,,,,$14.72,0.62%,$0.00,-100.00%,$0.00,-100.00%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$12.44,-38.46%,,,,$12.07,-2.97%,$0.00,-100.00%,$0.00,-100.00%,AG,NYSE:AG
NYSE:AGI,24 Oct 2025,$19.15,2,,,2,$30.52,-37.25%,-37.25%,$19.15,$19.15,$32.14,5.31%,$0.00,-100.00%,$0.00,-100.00%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,,$162.70,41.57%,,,,$164.68,1.22%,$0.00,-100.00%,$0.00,-100.00%,AGM,NYSE:AGM
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,4,$10.23,-0.49%,-0.49%,$10.18,$11.15,$15.54,51.91%,$0.00,-100.00%,$0.00,-100.00%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$81.40,23.13%,,,,$82.47,1.31%,$0.00,-100.00%,$0.00,-100.00%,AGO,NYSE:AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$8.14,15.48%,,,,$8.19,0.61%,$0.00,-100.00%,$0.00,-100.00%,AGRO,NYSE:AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$78.42,8.08%,,,,$80.97,3.25%,$0.00,-100.00%,$0.00,-100.00%,AIG,NYSE:AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$59.75,11.80%,,,,$60.46,1.19%,$0.00,-100.00%,$0.00,-100.00%,AIN,NYSE:AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$11.43,-56.26%,,,,$11.39,-0.35%,$0.00,-100.00%,$0.00,-100.00%,AIRS,NASDAQ:AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$210.57,5.34%,,,,$208.53,-0.97%,$0.00,-100.00%,$0.00,-100.00%,AIZ,NYSE:AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.62,-21.61%,,,,$64.83,1.90%,$0.00,-100.00%,$0.00,-100.00%,AL,NYSE:AL
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$75.59,7.75%,,,,$75.50,-0.12%,$0.00,-100.00%,$0.00,-100.00%,ALC,NYSE:ALC
