Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$35.65,14.58%,,,,$35.45,-0.56%,$0.00,-100.00%,$0.00,-100.00%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.09,2.99%,,,,$11.96,-1.08%,$0.00,-100.00%,$0.00,-100.00%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$97.70,-32.70%,,,,$97.46,-0.25%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,3,$73.08,-5.24%,-5.24%,$69.25,$77.00,,-100.00%,-$2.00,-102.74%,-$2.00,-102.74%,ABCB,NYSE:ABCB
NYSE:ABEV,17 Oct 2025,$2.74,5,$2.90,7,4.25,$2.20,24.74%,24.74%,$2.74,$2.90,$2.20,0.00%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$45.31,23.11%,,,,$46.80,3.29%,$74.29,63.95%,$93.01,105.28%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.02,81.42%,,,,$4.00,-0.50%,$0.00,-100.00%,$0.00,-100.00%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.46,23.39%,,,,$10.58,1.15%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$87.88,10.69%,,,,$87.72,-0.18%,$0.00,-100.00%,$0.00,-100.00%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$10.86,-19.52%,,,,$11.63,7.09%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$249.14,6.00%,,,,$258.24,3.65%,$566.72,127.47%,$621.18,149.33%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$9.33,14.92%,,,,$9.32,-0.11%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$75.14,5.48%,,,,$77.99,3.79%,$0.00,-100.00%,$0.00,-100.00%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.36,42.50%,,,,,-100.00%,-$2.00,-655.56%,-$2.00,-655.56%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$9.21,-17.59%,,,,$9.71,5.43%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$117.27,-10.71%,,,,$120.31,2.59%,$0.00,-100.00%,$0.00,-100.00%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.29,-5.77%,,,,$14.09,-1.40%,$0.00,-100.00%,$0.00,-100.00%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.89,19.54%,,,,$14.99,0.67%,$0.00,-100.00%,$0.00,-100.00%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$12.66,-39.53%,,,,$13.12,3.63%,$0.00,-100.00%,$0.00,-100.00%,AG,NYSE:AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,,$31.85,-43.50%,,,,$32.90,3.30%,$0.00,-100.00%,$0.00,-100.00%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,,$162.00,42.18%,,,,$162.43,0.27%,$0.00,-100.00%,$0.00,-100.00%,AGM,NYSE:AGM
