Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$40.14,1.76%,,,,$37.68,-6.13%,$0.00,-100.00%,$0.00,-100.00%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.77,-2.50%,,,,$12.34,-3.37%,$0.00,-100.00%,$0.00,-100.00%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$101.75,-35.38%,,,,$97.57,-4.11%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,3,$72.48,-4.46%,-4.46%,$69.25,$77.00,,-100.00%,-$2.00,-102.76%,-$2.00,-102.76%,ABCB,NYSE:ABCB
NYSE:ABEV,17 Oct 2025,$2.74,5,$2.90,7,4.25,$2.21,24.17%,24.17%,$2.74,$2.90,$2.20,-0.45%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$45.49,22.62%,,,,$46.78,2.84%,$74.47,63.70%,$93.19,104.86%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.08,78.75%,,,,$4.06,-0.49%,$0.00,-100.00%,$0.00,-100.00%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.53,22.57%,,,,$10.58,0.47%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$87.46,11.22%,,,,$87.90,0.50%,$0.00,-100.00%,$0.00,-100.00%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$10.91,-19.89%,,,,$11.36,4.12%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$249.81,5.71%,,,,$256.81,2.80%,$567.39,127.13%,$621.85,148.93%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$9.36,14.55%,,,,$9.23,-1.39%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$75.14,5.48%,,,,$75.26,0.16%,$93.81,24.85%,$138.51,84.34%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.36,42.50%,,,,,-100.00%,-$2.00,-655.56%,-$2.00,-655.56%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$9.76,-22.23%,,,,$9.94,1.84%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$116.18,-9.87%,,,,$119.97,3.26%,$0.00,-100.00%,$0.00,-100.00%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.20,-5.18%,,,,$14.18,-0.14%,$0.00,-100.00%,$0.00,-100.00%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.04,18.35%,,,,$15.12,0.53%,$0.00,-100.00%,$0.00,-100.00%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$12.89,-40.61%,,,,$13.32,3.34%,$0.00,-100.00%,$0.00,-100.00%,AG,NYSE:AG
NYSE:AGI,24 Oct 2025,$19.15,2,,,2,$31.86,-39.89%,-39.89%,$19.15,$19.15,$33.66,5.65%,$0.00,-100.00%,$0.00,-100.00%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,,$161.51,42.62%,,,,$160.70,-0.50%,$0.00,-100.00%,$0.00,-100.00%,AGM,NYSE:AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$10.09,11.52%,,,,$10.08,-0.10%,$0.00,-100.00%,$0.00,-100.00%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$82.49,21.50%,,,,$81.90,-0.72%,$0.00,-100.00%,$0.00,-100.00%,AGO,NYSE:AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$7.87,19.44%,,,,$7.68,-2.41%,$0.00,-100.00%,$0.00,-100.00%,AGRO,NYSE:AGRO
