Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$35.53,14.96%,,,,$37.17,4.62%,$0.00,-100.00%,$0.00,-100.00%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$11.57,7.61%,,,,$11.63,0.52%,$0.00,-100.00%,$0.00,-100.00%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$100.26,-34.42%,,,,$105.52,5.25%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON
NYSE:ABEV,3 Oct 2025,$2.80,5,$2.90,7,4.25,$2.12,32.20%,32.20%,$2.80,$2.90,$2.16,1.89%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$44.69,24.82%,,,,$47.55,6.40%,$72.54,62.31%,$91.00,103.62%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.78,92.94%,,,,$3.99,5.56%,$0.00,-100.00%,$0.00,-100.00%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,3.75,$10.20,26.54%,26.54%,$12.91,$15.00,$10.37,1.67%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$92.33,5.35%,,,,$95.48,3.41%,$0.00,-100.00%,$0.00,-100.00%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$12.07,-27.59%,,,,$12.90,6.88%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$242.27,9.00%,,,,$263.69,8.84%,$560.15,131.21%,$627.90,159.17%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,3,$8.57,25.11%,25.11%,$10.72,$10.72,$9.66,12.72%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,4,$71.85,10.31%,10.31%,$79.26,$81.90,$72.40,0.77%,$0.00,-100.00%,$0.00,-100.00%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.38,35.00%,,,,,-100.00%,-$2.00,-626.32%,-$2.00,-626.32%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$8.55,-11.23%,,,,$9.35,9.36%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,2,$117.13,-10.60%,-10.60%,$104.71,$104.71,$121.08,3.37%,$0.00,-100.00%,$0.00,-100.00%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.21,-5.24%,,,,$14.38,1.20%,$0.00,-100.00%,$0.00,-100.00%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.50,22.76%,,,,$14.53,0.21%,$0.00,-100.00%,$0.00,-100.00%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$13.27,-42.31%,,,,$13.66,2.94%,$0.00,-100.00%,$0.00,-100.00%,AG,NYSE:AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,,$32.76,-45.07%,,,,$35.53,8.46%,$0.00,-100.00%,$0.00,-100.00%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,,$165.29,39.35%,,,,$161.86,-2.08%,$0.00,-100.00%,$0.00,-100.00%,AGM,NYSE:AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.97,12.86%,,,,$10.44,4.71%,$0.00,-100.00%,$0.00,-100.00%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$80.99,23.75%,,,,$84.66,4.53%,$0.00,-100.00%,$0.00,-100.00%,AGO,NYSE:AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$7.60,23.68%,,,,$7.59,-0.13%,$0.00,-100.00%,$0.00,-100.00%,AGRO,NYSE:AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$81.89,3.50%,,,,$85.85,4.84%,$0.00,-100.00%,$0.00,-100.00%,AIG,NYSE:AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$54.20,23.25%,,,,$54.80,1.11%,$0.00,-100.00%,$0.00,-100.00%,AIN,NYSE:AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$8.90,-43.82%,,,,$8.58,-3.60%,$0.00,-100.00%,$0.00,-100.00%,AIRS,NASDAQ:AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$218.99,1.29%,,,,$217.66,-0.61%,$0.00,-100.00%,$0.00,-100.00%,AIZ,NYSE:AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.55,-21.53%,,,,$63.88,0.52%,$0.00,-100.00%,$0.00,-100.00%,AL,NYSE:AL
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$71.85,13.36%,,,,$77.36,7.67%,$0.00,-100.00%,$0.00,-100.00%,ALC,NYSE:ALC
NYSE:ALEX,2 Oct 2025,$20.55,4,$21.83,8,4,$16.67,23.25%,23.25%,$20.55,$21.83,$16.78,0.66%,$0.00,-100.00%,$0.00,-100.00%,ALEX,NYSE:ALEX
NYSE:ALIT,10 Sep 2025,$6.24,3,$6.75,4,,$3.03,105.97%,,,,$3.29,8.58%,$0.00,-100.00%,$0.00,-100.00%,ALIT,NYSE:ALIT
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$206.36,-11.45%,,,,$216.93,5.12%,$0.00,-100.00%,$0.00,-100.00%,ALL,NYSE:ALL
