Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$36.46,12.03%,,,,$35.93,-1.45%,$0.00,-100.00%,$0.00,-100.00%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.50,-0.39%,,,,$12.10,-3.20%,$0.00,-100.00%,$0.00,-100.00%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$104.26,-36.94%,,,,$106.68,2.32%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,3,$73.70,-6.04%,-6.04%,$69.25,$77.00,$78.38,6.35%,$0.00,-100.00%,$0.00,-100.00%,ABCB,NYSE:ABCB
NYSE:ABEV,3 Oct 2025,$2.80,5,$2.90,7,4.25,$2.17,29.16%,29.16%,$2.80,$2.90,$2.23,2.76%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$45.30,23.13%,,,,$47.16,4.11%,$73.80,62.90%,$92.43,104.04%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.81,91.42%,,,,$3.78,-0.79%,$0.00,-100.00%,$0.00,-100.00%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,3.75,$10.33,24.95%,24.95%,$12.91,$15.00,$10.47,1.36%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$89.57,8.60%,,,,$91.96,2.67%,$0.00,-100.00%,$0.00,-100.00%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$13.03,-32.92%,,,,$14.95,14.74%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$239.71,10.17%,,,,$255.46,6.57%,$554.40,131.28%,$623.48,160.10%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,3,$8.74,22.68%,22.68%,$10.72,$10.72,$8.60,-1.60%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,4,$73.75,7.47%,7.47%,$79.26,$81.90,$76.66,3.95%,$0.00,-100.00%,$0.00,-100.00%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.39,31.54%,,,,,-100.00%,-$2.00,-612.82%,-$2.00,-612.82%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$9.25,-17.95%,,,,$8.93,-3.46%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,2,$118.53,-11.66%,-11.66%,$104.71,$104.71,$119.45,0.78%,$0.00,-100.00%,$0.00,-100.00%,AEP,NASDAQ:AEP
