Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$38.91,4.98%,,,,$38.67,-0.62%,$19.26,-50.51%,$53.99,38.75%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.97,-4.00%,,,,$12.50,-3.62%,$5.60,-56.85%,$15.90,22.61%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$103.27,-36.33%,,,,$106.96,3.57%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,3,$72.36,-4.30%,-4.30%,$69.25,$77.00,,-100.00%,-$2.00,-102.76%,-$2.00,-102.76%,ABCB,NYSE:ABCB
NYSE:ABCB,24 Oct 2025,$71.01,3,,,3,$72.36,-1.87%,-1.87%,$71.01,$71.01,$76.71,6.01%,$0.00,-100.00%,$0.00,-100.00%,ABCB,NYSE:ABCB
NYSE:ABEV,26 Oct 2025,$2.79,5,$2.90,6,4,$2.18,27.98%,27.98%,$2.79,$2.90,$2.21,1.38%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$43.07,29.51%,,,,$46.84,8.75%,$74.20,72.28%,$92.91,115.71%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.91,86.52%,,,,$4.03,3.07%,$0.00,-100.00%,$0.00,-100.00%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.08,28.05%,,,,$10.51,4.27%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$85.85,13.31%,,,,$83.61,-2.61%,$0.00,-100.00%,$0.00,-100.00%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$11.18,-21.82%,,,,$11.92,6.62%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$247.75,6.59%,,,,$259.15,4.60%,$570.35,130.21%,$624.72,152.16%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$8.92,20.20%,,,,$9.65,8.18%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$73.09,8.44%,,,,$74.41,1.81%,$92.53,26.60%,$137.14,87.63%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$10.15,-25.22%,,,,$9.87,-2.76%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN
NYSE:AEM,24 Oct 2025,$79.48,1,,,1,$156.78,-49.30%,-49.30%,$79.48,$79.48,$162.31,3.53%,$0.00,-100.00%,$0.00,-100.00%,AEM,NYSE:AEM
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$122.11,-14.25%,,,,$112.88,-7.56%,$0.00,-100.00%,$0.00,-100.00%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.37,-6.30%,,,,$14.21,-1.11%,$0.00,-100.00%,$0.00,-100.00%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.36,23.96%,,,,$14.44,0.56%,$0.00,-100.00%,$0.00,-100.00%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$12.64,-39.44%,,,,$12.24,-3.16%,$0.00,-100.00%,$0.00,-100.00%,AG,NYSE:AG
NYSE:AGI,24 Oct 2025,$19.15,2,,,2,$31.87,-39.91%,-39.91%,$19.15,$19.15,$32.90,3.23%,$0.00,-100.00%,$0.00,-100.00%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,,$157.72,46.04%,,,,$165.66,5.03%,$0.00,-100.00%,$0.00,-100.00%,AGM,NYSE:AGM
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,4,$10.06,1.19%,1.19%,$10.18,$11.15,$15.46,53.68%,$0.00,-100.00%,$0.00,-100.00%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$80.92,23.86%,,,,$81.60,0.84%,$0.00,-100.00%,$0.00,-100.00%,AGO,NYSE:AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$8.16,15.20%,,,,$8.12,-0.49%,$0.00,-100.00%,$0.00,-100.00%,AGRO,NYSE:AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$77.98,8.69%,,,,$80.74,3.54%,$0.00,-100.00%,$0.00,-100.00%,AIG,NYSE:AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$57.04,17.11%,,,,$57.10,0.11%,$0.00,-100.00%,$0.00,-100.00%,AIN,NYSE:AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$10.90,-54.13%,,,,$11.25,3.21%,$0.00,-100.00%,$0.00,-100.00%,AIRS,NASDAQ:AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$208.11,6.59%,,,,$207.19,-0.44%,$0.00,-100.00%,$0.00,-100.00%,AIZ,NYSE:AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.77,-21.80%,,,,$65.00,1.93%,$0.00,-100.00%,$0.00,-100.00%,AL,NYSE:AL
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$73.60,10.67%,,,,$74.42,1.11%,$0.00,-100.00%,$0.00,-100.00%,ALC,NYSE:ALC
NYSE:ALEX,2 Oct 2025,$20.55,4,$21.83,8,4,$16.42,25.12%,25.12%,$20.55,$21.83,$16.60,1.10%,$0.00,-100.00%,$0.00,-100.00%,ALEX,NYSE:ALEX
NYSE:ALIT,10 Sep 2025,$6.24,3,$6.75,4,,$2.87,117.46%,,,,$3.20,11.50%,$0.00,-100.00%,$0.00,-100.00%,ALIT,NYSE:ALIT
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$190.00,-3.83%,,,,$191.92,1.01%,$0.00,-100.00%,$0.00,-100.00%,ALL,NYSE:ALL
NYSE:ALLE,24 Oct 2025,$165.38,3,,,3,$165.59,-0.13%,-0.13%,$165.38,$165.38,$174.52,5.39%,$317.72,91.87%,$348.73,110.60%,ALLE,NYSE:ALLE
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$39.97,3.90%,,,,$42.28,5.78%,$0.00,-100.00%,$0.00,-100.00%,ALLY,NYSE:ALLY
NASDAQ:ALRS,27 Oct 2025,$24.54,3,$25.63,7,3.25,$20.97,17.02%,17.02%,$24.54,$25.63,$21.88,4.34%,$0.00,-100.00%,$0.00,-100.00%,ALRS,NASDAQ:ALRS
NYSE:ALSN,22 Sep 2025,$99.81,4,$98.14,3,,$81.59,20.28%,,,,$81.86,0.33%,$0.00,-100.00%,$0.00,-100.00%,ALSN,NYSE:ALSN
NASDAQ:ALT,28 Oct 2025,$3.47,3,$19.75,5,2.75,$4.00,-13.31%,-13.31%,$3.47,$19.75,$6.24,56.00%,$0.00,-100.00%,$0.00,-100.00%,ALT,NASDAQ:ALT
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,,$2.39,123.01%,,,,$2.85,19.25%,$0.00,-100.00%,$0.00,-100.00%,ALTS,NASDAQ:ALTS
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,,$7.90,9.65%,,,,$7.88,-0.25%,$0.00,-100.00%,$0.00,-100.00%,ALVO,NASDAQ:ALVO
NASDAQ:AMAL,2 Oct 2025,$30.65,3,,1,1.75,$27.27,12.40%,12.40%,$30.65,$30.65,$28.71,5.28%,$0.00,-100.00%,$0.00,-100.00%,AMAL,NASDAQ:AMAL
NYSE:AMBC,3 Sep 2025,$10.68,3,,2,,$8.57,24.63%,,,,$8.89,3.73%,$0.00,-100.00%,$0.00,-100.00%,AMBC,NYSE:AMBC
NYSE:AMBP,29 Aug 2025,$5.14,4,,6,,$3.66,40.41%,,,,$3.75,2.46%,$2.20,-39.91%,$10.26,180.24%,AMBP,NYSE:AMBP
