Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$33.77,20.96%,,,,$32.72,-3.11%,$54.91,62.59%,$83.09,146.04%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.88,-3.33%,,,,$13.44,4.35%,-$54.62,-524.08%,-$49.91,-487.46%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$82.70,-20.50%,-20.50%,$65.75,$65.75,$84.97,2.74%,$96.39,16.55%,$104.85,26.79%,AAON,NASDAQ:AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.32,7.76%,7.76%,$2.50,$2.63,$2.35,1.29%,$3.22,38.90%,$4.06,74.96%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$45.81,21.76%,21.76%,$55.78,$58.40,$47.63,3.97%,$74.48,62.58%,$93.15,103.34%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.03,80.97%,,,,$4.04,0.25%,$11.15,176.60%,$19.72,389.40%,ACCO,NYSE:ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$91.89,5.86%,5.86%,$97.27,$108.00,$95.63,4.07%,$175.84,91.36%,$185.15,101.49%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.28,-5.82%,,,,$8.95,-3.56%,$9.57,3.07%,$9.60,3.49%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$239.90,10.08%,10.08%,$264.08,$333.45,$251.80,4.96%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.36,42.50%,,,,,-100.00%,-$2.00,-655.56%,-$2.00,-655.56%,ADIL,NASDAQ:ADIL
