Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$32.06,27.41%,27.41%,$40.85,$40.85,$32.68,1.93%,$49.85,55.50%,$98.37,206.85%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.83,-2.95%,,,,$13.47,4.99%,-$55.29,-530.92%,-$50.58,-494.20%,AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$79.18,-16.96%,-16.96%,$65.75,$65.75,$84.21,6.35%,$94.61,19.49%,$102.83,29.87%,AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.23,12.11%,12.11%,$2.50,$2.63,$2.30,3.14%,$3.14,40.68%,$3.96,77.62%,ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$46.13,20.92%,20.92%,$55.78,$58.40,$49.04,6.31%,$74.99,62.56%,$93.08,101.77%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.02,81.42%,,,,$4.13,2.74%,$10.76,167.57%,$19.20,377.65%,ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$90.75,7.19%,7.19%,$97.27,$108.00,$97.13,7.03%,$168.16,85.31%,$177.18,95.25%,ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.41,3.92%,,,,$8.94,6.30%,$9.32,10.81%,$9.36,11.26%,ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$251.43,5.03%,5.03%,$264.08,$333.45,$267.05,6.21%,$0.00,-100.00%,$0.00,-100.00%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$10.28,-26.17%,-26.17%,$7.59,$7.59,$10.48,1.95%,$19.38,88.57%,$39.54,284.61%,ADTN
NYSE:AES,11 Jul 2025,$13.47,3,,,,$12.77,5.44%,,,,$13.24,3.68%,-$56.34,-541.19%,-$52.04,-507.50%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.54,14.54%,,,,$15.09,-2.90%,$53.64,245.19%,$79.70,412.86%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$9.22,-16.97%,-16.97%,$7.66,$7.66,$9.25,0.33%,$10.97,18.98%,$18.37,99.24%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$32.55,-44.72%,-44.72%,$18.00,$18.00,$34.11,4.79%,$41.17,26.48%,$50.62,55.52%,AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$201.50,14.31%,14.31%,$230.34,$230.34,$212.07,5.25%,"-$1,710.93",-949.10%,"-$1,374.78",-782.27%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$10.39,8.30%,,,,$10.40,0.10%,-$68.85,-762.69%,-$68.49,-759.24%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$81.94,22.31%,,,,$84.73,3.40%,$54.00,-34.10%,$54.10,-33.98%,AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,2.25,$8.03,17.06%,17.06%,$9.40,$9.55,$8.52,6.10%,$23.09,187.58%,$53.46,565.79%,AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$78.99,7.30%,,,,$80.90,2.42%,-$50.12,-163.45%,$16.82,-78.71%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$60.87,9.74%,9.74%,$66.80,$77.61,$60.84,-0.05%,$64.01,5.16%,$90.50,48.68%,AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,2.75,$6.13,-18.43%,-18.43%,$5.00,$6.69,$6.30,2.77%,$7.54,23.08%,$9.53,55.49%,AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,4,$211.64,4.81%,4.81%,$221.82,$239.50,$215.87,2.00%,-$171.95,-181.25%,-$125.65,-159.37%,AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.61,-21.60%,,,,$65.14,2.41%,-$207.17,-425.68%,-$133.33,-309.61%,AL
NYSE:ALC,27 Aug 2025,$81.45,1,,,1,$79.17,2.88%,2.88%,$81.45,$81.45,$83.16,5.04%,$118.79,50.04%,$166.40,110.18%,ALC
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$18.93,-2.85%,,,,$19.87,4.97%,$23.01,21.53%,$32.82,73.37%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.70,159.30%,,,,$3.99,7.84%,$3.06,-17.41%,$13.32,260.10%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$41.42,0.27%,,,,$42.31,2.15%,-$439.39,-1160.81%,-$460.61,-1212.04%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$22.64,-5.04%,,,,$23.23,2.61%,-$148.73,-756.94%,-$143.02,-731.70%,ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,2,$4.11,29.68%,29.68%,$5.33,$5.33,$4.73,15.09%,$0.00,-100.00%,$0.00,-100.00%,ALTS
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,3,$8.07,7.34%,7.34%,$8.66,$8.66,$8.63,6.94%,$5.27,-34.73%,$6.75,-16.34%,ALVO
NYSE:AMBP,29 Aug 2025,$5.14,4,$4.41,6,3.5,$3.51,25.64%,25.64%,$4.41,$5.14,$3.71,5.70%,$7.15,103.84%,$17.38,395.19%,AMBP
NYSE:AMCR,5 Sep 2025,$10.29,5,$10.77,8,4.5,$8.24,24.90%,24.90%,$10.29,$10.77,$8.61,4.49%,$10.35,25.62%,$15.35,86.23%,AMCR
NYSE:AMPY,26 Aug 2025,$6.99,3,,,3,$3.98,75.72%,75.72%,$6.99,$6.99,$3.96,-0.50%,$24.92,526.08%,$65.91,1556.14%,AMPY
NASDAQ:AMRK,30 Aug 2025,$28.71,3,$43.50,2,2,$24.16,18.83%,18.83%,$28.71,$43.50,$25.07,3.77%,$0.00,-100.00%,$0.00,-100.00%,AMRK
NASDAQ:AMSF,26 Aug 2025,$45.99,3,,,3,$45.28,1.56%,1.56%,$45.99,$45.99,$47.46,4.81%,$22.66,-49.95%,$23.60,-47.87%,AMSF
NASDAQ:AMWD,30 Aug 2025,$86.63,3,$70.67,6,3,$66.09,6.93%,6.93%,$70.67,$86.63,$67.10,1.53%,$125.18,89.41%,$186.63,182.38%,AMWD
