Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$31.53,29.55%,29.55%,$40.85,$40.85,$31.67,0.44%,$52.66,67.00%,$80.71,155.99%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.82,-2.88%,,,,$12.80,-0.16%,-$54.98,-528.89%,-$50.27,-492.12%,AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$82.35,-20.16%,-20.16%,$65.75,$65.75,$83.19,1.02%,$92.18,11.93%,$100.58,22.14%,AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.27,10.13%,10.13%,$2.50,$2.63,$2.30,1.32%,$3.14,38.27%,$3.97,74.98%,ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$45.68,22.11%,22.11%,$55.78,$58.40,$48.62,6.44%,$73.72,61.38%,$92.01,101.43%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.95,84.63%,,,,$4.05,2.53%,$11.03,179.25%,$19.57,395.53%,ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$89.73,8.41%,8.41%,$97.27,$108.00,$94.09,4.86%,$171.47,91.10%,$180.71,101.39%,ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.45,3.43%,,,,$8.80,4.14%,$9.26,9.54%,$9.29,9.99%,ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$242.15,9.06%,9.06%,$264.08,$333.45,$266.37,10.00%,$0.00,-100.00%,$0.00,-100.00%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$10.26,-26.02%,-26.02%,$7.59,$7.59,$10.62,3.51%,$20.46,99.42%,$41.07,300.26%,ADTN
NYSE:AES,11 Jul 2025,$13.47,3,,,,$12.75,5.61%,,,,$13.07,2.51%,-$56.57,-543.72%,-$52.26,-509.91%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.25,16.72%,,,,$15.11,-0.92%,$55.39,263.19%,$82.06,438.10%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$9.15,-16.34%,,,,$9.12,-0.33%,$11.03,20.57%,$18.57,102.92%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$32.81,-45.15%,-45.15%,$18.00,$18.00,$34.12,3.99%,$41.69,27.08%,$50.89,55.12%,AGI
