Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$31.97,27.77%,27.77%,$40.85,$40.85,$32.55,1.81%,$49.85,55.94%,$98.37,207.71%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.98,-4.08%,,,,$13.49,3.93%,-$55.29,-525.94%,-$50.58,-489.65%,AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$81.07,-18.90%,-18.90%,$65.75,$65.75,$86.04,6.13%,$94.61,16.71%,$102.83,26.84%,AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.18,14.68%,14.68%,$2.50,$2.63,$2.30,5.50%,$3.14,43.90%,$3.96,81.70%,ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$46.93,18.86%,18.86%,$55.78,$58.40,$49.64,5.77%,$74.99,59.79%,$93.08,98.33%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.03,80.97%,,,,$4.23,4.96%,$10.76,166.90%,$19.20,376.47%,ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$91.04,6.85%,6.85%,$97.27,$108.00,$94.57,3.88%,$168.16,84.72%,$177.18,94.62%,ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.47,3.19%,,,,$8.89,4.96%,$9.32,10.02%,$9.36,10.47%,ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$254.75,3.66%,3.66%,$264.08,$333.45,$265.66,4.28%,$0.00,-100.00%,$0.00,-100.00%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$9.80,-22.55%,-22.55%,$7.59,$7.59,$10.09,2.96%,$19.38,97.80%,$39.54,303.44%,ADTN
NYSE:AES,11 Jul 2025,$13.47,3,,,,$12.73,5.77%,,,,$13.48,5.89%,-$56.34,-542.58%,-$52.04,-508.78%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.29,16.42%,,,,$15.06,-1.50%,$53.64,250.84%,$79.70,421.24%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$9.48,-19.25%,-19.25%,$7.66,$7.66,$9.67,2.00%,$10.97,15.71%,$18.37,93.77%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$32.96,-45.40%,-45.40%,$18.00,$18.00,$33.24,0.85%,$41.17,24.90%,$50.62,53.59%,AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$204.23,12.78%,12.78%,$230.34,$230.34,$214.19,4.88%,"-$1,710.93",-937.75%,"-$1,374.78",-773.15%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$10.36,8.61%,,,,$10.37,0.10%,-$68.85,-764.60%,-$68.49,-761.15%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$81.58,22.85%,,,,$84.79,3.93%,$54.00,-33.81%,$54.10,-33.68%,AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,2.25,$8.08,16.34%,16.34%,$9.40,$9.55,$8.49,5.07%,$23.09,185.80%,$53.46,561.67%,AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$78.55,7.91%,,,,$83.25,5.98%,-$50.12,-163.81%,$16.82,-78.59%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$61.80,8.09%,8.09%,$66.80,$77.61,$61.86,0.10%,$64.01,3.58%,$90.50,46.44%,AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,2.75,$6.01,-16.81%,-16.81%,$5.00,$6.69,$6.13,2.00%,$7.54,25.53%,$9.53,58.59%,AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,4,$210.15,5.55%,5.55%,$221.82,$239.50,$221.19,5.25%,-$171.95,-181.82%,-$125.65,-159.79%,AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.69,-21.70%,,,,$64.23,0.85%,-$207.17,-425.28%,-$133.33,-309.35%,AL
NYSE:ALC,27 Aug 2025,$81.45,1,,,1,$79.92,1.91%,1.91%,$81.45,$81.45,$83.10,3.98%,$118.79,48.63%,$166.40,108.21%,ALC
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$19.04,-3.41%,,,,$19.35,1.63%,$23.01,20.83%,$32.82,72.37%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.70,159.30%,,,,$4.09,10.54%,$3.06,-17.41%,$13.32,260.10%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$41.33,0.48%,,,,$43.46,5.15%,-$439.39,-1163.12%,-$460.61,-1214.46%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$22.62,-4.95%,,,,$22.39,-1.02%,-$148.73,-757.52%,-$143.02,-732.26%,ALRS
