Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$32.97,23.89%,23.89%,$40.85,$40.85,$32.63,-1.03%,$52.11,58.04%,$80.07,142.86%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.98,-4.08%,,,,$13.49,3.93%,-$55.08,-524.36%,-$50.37,-488.04%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$82.22,-20.03%,-20.03%,$65.75,$65.75,$87.16,6.01%,$98.87,20.24%,$107.22,30.41%,AAON,NASDAQ:AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.29,9.17%,9.17%,$2.50,$2.63,$2.27,-0.87%,$3.18,38.68%,$4.01,74.97%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$46.22,20.68%,20.68%,$55.78,$58.40,$47.35,2.44%,$74.04,60.19%,$92.59,100.32%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.03,80.97%,,,,$4.08,1.24%,$10.93,171.24%,$19.45,382.62%,ACCO,NYSE:ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$92.21,5.49%,5.49%,$97.27,$108.00,$92.78,0.62%,$171.19,85.66%,$180.37,95.61%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.63,1.27%,,,,$8.77,1.62%,$9.07,5.06%,$9.11,5.51%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$241.99,9.13%,9.13%,$264.08,$333.45,$257.34,6.34%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$10.30,-26.31%,-26.31%,$7.59,$7.59,$10.24,-0.58%,$20.31,97.23%,$40.81,296.17%,ADTN,NASDAQ:ADTN
NYSE:AES,11 Jul 2025,$13.47,3,,,,$12.85,4.79%,,,,$13.12,2.10%,-$56.55,-540.06%,-$52.24,-506.54%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.44,15.28%,,,,$15.23,-1.36%,$54.67,254.06%,$81.18,425.80%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$10.81,-29.19%,,,,$9.10,-15.82%,$11.30,4.57%,$18.80,73.96%,AG,NYSE:AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$32.97,-45.42%,-45.42%,$18.00,$18.00,$33.92,2.88%,$42.22,28.04%,$51.36,55.79%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$196.00,17.52%,17.52%,$230.34,$230.34,$205.96,5.08%,"-$1,695.24",-964.92%,"-$1,352.64",-790.12%,AGM,NYSE:AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$10.16,10.75%,,,,$10.35,1.87%,-$67.99,-769.18%,-$67.63,-765.69%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$82.51,21.47%,,,,$82.48,-0.04%,$55.60,-32.62%,$55.70,-32.50%,AGO,NYSE:AGO
