Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$33.43,22.19%,,,,$31.72,-5.12%,$53.20,59.14%,$80.86,141.89%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$11.26,10.58%,,,,$11.42,1.42%,-$57.11,-607.17%,-$52.40,-565.34%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$92.58,-28.98%,,,,$94.12,1.66%,$104.43,12.80%,$112.63,21.66%,AAON,NASDAQ:AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,,$2.31,8.23%,,,,$2.36,2.16%,$3.21,38.80%,$4.03,74.43%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$45.39,22.89%,,,,$47.22,4.03%,$72.86,60.53%,$91.24,101.00%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.01,81.87%,,,,$4.04,0.75%,$10.75,168.09%,$19.19,378.50%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,3.75,$11.31,14.12%,14.12%,$12.91,$15.00,$11.77,4.07%,$11.82,4.50%,$13.38,18.27%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$89.63,8.53%,,,,$92.52,3.22%,$167.35,86.71%,$176.35,96.76%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.32,-6.22%,,,,$10.02,7.51%,$10.10,8.36%,$10.14,8.77%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$246.65,7.07%,7.07%,$264.08,$333.45,$247.41,0.31%,$544.32,120.69%,$611.53,147.93%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,3,$9.78,9.63%,9.63%,$10.72,$10.72,$10.43,6.65%,$8.76,-10.47%,$11.10,13.47%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,4,$70.83,11.90%,11.90%,$79.26,$81.90,$74.38,5.01%,$63.68,-10.09%,$106.40,50.22%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.34,50.88%,,,,,-100.00%,-$2.00,-688.24%,-$2.00,-688.24%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$9.30,-18.39%,,,,$9.77,5.05%,$18.88,102.99%,$38.99,319.29%,ADTN,NASDAQ:ADTN
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,2,$109.11,-4.03%,-4.03%,$104.71,$104.71,$112.84,3.42%,-$25.33,-123.22%,$42.70,-60.87%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.17,2.24%,,,,$13.28,0.84%,-$56.03,-525.42%,-$51.72,-492.70%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.37,15.81%,,,,$16.04,4.36%,$54.01,251.38%,$80.01,420.58%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$12.50,-38.76%,,,,$11.87,-5.04%,$13.95,11.63%,$21.34,70.74%,AG,NYSE:AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,,$34.98,-48.56%,,,,$34.83,-0.43%,$43.02,23.00%,$52.00,48.65%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,,$170.97,34.72%,,,,$180.81,5.76%,"-$1,745.99",-1121.23%,"-$1,410.54",-925.02%,AGM,NYSE:AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.83,14.47%,,,,$9.86,0.31%,-$68.52,-797.09%,-$68.17,-793.48%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$83.59,19.90%,,,,$85.05,1.75%,$56.25,-32.71%,$56.35,-32.59%,AGO,NYSE:AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$8.02,17.21%,,,,$8.08,0.75%,$22.83,184.71%,$53.18,563.03%,AGRO,NYSE:AGRO
