Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$33.31,22.63%,,,,$33.40,0.27%,$54.80,64.50%,$82.82,148.64%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.51,-0.47%,,,,$12.86,2.80%,-$55.39,-542.74%,-$50.67,-505.05%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$80.65,-18.47%,-18.47%,$65.75,$65.75,$85.71,6.27%,$97.47,20.85%,$105.86,31.26%,AAON,NASDAQ:AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.38,5.04%,5.04%,$2.50,$2.63,$2.33,-2.10%,$3.29,38.14%,$4.12,73.12%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$45.32,23.08%,23.08%,$55.78,$58.40,$46.90,3.49%,$73.70,62.62%,$92.28,103.62%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.14,76.16%,,,,$3.99,-3.62%,$11.00,165.80%,$19.54,371.95%,ACCO,NYSE:ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$87.61,11.03%,11.03%,$97.27,$108.00,$88.14,0.60%,$168.82,92.69%,$178.04,103.21%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.82,-0.91%,,,,$9.49,7.60%,$9.94,12.66%,$9.97,13.09%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$241.84,9.20%,9.20%,$264.08,$333.45,$242.38,0.22%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$8.71,-12.86%,-12.86%,$7.59,$7.59,$10.02,15.04%,$18.91,117.12%,$39.48,353.27%,ADTN,NASDAQ:ADTN
NYSE:AES,11 Jul 2025,$13.47,3,,,,$12.44,8.24%,,,,$12.71,2.17%,-$56.59,-554.92%,-$52.27,-520.21%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$16.00,11.25%,,,,$15.82,-1.13%,$55.65,247.79%,$82.27,414.17%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$10.10,-24.21%,,,,$10.26,1.58%,$12.27,21.45%,$19.79,95.94%,AG,NYSE:AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,,$31.53,-42.93%,,,,$31.69,0.51%,$40.76,29.27%,$49.94,58.39%,AGI,NYSE:AGI
