Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$32.71,24.88%,,,,$33.18,1.44%,$52.14,59.40%,$79.98,144.52%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$11.31,10.09%,,,,$12.64,11.76%,-$56.17,-596.64%,-$51.46,-554.97%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$91.01,-27.76%,,,,$97.34,6.96%,$104.68,15.02%,$112.98,24.14%,AAON,NASDAQ:AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,,$2.30,8.70%,,,,$2.36,2.61%,$3.20,39.21%,$4.03,75.20%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$45.78,21.84%,21.84%,$55.78,$58.40,$47.44,3.63%,$72.87,59.18%,$91.35,99.54%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.06,79.63%,,,,$4.17,2.71%,$10.91,168.62%,$19.39,377.63%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,3.75,$11.37,13.52%,13.52%,$12.91,$15.00,$11.75,3.34%,$11.73,3.15%,$13.28,16.84%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$90.88,7.03%,7.03%,$97.27,$108.00,$92.75,2.06%,$169.69,86.71%,$178.79,96.74%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.28,-5.82%,,,,$10.37,11.75%,$10.53,13.44%,$10.57,13.86%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$238.97,10.51%,10.51%,$264.08,$333.45,$251.71,5.33%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,3,$9.76,9.86%,9.86%,$10.72,$10.72,$10.66,9.22%,$9.20,-5.77%,$11.55,18.37%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,4,$71.26,11.23%,11.23%,$79.26,$81.90,$74.43,4.45%,$63.96,-10.25%,$107.18,50.40%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.34,50.88%,,,,,-100.00%,-$2.00,-688.24%,-$2.00,-688.24%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$9.28,-18.21%,,,,$9.72,4.74%,$19.25,107.46%,$39.59,326.63%,ADTN,NASDAQ:ADTN
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,2,$109.14,-4.06%,-4.06%,$104.71,$104.71,$113.25,3.77%,-$25.35,-123.23%,$43.38,-60.26%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.24,1.70%,,,,$13.77,4.00%,-$55.92,-522.36%,-$51.61,-489.78%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.50,14.84%,,,,$16.61,7.16%,$55.40,257.45%,$81.71,427.19%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$12.14,-36.94%,,,,$12.96,6.75%,$13.65,12.44%,$21.11,73.85%,AG,NYSE:AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,,$34.18,-47.35%,,,,$35.76,4.62%,$42.35,23.89%,$51.42,50.44%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,,$172.93,33.20%,,,,$188.01,8.72%,"-$1,722.67",-1096.17%,"-$1,382.96",-899.72%,AGM,NYSE:AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.84,14.35%,,,,$9.81,-0.30%,-$68.53,-796.43%,-$68.17,-792.83%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$84.65,18.40%,,,,$88.08,4.05%,$57.82,-31.70%,$57.92,-31.58%,AGO,NYSE:AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$8.05,16.77%,,,,$8.55,6.21%,$23.21,188.28%,$53.72,567.36%,AGRO,NYSE:AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$77.98,8.69%,,,,$79.40,1.82%,-$50.95,-165.34%,$16.30,-79.09%,AIG,NYSE:AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$53.56,24.72%,,,,$55.01,2.71%,$56.40,5.30%,$83.01,54.99%,AIN,NYSE:AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$7.42,-32.61%,,,,$7.18,-3.23%,$8.98,21.00%,$10.98,48.02%,AIRS,NASDAQ:AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,4,$215.62,2.88%,2.88%,$221.82,$239.50,$219.82,1.95%,-$167.13,-177.51%,-$120.60,-155.93%,AIZ,NYSE:AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.51,-21.48%,,,,$64.20,1.09%,-$216.17,-440.38%,-$147.68,-332.54%,AL,NYSE:AL
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$73.92,10.19%,,,,$77.61,4.99%,$114.14,54.42%,$162.22,119.45%,ALC,NYSE:ALC
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$18.22,0.94%,,,,$18.76,2.96%,$21.78,19.55%,$31.69,73.93%,ALEX,NYSE:ALEX
NYSE:ALIT,10 Sep 2025,$6.24,3,$6.75,4,2.5,$3.25,92.03%,92.03%,$6.24,$6.75,$3.44,5.85%,$2.48,-23.81%,$12.81,294.28%,ALIT,NYSE:ALIT
NYSE:ALL,11 Sep 2025,$182.73,2,,,2,$212.76,-14.11%,-14.11%,$182.73,$182.73,$214.69,0.91%,$370.24,74.02%,$445.12,109.21%,ALL,NYSE:ALL
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$40.16,3.41%,,,,$44.26,10.21%,-$438.47,-1191.80%,-$459.87,-1245.09%,ALLY,NYSE:ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$22.62,-4.95%,,,,$23.93,5.79%,-$148.33,-755.76%,-$142.59,-730.37%,ALRS,NASDAQ:ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,,$3.10,71.94%,,,,$3.89,25.48%,$0.00,-100.00%,$0.00,-100.00%,ALTS,NASDAQ:ALTS
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,,$8.34,3.86%,,,,$9.18,10.07%,$5.55,-33.48%,$7.04,-15.56%,ALVO,NASDAQ:ALVO
NASDAQ:AMAL,2 Sep 2025,$30.79,3,$33.33,1,1.75,$27.69,11.19%,11.19%,$30.79,$33.33,$29.39,6.14%,-$165.53,-697.80%,-$164.15,-692.80%,AMAL,NASDAQ:AMAL
