Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$32.35,26.27%,,,,$33.18,2.57%,$53.22,64.52%,$81.01,150.41%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.46,-0.07%,,,,$12.80,2.73%,-$55.76,-547.53%,-$51.05,-509.72%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$94.69,-30.56%,-30.56%,$65.75,$65.75,$95.31,0.65%,$105.16,11.06%,$113.42,19.78%,AAON,NASDAQ:AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.31,8.23%,8.23%,$2.50,$2.63,$2.28,-1.30%,$3.21,38.96%,$4.04,74.73%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$45.62,22.27%,22.27%,$55.78,$58.40,$47.47,4.06%,$72.48,58.89%,$90.93,99.31%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.12,77.01%,,,,$4.00,-2.91%,$10.89,164.42%,$19.36,369.99%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,3.75,$11.19,15.34%,15.34%,$12.91,$15.00,$11.55,3.22%,$11.53,3.08%,$13.09,16.99%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$88.40,10.04%,10.04%,$97.27,$108.00,$90.43,2.30%,$166.50,88.35%,$175.57,98.61%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$10.00,-12.60%,,,,$10.00,0.00%,$10.68,6.78%,$10.72,7.17%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$237.03,11.41%,11.41%,$264.08,$333.45,$241.94,2.07%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,3,$10.29,4.20%,4.20%,$10.72,$10.72,$10.95,6.41%,$9.40,-8.62%,$11.75,14.23%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,4,$71.04,11.57%,11.57%,$79.26,$81.90,$74.18,4.42%,$64.21,-9.62%,$107.26,50.99%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$9.65,-21.35%,,,,$9.92,2.80%,$19.25,99.45%,$39.51,309.44%,ADTN,NASDAQ:ADTN
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,2,$106.99,-2.13%,-2.13%,$104.71,$104.71,$111.32,4.05%,-$27.25,-125.47%,$41.24,-61.45%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.36,0.79%,,,,$13.05,-2.32%,-$56.23,-520.86%,-$51.91,-488.58%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.85,12.30%,,,,$16.27,2.65%,$54.71,245.18%,$80.92,410.53%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$12.27,-37.61%,,,,$11.00,-10.35%,$12.46,1.53%,$19.89,62.11%,AG,NYSE:AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,,$33.47,-46.24%,,,,$33.22,-0.75%,$41.28,23.35%,$50.32,50.36%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$181.68,26.78%,26.78%,$230.34,$230.34,$187.37,3.13%,"-$1,724.71",-1049.31%,"-$1,386.43",-863.12%,AGM,NYSE:AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.83,14.47%,,,,$9.79,-0.41%,-$68.34,-795.26%,-$67.99,-791.65%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$83.96,19.37%,,,,$83.86,-0.12%,$56.12,-33.16%,$56.22,-33.04%,AGO,NYSE:AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,2.25,$8.24,14.08%,14.08%,$9.40,$9.55,$8.03,-2.55%,$22.80,176.68%,$53.26,546.31%,AGRO,NYSE:AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$76.80,10.36%,,,,$78.01,1.58%,-$52.06,-167.79%,$15.06,-80.39%,AIG,NYSE:AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$56.41,18.42%,,,,$55.38,-1.83%,$58.10,2.99%,$84.66,50.08%,AIN,NYSE:AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$7.41,-32.52%,,,,$6.25,-15.65%,$8.23,11.13%,$10.23,38.09%,AIRS,NASDAQ:AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,4,$211.37,4.94%,4.94%,$221.82,$239.50,$215.34,1.88%,-$173.04,-181.87%,-$126.60,-159.90%,AIZ,NYSE:AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.60,-21.59%,,,,$64.69,1.71%,-$216.09,-439.76%,-$147.74,-332.30%,AL,NYSE:AL
NYSE:ALC,27 Aug 2025,$81.45,1,,,1,$76.50,6.47%,6.47%,$81.45,$81.45,$78.23,2.26%,$116.19,51.89%,$164.08,114.49%,ALC,NYSE:ALC
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$18.34,0.28%,,,,$18.89,3.00%,$22.00,19.98%,$31.87,73.80%,ALEX,NYSE:ALEX
NYSE:ALIT,10 Sep 2025,$6.24,3,$6.75,4,2.5,$3.31,88.55%,88.55%,$6.24,$6.75,$3.47,4.83%,$2.64,-20.25%,$12.95,291.23%,ALIT,NYSE:ALIT
NYSE:ALL,11 Sep 2025,$182.73,2,,,2,$208.60,-12.40%,-12.40%,$182.73,$182.73,$212.41,1.83%,$364.95,74.95%,$439.53,110.71%,ALL,NYSE:ALL
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$43.71,-4.99%,,,,$44.95,2.84%,-$436.35,-1098.29%,-$457.68,-1147.08%,ALLY,NYSE:ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$23.32,-7.80%,,,,$23.58,1.11%,-$148.15,-735.28%,-$142.41,-710.70%,ALRS,NASDAQ:ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,,$3.85,38.44%,,,,$3.73,-3.12%,$0.00,-100.00%,$0.00,-100.00%,ALTS,NASDAQ:ALTS
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,,$9.00,-3.76%,,,,$7.89,-12.33%,$4.84,-46.27%,$6.33,-29.71%,ALVO,NASDAQ:ALVO
NASDAQ:AMAL,2 Sep 2025,$30.79,3,$33.33,1,1.75,$28.24,9.02%,9.02%,$30.79,$33.33,$28.96,2.55%,-$165.27,-685.23%,-$163.89,-680.34%,AMAL,NASDAQ:AMAL
NYSE:AMBC,3 Sep 2025,$10.68,3,$12.50,2,2,$9.11,17.24%,17.24%,$10.68,$12.50,$9.11,0.00%,-$113.24,-1342.98%,-$99.57,-1192.96%,AMBC,NYSE:AMBC
NYSE:AMBP,29 Aug 2025,$5.14,4,$4.41,6,3.5,$3.86,14.25%,14.25%,$4.41,$5.14,$3.87,0.26%,$7.50,94.20%,$17.76,360.22%,AMBP,NYSE:AMBP
NYSE:AMCR,5 Sep 2025,$10.29,5,$10.77,8,4.5,$8.21,25.36%,25.36%,$10.29,$10.77,$8.51,3.65%,$10.35,26.09%,$15.36,87.03%,AMCR,NYSE:AMCR
NYSE:AMPY,26 Aug 2025,$6.99,3,,,3,$4.68,49.44%,49.44%,$6.99,$6.99,$4.57,-2.35%,$25.73,449.79%,$66.99,1331.44%,AMPY,NYSE:AMPY
