Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$30.65,33.27%,33.27%,$40.85,$40.85,$33.23,8.42%,$49.89,62.79%,$98.12,220.15%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.36,-6.80%,,,,$13.77,3.07%,-$55.25,-513.55%,-$50.54,-478.30%,AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$81.24,-19.07%,-19.07%,$65.75,$65.75,$88.81,9.32%,$96.19,18.40%,$104.34,28.43%,AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.22,12.61%,12.61%,$2.50,$2.63,$2.31,4.05%,$3.14,41.55%,$3.96,78.48%,ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$48.88,14.12%,14.12%,$55.78,$58.40,$51.05,4.44%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.96,84.17%,,,,$4.13,4.29%,$10.61,167.87%,$19.01,380.13%,ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$92.19,5.51%,5.51%,$97.27,$108.00,$95.82,3.94%,$166.39,80.49%,$175.33,90.18%,ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.79,-0.57%,,,,$9.43,7.28%,$9.77,11.15%,$9.81,11.59%,ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$257.14,2.70%,2.70%,$264.08,$333.45,$273.58,6.39%,$608.49,136.64%,$644.01,150.45%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.39,31.54%,,,,,-100.00%,-$2.00,-612.82%,-$2.00,-612.82%,ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$9.27,-18.12%,-18.12%,$7.59,$7.59,$9.90,6.80%,$18.83,103.14%,$38.80,318.57%,ADTN
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.36,0.79%,,,,$13.46,0.75%,-$55.72,-517.07%,-$51.42,-484.89%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.92,19.30%,,,,$15.54,4.16%,$53.31,257.30%,$79.12,430.27%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$9.12,-16.06%,-16.06%,$7.66,$7.66,$9.60,5.26%,$10.93,19.84%,$18.28,100.39%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$31.07,-42.08%,-42.08%,$18.00,$18.00,$31.47,1.29%,$39.30,26.50%,$48.67,56.64%,AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$207.97,10.76%,10.76%,$230.34,$230.34,$204.74,-1.55%,"-$1,719.80",-926.95%,"-$1,387.13",-766.99%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.70,16.00%,,,,$10.08,3.92%,-$69.53,-816.75%,-$69.17,-813.06%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$81.89,22.39%,,,,$84.70,3.43%,$52.92,-35.37%,$53.02,-35.25%,AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,2.25,$8.42,11.64%,11.64%,$9.40,$9.55,$9.07,7.72%,$23.13,174.70%,$53.36,533.68%,AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$80.20,5.69%,,,,$85.58,6.71%,-$48.49,-160.46%,$18.14,-77.38%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$62.13,7.52%,7.52%,$66.80,$77.61,$66.75,7.44%,$65.08,4.74%,$91.44,47.18%,AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,2.75,$6.34,-21.14%,-21.14%,$5.00,$6.69,$7.20,13.56%,$8.08,27.47%,$10.05,58.53%,AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,4,$214.11,3.60%,3.60%,$221.82,$239.50,$227.07,6.05%,-$168.31,-178.61%,-$122.24,-157.09%,AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$64.06,-22.15%,,,,$62.00,-3.22%,-$210.62,-428.79%,-$137.20,-314.18%,AL
NYSE:ALC,27 Aug 2025,$81.45,1,,,1,$79.04,3.05%,3.05%,$81.45,$81.45,$83.29,5.38%,$117.89,49.16%,$165.06,108.83%,ALC
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$19.31,-4.76%,,,,$19.94,3.26%,$22.79,18.03%,$32.51,68.37%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.84,149.84%,,,,$4.12,7.29%,$3.12,-18.86%,$13.32,246.75%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$40.55,2.42%,,,,$42.75,5.43%,-$440.01,-1185.09%,-$461.04,-1236.97%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$22.20,-3.15%,,,,$23.31,5.00%,-$149.15,-771.85%,-$143.46,-746.23%,ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,2,$6.03,-11.61%,-11.61%,$5.33,$5.33,$9.12,51.24%,$0.00,-100.00%,$0.00,-100.00%,ALTS
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,3,$8.07,7.34%,7.34%,$8.66,$8.66,$8.41,4.21%,$4.98,-38.32%,$6.45,-20.06%,ALVO
NYSE:AMBP,29 Aug 2025,$5.14,4,$4.41,6,3.5,$3.67,20.16%,20.16%,$4.41,$5.14,$3.84,4.63%,$7.16,95.20%,$17.32,371.95%,AMBP
NYSE:AMCR,31 Aug 2025,$10.67,5,$10.72,8,4.5,$8.51,25.37%,25.37%,$10.67,$10.72,$9.09,6.82%,$10.61,24.65%,$15.58,83.03%,AMCR
NYSE:AMPY,26 Aug 2025,$6.99,3,,,3,$4.02,73.98%,73.98%,$6.99,$6.99,$4.24,5.47%,$24.85,518.15%,$65.41,1527.13%,AMPY
NASDAQ:AMRK,30 Aug 2025,$28.71,3,$43.50,2,2,$23.46,22.37%,22.37%,$28.71,$43.50,$22.40,-4.52%,$0.00,-100.00%,$0.00,-100.00%,AMRK
NASDAQ:AMSF,26 Aug 2025,$45.99,3,,,3,$45.96,0.06%,0.06%,$45.99,$45.99,$48.64,5.83%,$22.82,-50.35%,$23.75,-48.32%,AMSF
