Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$32.72,24.84%,,,,$33.18,1.41%,$54.34,66.06%,$82.42,151.91%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.51,-0.47%,,,,$13.15,5.12%,-$55.21,-541.33%,-$50.50,-503.65%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$83.83,-21.57%,-21.57%,$65.75,$65.75,$86.23,2.86%,$94.58,12.83%,$103.00,22.87%,AAON,NASDAQ:AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.34,6.84%,6.84%,$2.50,$2.63,$2.36,0.85%,$3.28,40.15%,$4.11,75.80%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$45.35,23.00%,23.00%,$55.78,$58.40,$47.27,4.23%,$73.50,62.07%,$92.12,103.13%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.21,73.23%,,,,$4.01,-4.75%,$11.16,165.01%,$19.71,368.13%,ACCO,NYSE:ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$88.53,9.88%,9.88%,$97.27,$108.00,$89.46,1.05%,$169.64,91.62%,$178.89,102.07%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.10,-3.96%,,,,$9.37,2.97%,$9.82,7.87%,$9.85,8.29%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$239.50,10.27%,10.27%,$264.08,$333.45,$240.03,0.22%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$9.28,-18.21%,-18.21%,$7.59,$7.59,$9.16,-1.29%,$18.90,103.65%,$39.54,326.13%,ADTN,NASDAQ:ADTN
NYSE:AES,11 Jul 2025,$13.47,3,,,,$12.65,6.44%,,,,$12.44,-1.66%,-$56.79,-548.90%,-$52.47,-514.76%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.92,11.81%,,,,$16.06,0.88%,$55.82,250.60%,$82.54,418.48%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$9.78,-21.73%,,,,$9.99,2.15%,$11.95,22.18%,$19.49,99.33%,AG,NYSE:AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,,$31.06,-42.06%,,,,$31.64,1.87%,$40.57,30.63%,$49.79,60.30%,AGI,NYSE:AGI
