Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$30.88,32.28%,32.28%,$40.85,$40.85,$32.11,3.98%,$48.57,57.29%,$96.74,213.29%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.91,-10.49%,,,,$13.91,0.00%,-$55.28,-497.41%,-$50.57,-463.56%,AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$81.65,-19.47%,-19.47%,$65.75,$65.75,$85.33,4.51%,$94.89,16.21%,$103.02,26.17%,AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.13,17.37%,17.37%,$2.50,$2.63,$2.28,7.04%,$3.09,45.14%,$3.91,83.60%,ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$48.71,14.51%,14.51%,$55.78,$58.40,$50.85,4.39%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.97,83.70%,,,,$4.09,3.02%,$10.51,164.78%,$18.91,376.31%,ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$91.31,6.53%,6.53%,$97.27,$108.00,$96.14,5.29%,$166.00,81.79%,$174.91,91.56%,ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.64,1.16%,,,,$9.06,4.86%,$9.42,9.03%,$9.46,9.47%,ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$252.31,4.67%,4.67%,$264.08,$333.45,$274.48,8.79%,$0.00,-100.00%,$0.00,-100.00%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.38,35.00%,,,,,-100.00%,-$2.00,-626.32%,-$2.00,-626.32%,ADIL
