Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$31.02,31.68%,31.68%,$40.85,$40.85,$32.36,4.32%,$48.42,56.10%,$96.31,210.48%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.93,-3.70%,,,,$14.44,11.68%,-$55.48,-529.08%,-$50.77,-492.67%,AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$80.93,-18.76%,-18.76%,$65.75,$65.75,$86.65,7.07%,$93.23,15.20%,$101.29,25.15%,AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.19,14.16%,14.16%,$2.50,$2.63,$2.22,1.37%,$3.05,39.12%,$3.86,76.35%,ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$48.09,15.99%,15.99%,$55.78,$58.40,$50.70,5.43%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.01,81.87%,,,,$4.13,2.99%,$10.36,158.47%,$18.72,366.90%,ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$92.48,5.18%,5.18%,$97.27,$108.00,$96.75,4.62%,$165.40,78.85%,$174.23,88.40%,ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.43,3.68%,,,,$8.95,6.17%,$9.21,9.27%,$9.25,9.72%,ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$252.89,4.43%,4.43%,$264.08,$333.45,$267.76,5.88%,$0.00,-100.00%,$0.00,-100.00%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$9.60,-20.94%,-20.94%,$7.59,$7.59,$9.78,1.88%,$18.52,92.87%,$38.27,298.65%,ADTN
NYSE:AES,11 Jul 2025,$13.47,3,,,,$12.72,5.86%,,,,$12.97,1.97%,-$56.02,-540.40%,-$51.72,-506.63%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.90,19.46%,,,,$15.54,4.30%,$52.63,253.25%,$78.15,424.48%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$9.09,-15.79%,-15.79%,$7.66,$7.66,$10.08,10.89%,$11.22,23.48%,$18.51,103.58%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$31.61,-43.07%,-43.07%,$18.00,$18.00,$32.85,3.92%,$40.70,28.75%,$49.96,58.04%,AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$205.11,12.30%,12.30%,$230.34,$230.34,$200.53,-2.23%,"-$1,739.99",-948.32%,"-$1,411.42",-788.13%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$10.20,10.31%,,,,$10.29,0.88%,-$69.41,-780.48%,-$69.05,-776.97%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$82.36,21.69%,,,,$83.63,1.54%,$51.19,-37.85%,$51.29,-37.73%,AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,2.25,$8.26,13.80%,13.80%,$9.40,$9.55,$8.84,7.02%,$22.81,176.16%,$52.86,540.01%,AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$81.73,3.71%,,,,$83.87,2.62%,-$49.05,-160.02%,$17.21,-78.94%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$62.22,7.36%,7.36%,$66.80,$77.61,$66.11,6.25%,$62.17,-0.08%,$88.39,42.06%,AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,2.75,$5.96,-16.11%,-16.11%,$5.00,$6.69,$9.60,61.07%,$7.87,32.10%,$9.82,64.79%,AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,4,$216.70,2.36%,2.36%,$221.82,$239.50,$221.73,2.32%,-$169.98,-178.44%,-$124.17,-157.30%,AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.63,-21.63%,,,,$65.66,3.19%,-$207.01,-425.34%,-$134.08,-310.71%,AL
NYSE:ALC,27 Aug 2025,$81.45,1,,,1,$78.69,3.51%,3.51%,$81.45,$81.45,$81.81,3.96%,$116.18,47.64%,$162.81,106.90%,ALC
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$19.00,-3.21%,,,,$19.72,3.79%,$22.28,17.25%,$31.89,67.83%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.78,153.81%,,,,$4.13,9.26%,$3.11,-17.76%,$13.23,249.91%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$41.37,0.39%,,,,$42.63,3.05%,-$440.55,-1164.90%,-$461.37,-1215.23%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$22.83,-5.83%,,,,$23.33,2.19%,-$149.06,-752.91%,-$143.40,-728.14%,ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,2,$3.87,37.73%,37.73%,$5.33,$5.33,$5.98,54.52%,$0.00,-100.00%,$0.00,-100.00%,ALTS
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,3,$8.05,7.60%,7.60%,$8.66,$8.66,$8.43,4.72%,$4.82,-40.09%,$6.28,-21.94%,ALVO
NYSE:AMBP,29 Aug 2025,$5.14,4,$4.41,6,3.5,$3.54,24.58%,24.58%,$4.41,$5.14,$3.82,7.91%,$6.86,93.91%,$16.94,378.51%,AMBP
NYSE:AMCR,31 Aug 2025,$10.67,5,$10.72,8,4.5,$8.31,28.39%,28.39%,$10.67,$10.72,$8.81,6.02%,$10.24,23.24%,$15.18,82.64%,AMCR
NYSE:AMPY,26 Aug 2025,$6.99,3,,,3,$3.97,76.17%,76.17%,$6.99,$6.99,$4.31,8.56%,$24.36,513.57%,$64.41,1522.38%,AMPY
NASDAQ:AMRK,30 Aug 2025,$28.71,3,$43.50,2,2,$23.71,21.08%,21.08%,$28.71,$43.50,$22.95,-3.21%,$0.00,-100.00%,$0.00,-100.00%,AMRK
NASDAQ:AMSF,26 Aug 2025,$45.99,3,,,3,$46.81,-1.76%,-1.76%,$45.99,$45.99,$48.13,2.82%,$22.55,-51.82%,$23.48,-49.84%,AMSF
NASDAQ:AMWD,30 Aug 2025,$86.63,3,$70.67,6,3,$65.93,7.19%,7.19%,$70.67,$86.63,$62.95,-4.52%,$118.67,80.00%,$179.25,171.89%,AMWD
NYSE:AMX,15 May 2025,$18.21,3,$16.53,3,,$19.54,-15.40%,,,,$20.36,4.20%,$874.74,4376.68%,"$2,730.70",13874.92%,AMX
NYSE:ANF,20 Aug 2025,$127.43,3,$118.44,7,3.25,$93.12,27.19%,27.19%,$118.44,$127.43,$95.51,2.57%,$148.42,59.39%,$204.39,119.49%,ANF
NYSE:AON,29 Aug 2025,$347.01,2,,,2,$371.45,-6.58%,-6.58%,$347.01,$347.01,$387.36,4.28%,$405.95,9.29%,$481.38,29.60%,AON
NASDAQ:APA,12 Aug 2025,$28.49,3,$22.45,7,3.25,$23.44,-4.22%,-4.22%,$22.45,$28.49,$24.27,3.54%,$42.85,82.82%,$102.34,336.62%,APA
NYSE:APD,30 Aug 2025,$296.29,3,$328.83,8,3.5,$289.20,2.45%,2.45%,$296.29,$328.83,$299.15,3.44%,$196.89,-31.92%,$217.64,-24.74%,APD
NYSE:APH,16 Sep 2023,$81.57,2,,,,$112.15,-27.27%,,,,$110.18,-1.76%,$162.09,44.53%,$173.57,54.76%,APH
NASDAQ:API,24 Aug 2025,$3.05,3,,,3,$3.30,-7.73%,-7.73%,$3.05,$3.05,$3.62,9.70%,$0.56,-83.05%,$2.23,-32.37%,API
NASDAQ:APOG,5 May 2025,$66.39,5,$55.00,2,,$43.40,26.73%,,,,$41.22,-5.02%,$0.00,-100.00%,$0.00,-100.00%,APOG
NYSE:AQN,26 Aug 2025,$6.14,4,$6.23,8,4,$5.64,8.93%,8.93%,$6.14,$6.23,$5.84,3.55%,-$3.04,-153.82%,$4.52,-19.80%,AQN
NYSE:AR,20 Aug 2025,$31.31,3,,,3,$32.37,-3.28%,-3.28%,$31.31,$31.31,$33.81,4.45%,$69.86,115.80%,$95.35,194.57%,AR
NYSE:ARCO,29 Aug 2025,$10.31,3,$9.65,9,3.75,$6.89,40.06%,40.06%,$9.65,$10.31,$7.19,4.35%,-$5.02,-172.83%,$20.24,193.77%,ARCO
NASDAQ:ARHS,7 Jul 2025,$13.03,3,$10.27,4,,$11.42,-10.07%,,,,$12.02,5.25%,$24.24,112.22%,$52.08,356.02%,ARHS
NASDAQ:ARKO,26 Aug 2025,$6.50,3,,,3,$4.82,34.95%,34.95%,$6.50,$6.50,$5.24,8.71%,-$16.82,-448.93%,-$4.93,-202.32%,ARKO
