Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$32.71,24.88%,,,,$31.71,-3.06%,$53.34,63.06%,$81.06,147.81%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$11.31,10.09%,,,,$11.43,1.06%,-$57.01,-604.03%,-$52.29,-562.38%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$91.01,-27.76%,,,,$93.22,2.43%,$104.52,14.84%,$112.75,23.89%,AAON,NASDAQ:AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,,$2.30,8.70%,,,,$2.36,2.61%,$3.21,39.48%,$4.03,75.34%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$45.78,21.84%,21.84%,$55.78,$58.40,$46.92,2.49%,$72.33,57.99%,$90.74,98.20%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.06,79.63%,,,,$4.05,-0.25%,$10.80,166.06%,$19.26,374.27%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,3.75,$11.37,13.52%,13.52%,$12.91,$15.00,$11.56,1.67%,$11.66,2.56%,$13.22,16.26%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$90.88,7.03%,,,,$92.95,2.28%,$168.16,85.04%,$177.20,94.98%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.28,-5.82%,,,,$10.03,8.08%,$10.10,8.82%,$10.14,9.23%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$238.97,10.51%,10.51%,$264.08,$333.45,$246.08,2.98%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,3,$9.76,9.86%,9.86%,$10.72,$10.72,$10.43,6.86%,$8.76,-10.25%,$11.11,13.79%,ACVA,NYSE:ACVA
