Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$32.46,25.84%,,,,$33.57,3.42%,$53.43,64.60%,$81.30,150.47%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.45,0.01%,,,,$12.97,4.18%,-$55.61,-546.65%,-$50.90,-508.80%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$91.56,-28.19%,-28.19%,$65.75,$65.75,$94.28,2.97%,$105.30,15.00%,$113.61,24.08%,AAON,NASDAQ:AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.30,8.70%,8.70%,$2.50,$2.63,$2.29,-0.43%,$3.22,40.12%,$4.05,76.15%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$45.03,23.87%,23.87%,$55.78,$58.40,$47.42,5.31%,$72.77,61.60%,$91.26,102.67%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.10,77.88%,,,,$4.13,0.73%,$10.97,167.62%,$19.47,374.79%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,3.75,$11.06,16.70%,16.70%,$12.91,$15.00,$11.56,4.52%,$11.54,4.38%,$13.10,18.45%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$88.40,10.04%,10.04%,$97.27,$108.00,$89.41,1.14%,$167.74,89.75%,$176.87,100.08%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.86,-11.36%,,,,$10.14,2.84%,$10.68,8.29%,$10.72,8.68%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$239.70,10.17%,10.17%,$264.08,$333.45,$244.76,2.11%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,3,$10.40,3.10%,3.10%,$10.72,$10.72,$10.91,4.90%,$9.41,-9.54%,$11.77,13.14%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,4,$71.22,11.29%,11.29%,$79.26,$81.90,$74.40,4.47%,$64.64,-9.24%,$107.94,51.57%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$9.50,-20.11%,-20.11%,$7.59,$7.59,$9.92,4.42%,$19.36,103.79%,$39.74,318.28%,ADTN,NASDAQ:ADTN
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,2,$107.06,-2.20%,-2.20%,$104.71,$104.71,$111.26,3.92%,-$27.13,-125.34%,$41.72,-61.04%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.05,3.18%,,,,$12.85,-1.53%,-$56.23,-530.90%,-$51.92,-497.84%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.82,12.52%,,,,$16.04,1.39%,$55.00,247.68%,$81.36,414.31%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$10.62,-27.92%,,,,$10.05,-5.37%,$12.48,17.47%,$19.94,87.78%,AG,NYSE:AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,,$32.34,-44.36%,,,,$31.59,-2.32%,$41.36,27.89%,$50.45,56.01%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$183.60,25.46%,25.46%,$230.34,$230.34,$192.92,5.08%,"-$1,716.54",-1034.93%,"-$1,376.11",-849.52%,AGM,NYSE:AGM
