Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$32.19,26.89%,26.89%,$40.85,$40.85,$33.22,3.20%,$49.89,55.00%,$98.12,204.83%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.37,-6.87%,,,,$13.77,2.99%,-$55.25,-513.24%,-$50.54,-478.02%,AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$82.95,-20.74%,-20.74%,$65.75,$65.75,$88.84,7.10%,$96.19,15.96%,$104.34,25.78%,AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.24,11.61%,11.61%,$2.50,$2.63,$2.31,3.13%,$3.14,40.29%,$3.96,76.89%,ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$49.17,13.44%,13.44%,$55.78,$58.40,$51.04,3.80%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.02,81.42%,,,,$4.13,2.74%,$10.61,163.87%,$19.01,372.96%,ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$91.53,6.27%,6.27%,$97.27,$108.00,$95.33,4.15%,$166.39,81.79%,$175.33,91.55%,ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.95,-2.35%,,,,$9.44,5.47%,$9.77,9.16%,$9.81,9.59%,ACHR
NYSE:ACN,25 Aug 2025,$264.08,4,$337.22,9,4.25,$259.97,1.58%,1.58%,$264.08,$337.22,$273.96,5.38%,$608.49,134.06%,$644.01,147.72%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.38,35.00%,,,,,-100.00%,-$2.00,-626.32%,-$2.00,-626.32%,ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$9.38,-19.08%,-19.08%,$7.59,$7.59,$9.89,5.44%,$18.83,100.76%,$38.80,313.66%,ADTN
