Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$32.71,24.88%,,,,$31.72,-3.03%,$53.20,62.64%,$80.86,147.21%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$11.31,10.09%,,,,$11.42,0.97%,-$57.11,-604.93%,-$52.40,-563.28%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$91.01,-27.76%,,,,$93.20,2.41%,$104.43,14.74%,$112.63,23.76%,AAON,NASDAQ:AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,,$2.30,8.70%,,,,$2.36,2.61%,$3.21,39.40%,$4.03,75.19%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$45.78,21.84%,,,,$47.25,3.21%,$72.86,59.16%,$91.24,99.29%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.06,79.63%,,,,$4.04,-0.49%,$10.75,164.78%,$19.19,372.60%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,3.75,$11.37,13.52%,13.52%,$12.91,$15.00,$11.78,3.61%,$11.82,3.94%,$13.38,17.64%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$90.88,7.03%,,,,$92.73,2.04%,$167.35,84.14%,$176.35,94.05%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.28,-5.82%,,,,$10.03,8.08%,$10.10,8.83%,$10.14,9.24%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$238.97,10.51%,10.51%,$264.08,$333.45,$247.40,3.53%,$544.32,127.78%,$611.53,155.90%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,3,$9.76,9.86%,9.86%,$10.72,$10.72,$10.43,6.86%,$8.76,-10.29%,$11.10,13.70%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,4,$71.26,11.23%,11.23%,$79.26,$81.90,$74.15,4.06%,$63.68,-10.64%,$106.40,49.31%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.34,50.88%,,,,,-100.00%,-$2.00,-688.24%,-$2.00,-688.24%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$9.28,-18.21%,,,,$9.77,5.28%,$18.88,103.42%,$38.99,320.19%,ADTN,NASDAQ:ADTN
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,2,$109.14,-4.06%,-4.06%,$104.71,$104.71,$112.91,3.45%,-$25.33,-123.21%,$42.70,-60.88%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.24,1.70%,,,,$13.28,0.30%,-$56.03,-523.18%,-$51.72,-490.63%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.50,14.84%,,,,$16.04,3.48%,$54.01,248.43%,$80.01,416.21%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$12.14,-36.94%,,,,$11.86,-2.31%,$13.95,14.94%,$21.34,75.80%,AG,NYSE:AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,,$34.18,-47.35%,,,,$34.84,1.93%,$43.02,25.88%,$52.00,52.12%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,,$172.93,33.20%,,,,$180.78,4.54%,"-$1,745.99",-1109.65%,"-$1,410.54",-915.67%,AGM,NYSE:AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.84,14.35%,,,,$9.89,0.51%,-$68.52,-796.38%,-$68.17,-792.78%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$84.65,18.40%,,,,$85.24,0.70%,$56.25,-33.55%,$56.35,-33.43%,AGO,NYSE:AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$8.05,16.77%,,,,$8.08,0.37%,$22.83,183.65%,$53.18,560.56%,AGRO,NYSE:AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$77.98,8.69%,,,,$80.22,2.87%,-$51.45,-165.97%,$15.43,-80.21%,AIG,NYSE:AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$53.56,24.72%,,,,$53.94,0.71%,$55.23,3.11%,$81.69,52.52%,AIN,NYSE:AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$7.42,-32.61%,,,,$7.26,-2.16%,$9.08,22.34%,$11.06,49.07%,AIRS,NASDAQ:AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$215.62,2.88%,,,,$218.22,1.21%,-$167.66,-177.76%,-$121.41,-156.31%,AIZ,NYSE:AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.51,-21.48%,,,,$64.05,0.85%,-$216.15,-440.34%,-$148.11,-333.20%,AL,NYSE:AL
