Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$32.46,25.84%,,,,$33.53,3.30%,$53.43,64.60%,$81.30,150.47%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.45,0.01%,,,,$12.99,4.34%,-$55.61,-546.65%,-$50.90,-508.80%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$91.56,-28.19%,-28.19%,$65.75,$65.75,$94.27,2.96%,$105.30,15.00%,$113.61,24.08%,AAON,NASDAQ:AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.30,8.70%,8.70%,$2.50,$2.63,$2.28,-0.87%,$3.21,39.69%,$4.04,75.71%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$45.03,23.87%,23.87%,$55.78,$58.40,$47.63,5.77%,$72.77,61.60%,$91.26,102.67%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.10,77.88%,,,,$4.12,0.49%,$10.97,167.62%,$19.47,374.79%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,3.75,$11.06,16.70%,16.70%,$12.91,$15.00,$11.57,4.61%,$11.55,4.47%,$13.11,18.54%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$88.40,10.04%,10.04%,$97.27,$108.00,$89.35,1.07%,$167.74,89.75%,$176.87,100.08%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.86,-11.36%,,,,$10.13,2.74%,$10.68,8.29%,$10.72,8.68%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$239.70,10.17%,10.17%,$264.08,$333.45,$244.67,2.07%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,3,$10.40,3.10%,3.10%,$10.72,$10.72,$10.94,5.19%,$9.41,-9.54%,$11.77,13.14%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,4,$71.22,11.29%,11.29%,$79.26,$81.90,$74.49,4.59%,$64.64,-9.24%,$107.94,51.57%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$9.50,-20.11%,,,,$9.92,4.42%,$19.36,103.79%,$39.74,318.28%,ADTN,NASDAQ:ADTN
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,2,$107.06,-2.20%,-2.20%,$104.71,$104.71,$111.24,3.90%,-$27.13,-125.34%,$41.72,-61.04%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.05,3.18%,,,,$12.85,-1.53%,-$56.23,-530.90%,-$51.92,-497.84%,AES,NYSE:AES
