Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$31.87,28.17%,28.17%,$40.85,$40.85,$32.60,2.29%,$52.32,64.15%,$80.37,152.19%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.86,-3.18%,,,,$13.46,4.67%,-$54.92,-527.09%,-$50.21,-490.43%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$83.70,-21.45%,-21.45%,$65.75,$65.75,$86.78,3.68%,$99.01,18.29%,$107.41,28.33%,AAON,NASDAQ:AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.29,9.17%,9.17%,$2.50,$2.63,$2.26,-1.31%,$3.18,38.81%,$4.01,75.20%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$46.59,19.73%,19.73%,$55.78,$58.40,$47.27,1.46%,$74.32,59.53%,$92.93,99.45%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.09,78.31%,,,,$4.06,-0.73%,$11.01,169.20%,$19.55,378.08%,ACCO,NYSE:ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$91.49,6.32%,6.32%,$97.27,$108.00,$92.38,0.97%,$172.46,88.51%,$181.70,98.60%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.64,1.16%,,,,$8.76,1.39%,$9.07,4.93%,$9.10,5.38%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$243.26,8.56%,8.56%,$264.08,$333.45,$257.01,5.65%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$10.33,-26.52%,-26.52%,$7.59,$7.59,$10.22,-1.06%,$20.43,97.78%,$41.04,297.26%,ADTN,NASDAQ:ADTN
NYSE:AES,11 Jul 2025,$13.47,3,,,,$12.92,4.22%,,,,$13.12,1.55%,-$56.55,-537.72%,-$52.24,-504.37%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.54,14.54%,,,,$15.23,-1.99%,$54.97,253.71%,$81.64,425.35%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$10.21,-25.02%,,,,$9.09,-10.97%,$11.32,10.90%,$18.86,84.69%,AG,NYSE:AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$32.93,-45.35%,-45.35%,$18.00,$18.00,$33.91,2.98%,$42.29,28.43%,$51.49,56.37%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$197.39,16.69%,16.69%,$230.34,$230.34,$206.12,4.42%,"-$1,686.98",-954.64%,"-$1,342.18",-779.96%,AGM,NYSE:AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$10.26,9.67%,,,,$10.32,0.58%,-$67.95,-762.28%,-$67.60,-758.82%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$82.30,21.78%,,,,$82.30,0.00%,$56.29,-31.61%,$56.39,-31.48%,AGO,NYSE:AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,2.25,$8.21,14.49%,14.49%,$9.40,$9.55,$8.31,1.22%,$23.31,183.93%,$54.03,558.14%,AGRO,NYSE:AGRO
