Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$31.83,28.33%,28.33%,$40.85,$40.85,$30.97,-2.70%,$49.31,54.93%,$97.83,207.37%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.08,-4.81%,,,,$13.87,6.04%,-$55.51,-524.36%,-$50.80,-488.35%,AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$81.15,-18.98%,-18.98%,$65.75,$65.75,$83.29,2.64%,$94.87,16.91%,$103.09,27.04%,AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.23,12.11%,12.11%,$2.50,$2.63,$2.26,1.35%,$3.10,38.88%,$3.92,75.83%,ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$48.26,15.58%,15.58%,$55.78,$58.40,$50.00,3.61%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.04,80.52%,,,,$4.11,1.73%,$10.75,165.99%,$19.19,375.04%,ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$91.29,6.55%,6.55%,$97.27,$108.00,$96.25,5.43%,$169.09,85.23%,$178.11,95.11%,ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.50,2.82%,,,,$8.39,-1.29%,$9.27,9.04%,$9.31,9.50%,ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$254.95,3.58%,3.58%,$264.08,$333.45,$261.38,2.52%,$0.00,-100.00%,$0.00,-100.00%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$9.75,-22.15%,-22.15%,$7.59,$7.59,$10.09,3.49%,$19.30,98.00%,$39.46,304.69%,ADTN
NYSE:AES,11 Jul 2025,$13.47,3,,,,$12.93,4.14%,,,,$13.69,5.88%,-$56.04,-533.41%,-$51.74,-500.14%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.04,18.35%,,,,$14.75,-1.93%,$53.48,255.60%,$79.54,428.85%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$9.15,-16.34%,-16.34%,$7.66,$7.66,$9.16,0.11%,$10.89,19.01%,$18.29,99.89%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$32.19,-44.10%,-44.10%,$18.00,$18.00,$32.67,1.49%,$40.55,25.97%,$50.00,55.34%,AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$205.35,12.17%,12.17%,$230.34,$230.34,$206.78,0.70%,"-$1,710.48",-932.96%,"-$1,374.33",-769.26%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$10.37,8.51%,,,,$10.08,-2.80%,-$69.02,-765.60%,-$68.66,-762.15%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$82.18,21.96%,,,,$84.41,2.71%,$54.86,-33.25%,$54.96,-33.12%,AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,2.25,$8.28,13.53%,13.53%,$9.40,$9.55,$8.68,4.83%,$23.09,178.90%,$53.46,545.68%,AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$79.21,7.01%,,,,$83.27,5.13%,-$47.60,-160.09%,$19.34,-75.59%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$62.32,7.19%,7.19%,$66.80,$77.61,$64.26,3.11%,$64.28,3.15%,$90.77,45.65%,AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,2.75,$5.88,-14.97%,-14.97%,$5.00,$6.69,$5.87,-0.17%,$7.56,28.65%,$9.55,62.44%,AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,4,$211.17,5.04%,5.04%,$221.82,$239.50,$217.68,3.08%,-$166.61,-178.90%,-$120.31,-156.97%,AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.70,-21.71%,,,,$64.19,0.77%,-$207.26,-425.37%,-$133.42,-309.46%,AL
NYSE:ALC,27 Aug 2025,$81.45,1,,,1,$80.17,1.60%,1.60%,$81.45,$81.45,$82.20,2.53%,$117.55,46.62%,$165.16,106.01%,ALC
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$19.44,-5.40%,,,,$19.15,-1.49%,$22.72,16.85%,$32.53,67.33%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.78,153.81%,,,,$4.09,8.20%,$3.10,-18.10%,$13.36,253.54%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$41.36,0.41%,,,,$40.69,-1.62%,-$439.18,-1161.84%,-$460.40,-1213.14%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$22.58,-4.78%,,,,$22.79,0.93%,-$148.56,-757.94%,-$142.85,-732.62%,ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,2,$4.39,21.41%,21.41%,$5.33,$5.33,$4.32,-1.59%,$0.00,-100.00%,$0.00,-100.00%,ALTS
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,3,$8.33,3.99%,3.99%,$8.66,$8.66,$8.28,-0.60%,$4.98,-40.24%,$6.46,-22.43%,ALVO
