Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$32.11,27.21%,,,,$33.66,4.83%,$53.43,66.39%,$81.30,153.20%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.08,3.07%,,,,$13.02,7.78%,-$55.61,-560.33%,-$50.90,-521.32%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$91.05,-27.79%,-27.79%,$65.75,$65.75,$94.32,3.59%,$105.30,15.65%,$113.61,24.77%,AAON,NASDAQ:AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.28,9.65%,9.65%,$2.50,$2.63,$2.28,0.00%,$3.21,40.91%,$4.04,77.26%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$45.26,23.24%,23.24%,$55.78,$58.40,$47.87,5.77%,$72.77,60.77%,$91.26,101.64%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.08,78.75%,,,,$4.10,0.49%,$10.97,168.93%,$19.47,377.11%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,3.75,$11.05,16.81%,16.81%,$12.91,$15.00,$11.57,4.71%,$11.55,4.56%,$13.11,18.65%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$88.48,9.94%,9.94%,$97.27,$108.00,$89.58,1.24%,$167.74,89.58%,$176.87,99.89%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.44,-7.42%,,,,$10.13,7.31%,$10.68,13.11%,$10.72,13.52%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$239.48,10.27%,10.27%,$264.08,$333.45,$245.22,2.40%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,3,$10.31,4.00%,4.00%,$10.72,$10.72,$10.96,6.30%,$9.41,-8.75%,$11.77,14.13%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,4,$70.77,12.00%,12.00%,$79.26,$81.90,$74.54,5.33%,$64.64,-8.66%,$107.94,52.53%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$9.38,-19.08%,,,,$9.92,5.76%,$19.36,106.39%,$39.74,323.63%,ADTN,NASDAQ:ADTN
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,2,$106.58,-1.76%,-1.76%,$104.71,$104.71,$111.33,4.46%,-$27.13,-125.45%,$41.72,-60.86%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.06,3.10%,,,,$12.86,-1.53%,-$56.23,-530.57%,-$51.92,-497.53%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$16.00,11.25%,,,,$16.33,2.06%,$55.00,243.77%,$81.36,408.52%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$11.39,-32.79%,,,,$10.04,-11.85%,$12.48,9.53%,$19.94,75.09%,AG,NYSE:AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,,$32.55,-44.72%,,,,$31.57,-3.01%,$41.36,27.07%,$50.45,55.00%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$181.90,26.63%,26.63%,$230.34,$230.34,$193.25,6.24%,"-$1,716.64",-1043.73%,"-$1,376.21",-856.58%,AGM,NYSE:AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.85,14.23%,,,,$10.03,1.83%,-$68.31,-793.46%,-$67.95,-789.86%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$82.97,20.80%,,,,$83.44,0.57%,$56.79,-31.55%,$56.89,-31.43%,AGO,NYSE:AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,2.25,$8.03,17.06%,17.06%,$9.40,$9.55,$7.98,-0.62%,$22.89,185.00%,$53.43,565.39%,AGRO,NYSE:AGRO
